education - Split 1,education - Split 2,education - Split 3,education - Split 4,education - Split 5,almamater - Split 1,almamater - Split 2,almamater - Split 3,almamater - Split 4,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Moore Catholic High School,,,,,,,,,Jennifer Esposito,https://en.wikipedia.org/wiki/Jennifer_Esposito,45,U.S.,New York,New York City,American,,['Moore Catholic High School'],F,"['Actress', 'author', 'baker', 'health advocate', 'businesswoman']",
Juilliard School,,,,,,,,,Phillipa Soo,https://en.wikipedia.org/wiki/Phillipa_Soo,28,U.S.,Illinois,Libertyville,American,,['Juilliard School'],F,"['Actress', 'singer']",
University of Miami,,,,,,,,,Jeff Garlin,https://en.wikipedia.org/wiki/Jeff_Garlin,56,U.S.,Illinois,Chicago,American,,['University of Miami'],M,['Actor'],
North Syracuse Central High School,,,,,,,,,Richard Gere,https://en.wikipedia.org/wiki/Richard_Gere,69,U.S.,Pennsylvania,Philadelphia,American,,['North Syracuse Central High School'],M,['Actor'],
University of Southern California,,,,,,,,,Julie Chen,https://en.wikipedia.org/wiki/Julie_Chen,48,U.S.,New York,New York City,American,,['University of Southern California'],F,"['Presenter', 'anchor', 'producer']",
Juilliard School,,,,,,,,,Corey Hawkins,https://en.wikipedia.org/wiki/Corey_Hawkins,30,U.S.,D.C.,Washington,American,,['Juilliard School'],M,['Actor'],
Morgan State University,,,,,,,,,April Ryan,https://en.wikipedia.org/wiki/April_Ryan,51,U.S.,Maryland,Baltimore,American,,['Morgan State University'],F,['Journalist'],
University of Pennsylvania,,,,,,,,,Vanessa Bayer,https://en.wikipedia.org/wiki/Vanessa_Bayer,36,U.S.,Ohio,Cleveland,American,,['University of Pennsylvania'],F,"['Actress', 'Comedian']",
Harvard University,,,,,,,,,Al Franken,https://en.wikipedia.org/wiki/Al_Franken,67,U.S.,New York,New York City,American,,['Harvard University'],M,['Senator'],DemocraticFarmerLabor
Indiana University Bloomington,,,,,,,,,Joe Buck,https://en.wikipedia.org/wiki/Joe_Buck,49,U.S.,Florida,St. Petersburg,American,,['Indiana University Bloomington'],M,['Sports commentator'],
Brigham Young University,,,,,,,,,Jeff Flake,https://en.wikipedia.org/wiki/Jeff_Flake,55,U.S.,Arizona,Snowflake,American,,['Brigham Young University'],M,['Congressman'],Republican
Howard University,,,,,,,,,Ta-Nehisi Coates,https://en.wikipedia.org/wiki/Ta-Nehisi_Coates,43,U.S.,Maryland,Baltimore,American,,['Howard University'],M,"['Writer', 'Journalist']",
Texas Christian University,,,,,,,,,Bob Schieffer,https://en.wikipedia.org/wiki/Bob_Schieffer,81,U.S.,Texas,Austin,American,,['Texas Christian University'],M,"['Journalist', 'Anchor']",
Northwestern High School,,,,,,,,,Jermaine Fowler,https://en.wikipedia.org/wiki/Jermaine_Fowler,30,U.S.,D.C.,Washington,American,,['Northwestern High School'],M,"['Actor', 'writer', 'producer', 'comedian']",
University of North Carolina School of the Arts,,,,,,,,,Anna Camp,https://en.wikipedia.org/wiki/Anna_Camp,36,U.S.,South Carolina,Aiken,American,,['University of North Carolina School of the Arts'],F,"['Actress', 'singer']",
HarvardWestlake School,,,,,,,,,Jason Segel,https://en.wikipedia.org/wiki/Jason_Segel,38,U.S.,California,Los Angeles,American,,['HarvardWestlake School'],M,"['Actor', 'screenwriter', 'producer']",
College of Mount Saint Vincent,,,,,,,,,Desus,https://en.wikipedia.org/wiki/Desus,35,U.S.,New York,New York City,American,,['College of Mount Saint Vincent'],M,['YouTube personality'],
Hunter College,,,,,,,,,Mero,https://en.wikipedia.org/wiki/The_Kid_Mero,35,U.S.,,,American,,['Hunter College'],M,['YouTube personality'],
Dartmouth College,,,,,,,,,David Harbour,https://en.wikipedia.org/wiki/David_Harbour,43,U.S.,New York,White Plains,American,,['Dartmouth College'],M,['Actor'],
Harvard University,,,,,,,,,Chuck Schumer,https://en.wikipedia.org/wiki/Chuck_Schumer,67,U.S.,New York,New York City,American,,['Harvard University'],M,['Senator'],Democratic
University of Kansas,,,,,,,,,Rob Riggle,https://en.wikipedia.org/wiki/Rob_Riggle,48,U.S.,Kentucky,Louisville,American,,['University of Kansas'],M,"['Actor', 'comedian', 'U.S. Marine Officer']",
Carnegie Mellon University,,,,,,,,,Leslie Odom Jr.,https://en.wikipedia.org/wiki/Leslie_Odom_Jr.,37,U.S.,New York,New York City,American,,['Carnegie Mellon University'],M,"['Actor', 'singer']",
Ohio State University,,,,,,,,,Coyote Peterson,https://en.wikipedia.org/wiki/Coyote_Peterson,38,U.S.,Ohio,Newbury,American,,['Ohio State University'],M,"['Wildlife educator', 'Youtube personality', 'Producer', 'Show host', 'Author']",
University of Virginia,,,,,,,,,Margaret Brennan,https://en.wikipedia.org/wiki/Margaret_Brennan,38,U.S.,Connecticut,Stamford,American,,['University of Virginia'],F,['Journalist'],
Cass Technical High School,,,,,,,,,Jack White,https://en.wikipedia.org/wiki/Jack_White,43,U.S.,Michigan,Detroit,American,,['Cass Technical High School'],M,"['Singer', 'songwriter']",
Johns Hopkins University,,,,,,,,,Scott Rogowsky,https://en.wikipedia.org/wiki/Scott_Rogowsky,33,U.S.,New York,New York City,American,,['Johns Hopkins University'],M,"['Comedian', 'game show host']",
Boston University,,,,,,,,,Alexandria Ocasio-Cortez,https://en.wikipedia.org/wiki/Alexandria_Ocasio-Cortez,29,U.S.,New York,New York City,American,,['Boston University'],F,['Political Activist'],Democratic
Columbia University,,,,,,,,,Eric Holder,https://en.wikipedia.org/wiki/Eric_Holder,67,U.S.,New York,New York City,American,,['Columbia University'],M,['United States Attorney General'],Democratic
Columbia University,,,,,,,,,Beto O'Rourke,https://en.wikipedia.org/wiki/Beto_O%27Rourke,46,U.S.,Texas,El Paso,American,,['Columbia University'],M,['Congressman'],Democratic
University of Michigan,,,,,,,,,Mark Leibovich,https://en.wikipedia.org/wiki/Mark_Leibovich,53,U.S.,Massachusetts,Boston,American,,['University of Michigan'],M,['Journalist'],
University of North Carolina,,,,,,,,,Brooke Baldwin,https://en.wikipedia.org/wiki/Brooke_Baldwin,39,U.S.,Georgia,Atlanta,American,,['University of North Carolina'],F,['News anchor'],
Trinity Washington University,,,,,,,,,Nancy Pelosi,https://en.wikipedia.org/wiki/Nancy_Pelosi,78,U.S.,Maryland,Baltimore,American,,['Trinity Washington University'],F,['House Speaker'],Democratic
Fairview High School,,,,,Tufts University,,,,Jessica Biel,https://en.wikipedia.org/wiki/Jessica_Biel,36,U.S.,Minnesota,Ely,American,['Tufts University'],['Fairview High School'],F,"['Actress', 'model', 'producer', 'singer']",
Sidwell Friends School,,,,,University of Virginia,,,,John Dickerson,https://en.wikipedia.org/wiki/John_Dickerson_(journalist),50,U.S.,D.C.,Washington,American,['University of Virginia'],['Sidwell Friends School'],M,"['Journalist', 'television host']",
HarvardWestlake School,,,,,Wesleyan University,,,,Beanie Feldstein,https://en.wikipedia.org/wiki/Beanie_Feldstein,25,U.S.,California,Los Angeles,American,['Wesleyan University'],['HarvardWestlake School'],F,['Actress'],
Pascack Hills High School,,,,,Cornell University,,,,Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher,62,U.S.,New York,New York City,American,['Cornell University'],['Pascack Hills High School'],M,['Television Host'],
Taft High School,,,,,Vassar College,,,,Lisa Kudrow,https://en.wikipedia.org/wiki/Lisa_Kudrow,55,U.S.,California,Los Angeles,American,['Vassar College'],['Taft High School'],F,"['Actress', 'voice actress', 'writer', 'comedian', 'producer']",
Harlingen High School,,,,,University of North Texas,,,,Thomas Haden Church,https://en.wikipedia.org/wiki/Thomas_Haden_Church,58,U.S.,California,Yolo,American,['University of North Texas'],['Harlingen High School'],M,"['Actor', 'director', 'writer']",
HarvardWestlake School,,,,,Columbia University,,,,Jake Gyllenhaal,https://en.wikipedia.org/wiki/Jake_Gyllenhaal,37,U.S.,California,Los Angeles,American,['Columbia University'],['HarvardWestlake School'],M,['Actor'],
Milton Academy,,,,,Columbia University,,,,Jenny Slate,https://en.wikipedia.org/wiki/Jenny_Slate,36,U.S.,Massachusetts,Milton,American,['Columbia University'],['Milton Academy'],F,"['Standup comedian', 'actress',  'author']",
Montour High School,,,,,Kent State University,,,,Michael Keaton,https://en.wikipedia.org/wiki/Michael_Keaton,67,U.S.,Pennsylvania,Allegheny County,American,['Kent State University'],['Montour High School'],M,"['Actor', 'producer', 'director']",
Crossroads School for Arts and Sciences,,,,,Stanford University,,,,Evan Spiegel,https://en.wikipedia.org/wiki/Evan_Spiegel,28,U.S.,California,Los Angeles,American,['Stanford University'],['Crossroads School for Arts and Sciences'],M,['Entrepreneur'],
William Esper Studio,,,,,Towson University,,,,Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,New York City,American,['Towson University'],['William Esper Studio'],F,['Comedian'],
Towson High School,,,,,Towson University,,,,Andy Karl,https://en.wikipedia.org/wiki/Andy_Karl,44,U.S.,Maryland,Baltimore,American,['Towson University'],['Towson High School'],M,"['Actor', 'singer']",
Buckingham Browne amp Nichols,,,,,Dartmouth College,,,,Mindy Kaling,https://en.wikipedia.org/wiki/Mindy_Kaling,39,U.S.,Massachusetts,Cambridge,American,['Dartmouth College'],['Buckingham Browne amp Nichols'],F,"['Actress', 'comedian', 'writer']",
George Washington High School,,,,,Denison University,,,,Jennifer Garner,https://en.wikipedia.org/wiki/Jennifer_Garner,46,U.S.,Texas,Houston,American,['Denison University'],['George Washington High School'],F,"['Actress', 'film producer']",
Thornridge High School,,,,,Philander Smith College,,,,Deon Cole,https://en.wikipedia.org/wiki/Deon_Cole,46,U.S.,Chicago,,American,['Philander Smith College'],['Thornridge High School'],M,"['Actor','Comedian']",
Stuyvesant High School,,,,,Northwestern University,,,,Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner,40,U.S.,New York,New York City,American,['Northwestern University'],['Stuyvesant High School'],M,['Comedian'],
Beverly Hills High School,,,,,Northwestern University,,,,David Schwimmer,https://en.wikipedia.org/wiki/David_Schwimmer,51,U.S.,New York,New York City,American,['Northwestern University'],['Beverly Hills High School'],M,"['Actor', 'producer', 'director']",
Manchester High School West,,,,,Northwestern University,,,,Seth Meyers,https://en.wikipedia.org/wiki/Seth_Meyers,44,U.S.,Illinois,Evanston,American,['Northwestern University'],['Manchester High School West'],M,['Television Host'],
Edward R Murrow High School,,,,,New York University,,,,Javier Muñoz,https://en.wikipedia.org/wiki/Javier_Mu%C3%B1oz_(actor),42,U.S.,New York,New York City,American,['New York University'],['Edward R. Murrow High School'],M,"['Actor', 'singer']",
Campbell Hall School,,,,,New York University,,,,Elizabeth Olsen,https://en.wikipedia.org/wiki/Elizabeth_Olsen,29,U.S.,California,Sherman Oaks,American,['New York University'],['Campbell Hall School'],F,['Actress'],
DeKalb School of the Arts,,,,,New York University,,,,Donald Glover,https://en.wikipedia.org/wiki/Donald_Glover,35,U.S.,California,Edwards Air Force Base,American,['New York University'],['DeKalb School of the Arts'],M,"['Actor', 'comedian', 'singer', 'writer', 'producer', 'director', 'rapper',  'songwriter',  'DJ']",
Buckingham Browne amp Nichols,,,,,"Trinity College,Cambridge",,,,Ari Graynor,https://en.wikipedia.org/wiki/Ari_Graynor,35,U.S.,Massachusetts,Boston,American,['Trinity College'],['Buckingham Browne amp Nichols'],F,['Actress'],
Creighton Preparatory School,,,,,Marymount Manhattan College,,,,Andrew Rannells,https://en.wikipedia.org/wiki/Andrew_Rannells,40,U.S.,Nebraska,Omaha,American,['Marymount Manhattan College'],['Creighton Preparatory School'],M,"['Actor', 'voice actor', 'singer']",
Immaculate High School,,,,,Marymount Manhattan College,,,,Abby Elliott,https://en.wikipedia.org/wiki/Abby_Elliott,31,U.S.,New York,New York City,American,['Marymount Manhattan College'],['Immaculate High School'],F,"['Actress', 'comedian']",
ShorehamWading River High School,,,,,Bard College,,,,Adam Conover,https://en.wikipedia.org/wiki/Adam_Conover,35,U.S.,New York,Smithtown,American,['Bard College'],['ShorehamWading River High School'],M,"['Comedian', 'Writer', 'Show Host']",
Saint Sebastians School,,,,,Harvard University,,,,Lawrence O'Donnell,https://en.wikipedia.org/wiki/Lawrence_O%27Donnell,66,U.S.,Massachusetts,Boston,American,['Harvard University'],['Saint Sebastians School'],M,"['Political analyst', 'television host', 'actor']",
St Marys HallDoane Academy,,,,,Carnegie Mellon University,,,,Judith Light,https://en.wikipedia.org/wiki/Judith_Light,69,U.S.,New Jersey,Trenton,American,['Carnegie Mellon University'],['St. Marys HallDoane Academy'],F,"['Actress', 'producer']",
Kent School,,,,,Rhode Island School of Design,,,,Seth MacFarlane,https://en.wikipedia.org/wiki/Seth_MacFarlane,45,U.S.,Connecticut,Kent,American,['Rhode Island School of Design'],['Kent School'],M,"['Actor', 'animator', 'filmmaker', 'singer']",
Spence School,,,,,George Washington University,,,,Kerry Washington,https://en.wikipedia.org/wiki/Kerry_Washington,41,U.S.,New York,New York City,American,['George Washington University'],['Spence School'],M,['Actress'],
Green Meadow Waldorf School,,,,,Sarah Lawrence College,,,,Julianna Margulies,https://en.wikipedia.org/wiki/Julianna_Margulies,52,U.S.,New York,Spring Valley,American,['Sarah Lawrence College'],['Green Meadow Waldorf School'],F,"['Actress', 'producer']",
Palisades Charter High School,,,,,Sarah Lawrence College,,,,J. J. Abrams,https://en.wikipedia.org/wiki/J._J._Abrams,52,U.S.,New York,New York City,American,['Sarah Lawrence College'],['Palisades Charter High School'],M,"['Film director', 'producer', 'screenwriter', 'composer']",
Notre Dame High School Michigan,,,,,University of Michigan,,,,Dave Coulier,https://en.wikipedia.org/wiki/Dave_Coulier,59,U.S.,Michigan,St. Clair Shores,American,['University of Michigan'],['Notre Dame High School Michigan'],M,"['Actor', 'voice actor', 'standup comedian', 'impressionist', 'television host']",
Stuyvesant High School,,,,,University of Michigan,,,,Lucy Liu,https://en.wikipedia.org/wiki/Lucy_Liu,49,U.S.,New York,New York City,American,['University of Michigan'],"['Stuyvesant High School',]",F,"['Actress', 'voice actress', 'director', 'artist']",
Lawrence High School,,,,,College of William amp Mary,,,,Jon Stewart,https://en.wikipedia.org/wiki/Jon_Stewart,55,U.S.,New York,New York City,American,['College of William amp Mary'],['Lawrence High School'],M,['Television Host'],
Fiorello H LaGuardia High School,,,,,Queens College,,,,Adrien Brody,https://en.wikipedia.org/wiki/Adrien_Brody,45,U.S.,New York,New York City,American,['Queens College'],['Fiorello H. LaGuardia High School'],M,"['Actor', 'producer']",
Allegany High School,,,,,Goddard College,,,,William H. Macy,https://en.wikipedia.org/wiki/William_H._Macy,68,U.S.,Florida,Miami,American,['Goddard College'],['Allegany High School'],M,['Actor'],
Syosset High School,,,,,University of Southern California,,,,Judd Apatow,https://en.wikipedia.org/wiki/Judd_Apatow,50,U.S.,New York,New York City,American,['University of Southern California'],['Syosset High School'],M,"['Producer', 'writer', 'director', 'actor', 'standup comedian']",
Yankton High School,,,,,University of South Dakota,,,,Tom Brokaw,https://en.wikipedia.org/wiki/Tom_Brokaw,78,U.S.,South Dakota,Webster,American,['University of South Dakota'],['Yankton High School'],M,"['Television journalist', 'Author']",
Clayton High School,,,,,Boston University,,,,Andy Cohen,https://en.wikipedia.org/wiki/Andy_Cohen_(TV_personality),50,U.S.,Missouri,St. Louis,American,['Boston University'],['Clayton High School'],M,"['Talk show host', 'radio host', 'author', 'producer']",
Kalamazoo Central High School,,,,,Kalamazoo College,,,,Jordan Klepper,https://en.wikipedia.org/wiki/Jordan_Klepper,39,U.S.,Michigan,Kalamazoo,American,['Kalamazoo College'],['Kalamazoo Central High School'],M,['Comedian'],
Lake Forest Academy,,,,,Colgate University,Loyola University,,,Jay Chandrasekhar,https://en.wikipedia.org/wiki/Jay_Chandrasekhar,50,U.S.,Illinois,Chicago,American,"['Colgate University', 'Loyola University']",['Lake Forest Academy'],M,"['Actor', 'comedian', 'writer', 'director']",
Friends Select School,,,,,Simons Rock College,Rutgers University,New York University,Stanford University,John McWhorter,https://en.wikipedia.org/wiki/John_McWhorter,53,U.S.,Pennsylvania,Philadelphia,American,"['Simons Rock College', 'Rutgers University',  'New York University', 'Stanford University']",['Friends Select School'],M,['Linguist'],
University of Texas,,,,,,,,,Jeb Bush,https://en.wikipedia.org/wiki/Jeb_Bush,65,U.S.,Texas,Midland,American,,"['University of Texas, Austin']",M,['Governor'],Republican
University of Georgia,,,,,,,,,Ernie Johnson Jr.,https://en.wikipedia.org/wiki/Ernie_Johnson_Jr.,62,U.S.,Wisconsin,Milwaukee,American,,"['University of Georgia', 'Bachelor of Arts in Journalism']",M,"['OnAir Personality', 'Turner Sports']",
University of California,,,,,,,,,Travis Kalanick,https://en.wikipedia.org/wiki/Travis_Kalanick,42,U.S.,California,Los Angeles,American,,"['University of California, Los Angeles']",M,['Internet entrepreneur'],
University of California,,,,,,,,,Moshe Kasher,https://en.wikipedia.org/wiki/Moshe_Kasher,39,U.S.,New York,New York City,American,,"['University of California, Santa Barbara']",M,['Stand-up Comedian'],
Garfield High School,,,,,Berklee College of Music,,,,Quincy Jones,https://en.wikipedia.org/wiki/Quincy_Jones,85,U.S.,Illinois,Chicago,American,['Berklee College of Music'],"['Garfield High School, Seattle']",M,['Record Producer'],
Stephen F Austin High School Austin,,,,,University of Virginia,,,,Ben McKenzie,https://en.wikipedia.org/wiki/Ben_McKenzie,40,U.S.,Texas,Austin,American,['University of Virginia'],"['Stephen F. Austin High School Austin, Texas']",M,"['Actor', 'director']",
University of New Mexico,,,,,,,,,Gary Johnson,https://en.wikipedia.org/wiki/Gary_Johnson,65,U.S.,North Dakota,Minot,American,,"['University of New Mexico, Albuquerque']",M,['Governor'],Libertarian
Princeton University,"Worcester College,Oxford",,,,,,,,Ellie Kemper,https://en.wikipedia.org/wiki/Ellie_Kemper,38,U.S.,Missouri,Kansas City,American,,"['Princeton University', 'Worcester College, Oxford']",F,"['Actress', 'comedian']",
Harvard University,"University College,Oxford",,,,,,,,William Weld,https://en.wikipedia.org/wiki/William_Weld,73,U.S.,New York,Smithtown,American,,"['Harvard University', 'University College, Oxford']",M,['Governor'],Libertarian
Stanford University,"St Johns College,Oxford",,,,,,,,Michael McFaul,https://en.wikipedia.org/wiki/Michael_McFaul,55,U.S.,Montana,,American,,"['Stanford University', 'St Johns College, Oxford']",M,['Ambassador of the United States the Russia'],Democratic
Stanford University,"Lincoln College,Oxford",,,,,,,,Rachel Maddow,https://en.wikipedia.org/wiki/Rachel_Maddow,45,U.S.,California,Castro Valley,American,,"['Stanford University', 'Lincoln College, Oxford']",F,"['Television host', 'political commentator', 'author']",
Duke University,"Lady Margaret Hall,Oxford",,,,,,,,Eric Greitens,https://en.wikipedia.org/wiki/Eric_Greitens,44,U.S.,Missouri,St. Louis,American,,"['Duke University', 'Lady Margaret Hall, Oxford']",M,['Governor'],Republican
Princeton University,Case Western Reserve University,Georgetown University,,,,,,,Donald Rumsfeld,https://en.wikipedia.org/wiki/Donald_Rumsfeld,86,U.S.,Illinois,Chicago,American,,"['Princeton University', 'Case Western Reserve University', 'Georgetown University']",M,['United States Secretary of Defense'],Republican
,,,,,Pitzer College,American University,,,Max Brooks,https://en.wikipedia.org/wiki/Max_Brooks,46,U.S.,New York,New York City,American,"['Pitzer College', 'American University']",,M,['Author'],
,,,,,Chabot College,California State University,,,Tom Hanks,https://en.wikipedia.org/wiki/Tom_Hanks,62,U.S.,California,Concord,American,"['Chabot College', 'California State University, Sacramento']",,M,"['Actor', 'filmmaker']",Democratic
,,,,,Texas AM University,California State University,,,Eva Longoria,https://en.wikipedia.org/wiki/Eva_Longoria,43,U.S.,Texas,Corpus Christi,American,"['Texas A&M University', 'California State University']",,F,"['Actress', 'producer', 'restaurateur', 'activist']",
,,,,,Princeton University,Yale University,,,David Duchovny,https://en.wikipedia.org/wiki/David_Duchovny,58,U.S.,New York,New York City,American,"['Princeton University', 'Yale University']",,M,"['Actor', 'director', 'producer', 'writer', 'singer', 'songwriter']",
,,,,,Bard College,Yale University,,,Ronan Farrow,https://en.wikipedia.org/wiki/Ronan_Farrow,30,U.S.,New York,New York City,American,"['Bard College', 'Yale University']",,M,"['Journalist', 'lawyer']",
,,,,,University of Chicago,Atlantic Acting School,,,Anna Chlumsky,https://en.wikipedia.org/wiki/Anna_Chlumsky,37,U.S.,Illinois,Chicago,American,"['University of Chicago', 'Atlantic Acting School']",,F,['Actress'],
,,,,,San Diego Mesa College,San Francisco State University,,,Annette Bening,https://en.wikipedia.org/wiki/Annette_Bening,60,U.S.,Kansas,Topeka,American,"['San Diego Mesa College', 'San Francisco State University']",,F,['Actress'],
,,,,,Dartmouth College,University of Southern California,,,Shonda Rhimes,https://en.wikipedia.org/wiki/Shonda_Rhimes,48,U.S.,Illinois,Chicago,American,"['Dartmouth College', 'University of Southern California']",,F,"['Television producer', 'television writer', 'screenwriter']",
,,,,,Carnegie Mellon University,University of Southern California,,,Renée Elise Goldsberry,https://en.wikipedia.org/wiki/Ren%C3%A9e_Elise_Goldsberry,47,U.S.,California,San Jose,American,"['Carnegie Mellon University', 'University of Southern California']",,F,"['Actress', 'singer', 'songwriter']",
,,,,,Western Carolina University,School of the Art Institute of Chicago,,,David Sedaris,https://en.wikipedia.org/wiki/David_Sedaris,61,U.S.,New York,Johnson City,American,"['Western Carolina University', 'School of the Art Institute of Chicago']",,M,['Humorist'],
,,,,,New York University,George Washington University,,,Alec Baldwin,https://en.wikipedia.org/wiki/Alec_Baldwin,60,U.S.,New York,Amityville,American,"['New York University', 'George Washington University']",,M,"['Actor', 'writer', 'comedian', 'producer']",Democratic
,,,,,Columbia University,Royal Academy of Dramatic Art,,,Maggie Gyllenhaal,https://en.wikipedia.org/wiki/Maggie_Gyllenhaal,40,U.S.,New York,New York City,American,"['Columbia University', 'Royal Academy of Dramatic Art']",,F,['Actress'],
,,,,,University of Alabama,University of Florida,,,Joe Scarborough,https://en.wikipedia.org/wiki/Joe_Scarborough,55,U.S.,Georgia,Atlanta,American,"['University of Alabama', 'University of Florida']",,M,['Congressman'],Independent
,,,,,Central State University,Howard University,,,Omarosa Manigault,https://en.wikipedia.org/wiki/Omarosa_Manigault,44,U.S.,Ohio,Youngstown,American,"['Central State University', 'Howard University']",,F,['Director of Communications '],Democratic
,,,,,Duke University,Harvard University,,,George Church,https://en.wikipedia.org/wiki/George_M._Church,64,U.S.,MacDill Air Force Base,Florida,American,"['Duke University', 'Harvard University ']",,M,['Geneticist'],
,,,,,Northwestern University,Harvard University,,,John Heilemann,https://en.wikipedia.org/wiki/John_Heilemann,52,U.S.,California,Los Angeles,American,"['Northwestern University', 'Harvard University']",,M,"['Journalist', 'Anchor']",
,,,,,University of Detroit Mercy,Pennsylvania State University,,,Keegan-Michael Key,https://en.wikipedia.org/wiki/Keegan-Michael_Key,47,U.S.,Michigan,Southfield,American,"['University of Detroit Mercy', 'Pennsylvania State University']",,M,"['Actor', 'comedian', 'writer', 'producer']",
,,,,,Amherst College,New York University,,,Jeffrey Wright,https://en.wikipedia.org/wiki/Jeffrey_Wright,52,U.S.,D.C.,Washington,American,"['Amherst College', 'New York University']",,M,['Actor'],
,,,,,Kenyon College,New York University,,,Josh Radnor,https://en.wikipedia.org/wiki/Josh_Radnor,44,U.S.,Ohio,Columbus,American,"['Kenyon College', 'New York University']",,M,"['Actor', 'filmmaker', 'musician']",
,,,,,Stanford University,New York University,,,Sterling K. Brown,https://en.wikipedia.org/wiki/Sterling_K._Brown,42,U.S.,Missouri,St. Louis,American,"['Stanford University', 'New York University']",,M,['Actor'],
,,,,,Fordham University,New York University,,,Regina Hall,https://en.wikipedia.org/wiki/Regina_Hall,47,U.S.,D.C.,Washington,American,"['Fordham University', 'New York University']",,F,['Actress'],
,,,,,Brandeis University,New York University,,,Debra Messing,https://en.wikipedia.org/wiki/Debra_Messing,50,U.S.,New York,New York City,American,"['Brandeis University', 'New York University']",,F,['Actress'],
,,,,,Yale University,New York University,,,Oliver Stone,https://en.wikipedia.org/wiki/Oliver_Stone,72,U.S.,New York,New York City,American,"['Yale University', 'New York University']",,M,"['Film director', 'screenwriter', 'film producer', 'author']",
,,,,,Macalester College,New York University,,,Danai Gurira,https://en.wikipedia.org/wiki/Danai_Gurira,40,U.S.,Iowa,Grinnell,American,"['Macalester College','New York University']",,F,"['Actress', 'playwright']",
,,,,,Yale University,NYU School of Law,,,Demetri Martin,https://en.wikipedia.org/wiki/Demetri_Martin,45,U.S.,New York,New York City,American,"['Yale University', 'NYU School of Law']",,M,['Comedian'],
,,,,,Harvard College,Harvard Business School,,,Sheryl Sandberg,https://en.wikipedia.org/wiki/Sheryl_Sandberg,49,U.S.,D.C.,Washington,American,"['Harvard College', 'Harvard Business School']",,F,['COO'],Democratic
,,,,,Georgia Institute of Technology,United States Naval Academy,,,Jimmy Carter,https://en.wikipedia.org/wiki/Jimmy_Carter,94,U.S.,Georgia,Plains,American,"['Georgia Institute of Technology', 'United States Naval Academy']",,M,['President of the United States'],Democratic
,,,,,Saint Marys College of California,Tisch School of the Arts,,,Mahershala Ali,https://en.wikipedia.org/wiki/Mahershala_Ali,44,U.S.,California,Oakland,American,"['Saint Marys College of California', 'Tisch School of the Arts']",,M,['Actor'],
,,,,,Oberlin College,Tisch School of the Arts,,,Corey Stoll,https://en.wikipedia.org/wiki/Corey_Stoll,42,U.S.,New York,New York City,American,"['Oberlin College', 'Tisch School of the Arts']",,M,['Actor'],
,,,,,University of Colorado,Princeton University,,,Amy Cuddy,https://en.wikipedia.org/wiki/Amy_Cuddy,46,U.S.,Pennsylvania,Robesonia,American,"['University of Colorado', 'Princeton University']",,F,['Social Psychologist'],
,,,,,Harvard College,London Academy of Music and Dramatic Art,,,John Lithgow,https://en.wikipedia.org/wiki/John_Lithgow,73,U.S.,New York,Rochester,American,"['Harvard College', 'London Academy of Music and Dramatic Art']",,M,"['Actor', 'musician', 'comedian', 'poet', 'author', 'singer']",
,,,,,Brandeis University,London Academy of Music and Dramatic Art,,,Tony Goldwyn,https://en.wikipedia.org/wiki/Tony_Goldwyn,58,U.S.,California,Los Angeles,American,"['Brandeis University', 'London Academy of Music and Dramatic Art']",,M,"['Actor', 'singer', 'producer', 'director', 'political activist']",
,,,,,Saint Xavier University,Illinois State University,,,Craig Robinson,https://en.wikipedia.org/wiki/Craig_Robinson_(actor),47,U.S.,Illinois,Chicago,American,"['Saint Xavier University', 'Illinois State University']",,M,['Actor'],
,,,,,University of Houston,University of San Diego,,,Jim Parsons,https://en.wikipedia.org/wiki/Jim_Parsons,45,U.S.,Texas,Houston,American,"['University of Houston', 'University of San Diego']",,M,['Actor'],
,,,,,American University,New York Law School,,,Judith Sheindlin,https://en.wikipedia.org/wiki/Judith_Sheindlin,76,U.S.,New York,New York City,American,"['American University', 'New York Law School',]",,F,"['Lawyer', 'judge', 'television personality', 'author', 'arbitrator']",
,,,,,Barnard College,Southern Methodist University,,,Lauren Graham,https://en.wikipedia.org/wiki/Lauren_Graham,51,U.S.,Hawaii,Honolulu,American,"['Barnard College', 'Southern Methodist University']",,F,"['Actress', 'novelist']",
,,,,,New York University,Tisch School of Arts,,,Simon Helberg,https://en.wikipedia.org/wiki/Simon_Helberg,37,U.S.,California,Los Angeles,American,"['New York University', 'Tisch School of Arts']",,M,"['Actor', 'comedian', 'musician']",
,,,,,United States Military Academy,Massachusetts Institute of Technology,,,Buzz Aldrin,https://en.wikipedia.org/wiki/Buzz_Aldrin,88,U.S.,Massachusetts,Glen Ridge,American,"['United States Military Academy', 'Massachusetts Institute of Technology']",,M,['Astronaut'],
,,,,,Duke University,University of North Carolina at Chapel Hill,,,Ken Jeong,https://en.wikipedia.org/wiki/Ken_Jeong,49,U.S.,Michigan,Detroit,American,"['Duke University', 'University of North Carolina at Chapel Hill']",,M,['Comedian'],
