education - Split 1,education - Split 2,education - Split 3,education - Split 4,education - Split 5,almamater - Split 1,almamater - Split 2,almamater - Split 3,almamater - Split 4,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
University of Delaware,Syracuse University,,,,,,,,Joe Biden,https://en.wikipedia.org/wiki/Joe_Biden,75,U.S.,Pennsylvania,Scranton,American,,"['University of Delaware', 'Syracuse University']",M,['Vice President of the United States'],Democratic
Colorado School of Mines,Syracuse University,,,,,,,,George Saunders,https://en.wikipedia.org/wiki/George_Saunders,59,U.S.,Amarillo,Texas,American,,"['Colorado School of Mines', 'Syracuse University']",M,"['Writer', 'journalist', 'college professor']",
Yale University,George Washington University,,,,,,,,Bob Woodward,https://en.wikipedia.org/wiki/Bob_Woodward,75,U.S.,Illinois,Geneva,American,,"['Yale University', 'George Washington University']",M,['Journalist'],
Syracuse University,George Washington University,,,,,,,,Ina Garten,https://en.wikipedia.org/wiki/Ina_Garten,70,U.S.,New York,New York City,American,,"['Syracuse University', 'George Washington University']",F,['Author'],
Miami Dade College,University of Miami,,,,,,,,Sylvester Stallone,https://en.wikipedia.org/wiki/Sylvester_Stallone,72,U.S.,New York,New York City,American,,"['Miami Dade College', 'University of Miami']",M,"['Actor', 'screenwriter', 'film director', 'producer', 'playwright']",Republican
Georgetown University,Williams College,,,,,,,,Mika Brzezinski,https://en.wikipedia.org/wiki/Mika_Brzezinski,51,U.S.,New York,New York City,American,,"['Georgetown University', 'Williams College']",F,"['News presenter', ', author']",
Princeton University,Harvard University,,,,,,,,Michelle Obama,https://en.wikipedia.org/wiki/Michelle_Obama,54,U.S.,Chicago,Illinois,American,,"['Princeton University', 'Harvard University']",F,['First Lady of the United States'],Democratic
Colby College,Harvard University,,,,,,,,Doris Kearns Goodwin,https://en.wikipedia.org/wiki/Doris_Kearns_Goodwin,75,U.S.,New York,New York City,American,,"['Colby College', 'Harvard University']",F,"['Historian', 'author', 'political commentator']",
Stanford University,Harvard University,,,,,,,,Julian Castro,https://en.wikipedia.org/wiki/Julian_Castro,44,U.S.,Texas,San Antonio,American,,"['Stanford University', 'Harvard University']",M,['United States Secretary of Housing and Urban Development'],Democratic
University of Missouri,Harvard University,,,,,,,,Senator Tim Kaine,https://en.wikipedia.org/wiki/Tim_Kaine,60,U.S.,Minnesota,Saint Paul,American,,"['University of Missouri', 'Harvard University']",M,['Senator'],Democratic
Tufts University,Harvard University,,,,,,,,Anthony Scaramucci,https://en.wikipedia.org/wiki/Anthony_Scaramucci,54,U.S.,New York,Port Washington,American,,"['Tufts University', 'Harvard University']",M,['White House Communications Director'],Republican
Johns Hopkins University,Harvard University,,,,,,,,Michael Bloomberg,https://en.wikipedia.org/wiki/Michael_Bloomberg,76,U.S.,Massachusetts,Boston,American,,"['Johns Hopkins University',  'Harvard University']",M,['CEO'],Democratic
Stanford University,Harvard University,,,,,,,,Joe Kennedy III,https://en.wikipedia.org/wiki/Joe_Kennedy_III,38,U.S.,Massachusetts,,American,,"['Stanford University', 'Harvard University']",M,['Congressman'],Democratic
Buckley School,Calabasas High School,,,,Bard College,,,,Gaby Hoffmann,https://en.wikipedia.org/wiki/Gaby_Hoffmann,36,U.S.,New York,New York City,American,['Bard College'],"['Buckley School', 'Calabasas High School']",F,['Actress'],
Indiana University Bloomington,Marymount Manhattan College,,,,,,,,Laverne Cox,https://en.wikipedia.org/wiki/Laverne_Cox,46,U.S.,Alabama,Mobile,American,,"['Indiana University Bloomington', 'Marymount Manhattan College']",F,"['Actress', 'activist']",
Yale University,University of Chicago,,,,,,,,Amy Klobuchar,https://en.wikipedia.org/wiki/Amy_Klobuchar,58,U.S.,Minnesota,Plymouth,American,,"['Yale University',  'University of Chicago']",F,['Senator'],Democratic
College of William and Mary,University of Chicago,,,,,,,,James Comey,https://en.wikipedia.org/wiki/James_Comey,57,U.S.,New York,Yonkers,American,,"['College of William and Mary', 'University of Chicago']",M,['Director of the Federal Bureau of Investigation'],Independent
University of Georgia,New England Culinary Institute,,,,,,,,Alton Brown,https://en.wikipedia.org/wiki/Alton_Brown,56,U.S.,California,Los Angeles,American,,"['University of Georgia', 'New England Culinary Institute']",M,['Food show Presenter'],
Sarah Lawrence College,Northwestern University,,,,,,,,Rahm Emanuel,https://en.wikipedia.org/wiki/Rahm_Emanuel,58,U.S.,Illinois,,American,,"['Sarah Lawrence College', 'Northwestern University']",M,['White House Chief of Staff'],Democratic
St Joseph High School,Sayreville War Memorial High School,,,,,,,,Jon Bon Jovi,https://en.wikipedia.org/wiki/Jon_Bon_Jovi,56,U.S.,New Jersey,Perth Amboy,American,,"['St. Joseph High School', 'Sayreville War Memorial High School']",M,"['Singer', 'songwriter', 'record producer', 'philanthropist',  'actor']",
Harvard University,Massachusetts Institute of Technology,,,,,,,,Ben Bernanke,https://en.wikipedia.org/wiki/Ben_Bernanke,64,U.S.,Georgia,Augusta,American,,"['Harvard University', 'Massachusetts Institute of Technology']",M,['Chair of the Federal Reserve'],Republican
Boston College,Stanford University,,,,,,,,Dr. Ernest Moniz,https://en.wikipedia.org/wiki/Ernest_Moniz,73,U.S.,Massachusetts,Fall River,American,,"['Boston College', 'Stanford University']",M,['United States Secretary of Energy'],Democratic
Dunbar Vocational High School,KennedyKing College,,,,Langston University,,,,Jennifer Hudson,https://en.wikipedia.org/wiki/Jennifer_Hudson,37,U.S.,Illinois,Chicago,American,['Langston University'],"['Dunbar Vocational High School', 'KennedyKing College']",F,"['Singer', 'actress']",
Howard University,University of California,,,,,,,,Kamala Harris,https://en.wikipedia.org/wiki/Kamala_Harris,54,U.S.,California,Oakland,American,,"['Howard University', 'University of California, Hastings']",F,['Senator'],Democratic
Los Angeles Valley College,University of California,,,,,,,,Sean Astin,https://en.wikipedia.org/wiki/Sean_Astin,47,U.S.,California,Santa Monica,American,,"['Los Angeles Valley College', 'University of California, Los Angeles']",M,"['Actor', 'voice actor', 'director', 'producer']",
Dartmouth College,University of California,,,,,,,,Senator Kirsten Gillibrand,https://en.wikipedia.org/wiki/Kirsten_Gillibrand,51,U.S.,New York,Albany,American,,"['Dartmouth College', 'University of California, Los Angeles']",F,['Senator'],Democratic
College of the Holy Cross,University of North Carolina,,,,,,,,Chris Matthews,https://en.wikipedia.org/wiki/Chris_Matthews,72,U.S.,Pennsylvania,Philadelphia,American,,"['College of the Holy Cross', 'University of North Carolina, Chapel Hill']",M,"['News anchor', 'political commentator']",Democratic
College of the Holy Cross,University of North Carolina,,,,,,,,Chris Hayes,https://en.wikipedia.org/wiki/Chris_Matthews,72,U.S.,Pennsylvania,Philadelphia,American,,"['College of the Holy Cross', 'University of North Carolina, Chapel Hill']",M,"['News anchor', 'political commentator']",Democratic
Illinois State University,Cornell University,,,,,,,,Jane Lynch,https://en.wikipedia.org/wiki/Jane_Lynch,58,U.S.,Illinois,Evergreen Park,American,,"['Illinois State University', 'Cornell University']",F,"['Actress', 'author', 'singer', 'comedian']",
East Side Hebrew Institute,Stuyvesant High School,,,,Binghamton University,,,,Paul Reiser,https://en.wikipedia.org/wiki/Paul_Reiser,62,U.S.,New York,New York City,American,['Binghamton University'],"['East Side Hebrew Institute', 'Stuyvesant High School']",M,"['Comedian', 'actor', 'writer', 'musician']",
Rockcliffe Park Public School,Ashbury College,,,,,,,,Matthew Perry,https://en.wikipedia.org/wiki/Matthew_Perry,49,U.S.,Massachusetts,Williamstown,American,,"['Rockcliffe Park Public School', 'Ashbury College']",M,"['Actor', 'comedian']",
Marist High School,Hubbard High School,,,,,,,,Michael Peña,https://en.wikipedia.org/wiki/Michael_Pe%C3%B1a,42,U.S.,Illinois,Chicago,American,,"['Marist High School', 'Hubbard High School']",M,"['Actor', 'musician']",
Harvard University,Vanderbilt University,,,,,,,,Al Gore,https://en.wikipedia.org/wiki/Al_Gore,70,U.S.,D.C.,Washington,American,,"['Harvard University',  'Vanderbilt University']",M,['Vice President of the United States'],Democratic
Parsons School of Design,Central Saint Martins,,,,,,,,Zac Posen,https://en.wikipedia.org/wiki/Zac_Posen,38,U.S.,New York,New York City,American,,"['Parsons School of Design', 'Central Saint Martins']",M,['Fashion Designer'],
Auburn University,Duke University,,,,,,,,Tim Cook,https://en.wikipedia.org/wiki/Tim_Cook,57,U.S.,Alabama,Mobile,American,,"['Auburn University',  'Duke University']",M,['CEO'],
Baylor University,Duke University,,,,,,,,Rand Paul,https://en.wikipedia.org/wiki/Rand_Paul,55,U.S.,Pennsylvania,Pennsylvania,American,,"['Baylor University', 'Duke University']",M,['Senator'],Republican
University of Colorado Boulder,Neighborhood Playhouse,,,,,,,,Christopher Meloni,https://en.wikipedia.org/wiki/Christopher_Meloni,57,U.S.,D.C.,Washington,American,,"['University of Colorado Boulder, 'Neighborhood Playhouse']",M,['Actor'],
Barnard College,Hunter College High School,,,,,,,,Cynthia Nixon,https://en.wikipedia.org/wiki/Cynthia_Nixon,52,U.S.,New York,New York City,American,,"['Barnard College', 'Hunter College High School']",F,['Actress'],Democratic
Yale University,Boston College,,,,,,,,John Kerry,https://en.wikipedia.org/wiki/John_Kerry,74,U.S.,Colorado,Aurora,American,,"['Yale University', 'Boston College']",M,['United States Secretary of State'],Democratic
Massapequa High School,,,,,SUNY Oswego,Queens College,,,Jerry Seinfeld,https://en.wikipedia.org/wiki/Jerry_Seinfeld,64,U.S.,New York,New York City,American,"['SUNY Oswego', 'Queens College']",['Massapequa High School'],M,['Stand-up comedian'],
Baker High School,,,,,Brooklyn College,Louisiana State University,,,Don Lemon,https://en.wikipedia.org/wiki/Don_Lemon,52,U.S.,Louisiana,Baton Rouge,American,"['Brooklyn College', 'Louisiana State University']",['Baker High School'],M,['Journalist'],
Brentwood School,,,,,University of California,,,,Katy Tur,https://en.wikipedia.org/wiki/Katy_Tur,35,U.S.,California,Los Angeles,American,"['University of California, Santa Barbara']",['Brentwood School'],F,"['Journalist', ' news anchor']",
Bachelor of Science,,,,,Boston College,,,,Chris O'Donnell,https://en.wikipedia.org/wiki/Chris_O%27Donnell,48,U.S.,Illinois,Winnetka,American,['Boston College'],['Bachelor of Science'],M,['Actor'],
Quigley Preparatory Seminary North,,,,,University of Illinois at UrbanaChampaign,,,,Dan Savage,https://en.wikipedia.org/wiki/Dan_Savage,54,U.S.,Illinois,Chicago,American,['University of Illinois at UrbanaChampaign'],['Quigley Preparatory Seminary North'],M,"['Author', 'media pundit', 'journalist', 'newspaper editor', 'sex advice columnist']",
Notre Dame High School,,,,,University of Evansville,,,,Rami Malek,https://en.wikipedia.org/wiki/Rami_Malek,37,U.S.,California,Los Angeles,American,['University of Evansville'],['Notre Dame High School'],M,['Actor'],
La Lumiere School,,,,,Georgetown University,,,,Jim Gaffigan,https://en.wikipedia.org/wiki/Jim_Gaffigan,52,U.S.,Illinois,Elgin,American,['Georgetown University'],['La Lumiere School'],M,['Comedian'],
Douglas MacArthur High School,,,,,Georgetown University,,,,Norah O'Donnell,https://en.wikipedia.org/wiki/Norah_O%27Donnell,44,U.S.,D.C.,Washington,American,['Georgetown University'],['Douglas MacArthur High School'],F,['Television journalist'],
St Ignatius College Prep,,,,,Georgetown University,,,,John Mulaney,https://en.wikipedia.org/wiki/John_Mulaney,36,U.S.,Illinois,Chicago,American,['Georgetown University'],['St. Ignatius College Prep'],M,['Stand-up comedian'],
Juilliard School,,,,,,,,,Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey,59,U.S.,New Jersey,South Orange,American,,['Juilliard School'],M,"['Actor', 'producer', 'singer']",
UCLA,,,,,,,,,Carol Burnett,https://en.wikipedia.org/wiki/Carol_Burnett,85,U.S.,Texas,San Antonio,American,,['UCLA'],F,['Actor'],
University of Chicago,,,,,,,,,Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,New York,New York City,American,,['University of Chicago'],M,['Senator'],Independent
Lyce Franais de Los Angeles,,,,,,,,,Claire Danes,https://en.wikipedia.org/wiki/Claire_Danes,39,U.S.,New York,New York City,American,,['Lyce Franais de Los Angeles'],F,['Actress'],
United States Naval Academy,,,,,,,,,John McCain,https://en.wikipedia.org/wiki/John_McCain,81,U.S.,Panama Canal Zone,Coco Solo,American,,['United States Naval Academy'],M,['Senator'],Republican
San Pedro High School,,,,,,,,,Misty Copeland,https://en.wikipedia.org/wiki/Misty_Copeland,36,U.S.,Missouri,Kansas City,American,,['San Pedro High School'],F,['Ballet dancer'],
Kenyon College,,,,,,,,,Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney,58,U.S.,Massachusetts,Boston,American,,['Kenyon College'],F,['Actress'],
Ohio State University,,,,,,,,,John Kasich,https://en.wikipedia.org/wiki/John_Kasich,66,U.S.,Pennsylvania,McKees Rocks,American,,['Ohio State University'],M,['Governor'],Republican
University of Missouri,,,,,,,,,Claire McCaskill,https://en.wikipedia.org/wiki/Claire_McCaskill,65,U.S.,Missouri,Rolla,American,,['University of Missouri'],F,['Senator'],Democratic
Western Michigan University,,,,,,,,,Bruce Campbell,https://en.wikipedia.org/wiki/Bruce_Campbell,60,U.S.,Michigan,Royal Oak,American,,['Western Michigan University'],M,"['Actor', 'producer', 'writer', 'director']",
Great Valley High School,,,,,,,,,Adam McKay,https://en.wikipedia.org/wiki/Adam_McKay,50,U.S.,Philadelphia,Pennsylvania,American,,['Great Valley High School'],M,"['Film director', 'producer', 'screenwriter', comedian']",
Conestoga Valley High School,,,,,,,,,Jonathan Groff,https://en.wikipedia.org/wiki/Jonathan_Groff,33,U.S.,Pennsylvania,Lancaster,American,,['Conestoga Valley High School'],M,"['Actor', 'singer']",
Stanford University,,,,,,,,,Olivia Hallisey,https://en.wikipedia.org/wiki/Olivia_Hallisey,18,U.S.,Connecticut,Greenwich,American,,['Stanford University'],F,['Student' 'Scientist'],
Juilliard School,,,,,,,,,Danielle Brooks,https://en.wikipedia.org/wiki/Danielle_Brooks,29,U.S.,Georgia,Augusta,American,,['Juilliard School'],F,"['Actress,', 'singer']",
Juilliard School,,,,,,,,,Kelsey Grammer,https://en.wikipedia.org/wiki/Kelsey_Grammer,63,U.S.,"Saint Thomas,Virgin islands",Charlotte Amalie,American,,['Juilliard School'],M,"['Actor', 'voice actor', 'comedian', 'singer', 'producer', 'director', 'writer', 'activist']",Republican
Deering High School,,,,,,,,,Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick,33,U.S.,Maine,Portland,American,,['Deering High School'],F,"['Actress', 'singer', 'author']",
Harvard University,,,,,,,,,Loretta Lynch,https://en.wikipedia.org/wiki/Loretta_Lynch,59,U.S.,North Carolina,Greensboro,American,,['Harvard University'],F,['United States Attorney General'],
Juilliard School,,,,,,,,,Benjamin Walker,https://en.wikipedia.org/wiki/Benjamin_Walker_(actor),36,U.S.,Georgia,Cartersville,American,,['Juilliard School'],M,"['Actor', 'standup comedian']",
American Musical and Dramatic Academy,,,,,,,,,Jesse Tyler Ferguson,https://en.wikipedia.org/wiki/Jesse_Tyler_Ferguson,43,U.S.,Montana,Missoula,American,,['American Musical and Dramatic Academy'],M,['Actor'],
Juilliard School,,,,,,,,,Christine Baranski,https://en.wikipedia.org/wiki/Christine_Baranski,66,U.S.,New York,Buffalo,American,,['Juilliard School'],F,"['Actress', 'singer', 'producer']",
Hollywood High School,,,,,,,,,Anthony Anderson,https://en.wikipedia.org/wiki/Anthony_Anderson,48,U.S.,California,Compton,American,,['Hollywood High School'],M,"['Actor', 'comedian',  'writer',  'game show host panelist']",
Juilliard School,,,,,,,,,Gillian Jacobs,https://en.wikipedia.org/wiki/Gillian_Jacobs,36,U.S.,Pennsylvania,Pittsburgh,American,,['Juilliard School'],F,"['Actress', 'comedienne']",
French Culinary Institute,,,,,,,,,Bobby Flay,https://en.wikipedia.org/wiki/Bobby_Flay,53,U.S.,New York,New York City,American,,['French Culinary Institute'],M,['Chef'],
Middletown High School,,,,,,,,,Aaron Tveit,https://en.wikipedia.org/wiki/Aaron_Tveit,35,U.S.,New York,Middletown,American,,['Middletown High School'],M,"['Actor', 'singer']",
Fordham University,,,,,,,,,Taylor Schilling,https://en.wikipedia.org/wiki/Taylor_Schilling,34,U.S.,Massachusetts,Boston,American,,['Fordham University'],F,['Actress'],
DePauw University,,,,,,,,,Bret Baier,https://en.wikipedia.org/wiki/Bret_Baier,48,U.S.,New Jersey,Rumson,American,,['DePauw University'],M,['News anchor'],
University of Chicago,,,,,,,,,Nate Silver,https://en.wikipedia.org/wiki/Nate_Silver,40,U.S.,Michigan,East Lansing,American,,['University of Chicago'],M,"['Statistician', 'journalist']",
Harvard University,,,,,,,,,Mark Halperin,https://en.wikipedia.org/wiki/Mark_Halperin,53,U.S.,New York,New York City,American,,Harvard University'],M,"['Anchor', 'Author', 'Columnist']",
Boys Latin School of Maryland,,,,,,,,,John Waters,https://en.wikipedia.org/wiki/John_Waters,72,U.S.,Maryland,Baltimore,American,,['Boys Latin School of Maryland'],M,"['Film director', 'screenwriter', 'producer', 'actor']",
Missouri State University,,,,,,,,,John Goodman,https://en.wikipedia.org/wiki/John_Goodman,66,U.S.,Missouri,Affton,American,,['Missouri State University'],M,['Actor'],
La Cueva High School,,,,,,,,,Neil Patrick Harris,https://en.wikipedia.org/wiki/Neil_Patrick_Harris,45,U.S.,New Mexico,Albuquerque,American,,['La Cueva High School'],M,"['Actor', 'writer', 'producer',  'comedian',  'magician',  'singer']",
Northwestern University,,,,,,,,,Megan Mullally,https://en.wikipedia.org/wiki/Megan_Mullally,59,U.S.,California,Los Angeles,American,,['Northwestern University'],F,"['Actress', 'comedian', 'singer']",
University of Mississippi,,,,,,,,,Shepard Smith,https://en.wikipedia.org/wiki/Shepard_Smith,54,U.S.,Mississippi,Holly Springs,American,,['University of Mississippi'],M,['News anchor'],
Corona del Mar High School,,,,,,,,,Leslie Mann,https://en.wikipedia.org/wiki/Leslie_Mann,46,U.S.,California,San Francisco,American,,['Corona del Mar High School'],F,"['Actress', 'comedian']",
Circle in the Square Theatre School,,,,,,,,,Thomas Sadoski,https://en.wikipedia.org/wiki/Thomas_Sadoski,42,U.S.,Connecticut,New Haven,American,,['Circle in the Square Theatre School'],M,['Actor'],
Eastern Regional High School,,,,,,,,,Kelly Ripa,https://en.wikipedia.org/wiki/Kelly_Ripa,48,U.S.,New Jersey,Stratford,American,,['Eastern Regional High School'],F,"['Actress', 'talk show host', 'television producer']",
