occupation - Split 1,education - Split 1,education - Split 2,education - Split 3,education - Split 4,education - Split 5,almamater - Split 1,almamater - Split 2,almamater - Split 3,almamater - Split 4,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Entertainment and Show Business,,,,,,,,,,John Stamos,https://en.wikipedia.org/wiki/John_Stamos,55,U.S.,California,Cypress,American,,,M,"['Actor', 'producer' 'musician']",
Entertainment and Show Business,,,,,,,,,,Jeffrey Dean Morgan,https://en.wikipedia.org/wiki/Jeffrey_Dean_Morgan,52,U.S.,Washington,Seattle,American,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Richard Dreyfuss,https://en.wikipedia.org/wiki/Richard_Dreyfuss,71,U.S.,New York,New York City,American,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Fred Armisen,https://en.wikipedia.org/wiki/Fred_Armisen,51,U.S.,Mississippi,Hattiesburg,American,,,F,"['Actor', 'comedian', 'producer', 'writer']",
Entertainment and Show Business,,,,,,,,,,Ben Stiller,https://en.wikipedia.org/wiki/Ben_Stiller,52,U.S.,New York,New York City,American,,,M,"['Actor', 'comedian', 'producer', 'writer']",
Entertainment and Show Business,,,,,,,,,,Bobby Cannavale,https://en.wikipedia.org/wiki/Bobby_Cannavale,48,U.S.,New Jersey,Union City,American,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Courtney B. Vance,https://en.wikipedia.org/wiki/Courtney_B._Vance,58,U.S.,Michigan,Detroit,American,,,F,['Actor'],
Entertainment and Show Business,,,,,,,,,,John Travolta,https://en.wikipedia.org/wiki/John_Travolta,64,U.S.,New Jersey,Englewood,American,,,M,"['Actor', 'producer', 'singer', 'dancer']",
Entertainment and Show Business,,,,,,,,,,Josh Brolin,https://en.wikipedia.org/wiki/Josh_Brolin,50,U.S.,California,Santa Monica,American,,,M,['Actor'],
Entertainment and Show Business,,,,,,,,,,Laurence Fishburne,https://en.wikipedia.org/wiki/Laurence_Fishburne,57,U.S.,Georgia,Augusta,American,,,M,"['Actor', 'producer', 'playwright',  'screenwriter', 'film director']",
