occupation - Split 1,education - Split 1,education - Split 2,education - Split 3,education - Split 4,education - Split 5,almamater - Split 1,almamater - Split 2,almamater - Split 3,almamater - Split 4,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
"Government ,Politics and Military",,,,,,University of Waikato,,,,Jacinda Ardern,https://en.wikipedia.org/wiki/Jacinda_Ardern,38,New Zealand,,,New Zealand,['University of Waikato'],,F,['Prime Minister of New Zealand'],Labour 
Airline Captain,,,,,,,,,,Chesley Sullenberger,https://en.wikipedia.org/wiki/Chesley_Sullenberger,67,U.S.,Texas,Denison,American,,,M,['Airline Captain'],
Science and Academics,Stanford University,,,,,,,,,Olivia Hallisey,https://en.wikipedia.org/wiki/Olivia_Hallisey,18,U.S.,Connecticut,Greenwich,American,,['Stanford University'],F,['Student' 'Scientist'],
Television journalists and hosts,,,,,,University of Florida,,,,Erin Andrews,https://en.wikipedia.org/wiki/Erin_Andrews,40,U.S.,Maine,Lewiston,American,['University of Florida'],,F,"['Sportscaster', 'television personality']",
Television journalists and hosts,,,,,,,,,,Jimmy Kimmel,https://en.wikipedia.org/wiki/Jimmy_Kimmel,50,U.S.,New York,New York City,American,,,M,['American television host'],
Television journalists and hosts,Harvard University,,,,,,,,,Mark Halperin,https://en.wikipedia.org/wiki/Mark_Halperin,53,U.S.,New York,New York City,American,,Harvard University'],M,"['Anchor', 'Author', 'Columnist']",
Television journalists and hosts,,,,,,,,,,Gayle King,https://en.wikipedia.org/wiki/Gayle_King,63,U.S.,Maryland,Chevy Chase,American,,,M,"['Broadcast journalist', 'Magazine editor']",
Television journalists and hosts,University of Georgia,New England Culinary Institute,,,,,,,,Alton Brown,https://en.wikipedia.org/wiki/Alton_Brown,56,U.S.,California,Los Angeles,American,,"['University of Georgia', 'New England Culinary Institute']",M,['Food show Presenter'],
Television journalists and hosts,,,,,,,,,,Cedric the Entertainer,https://en.wikipedia.org/wiki/Cedric_the_Entertainer,54,U.S.,Missouri,,American,,,M,['Game Show Host'],
Television journalists and hosts,University of North Carolina,,,,,,,,,Brooke Baldwin,https://en.wikipedia.org/wiki/Brooke_Baldwin,39,U.S.,Georgia,Atlanta,American,,['University of North Carolina'],F,['News anchor'],
Television journalists and hosts,University of Mississippi,,,,,,,,,Shepard Smith,https://en.wikipedia.org/wiki/Shepard_Smith,54,U.S.,Mississippi,Holly Springs,American,,['University of Mississippi'],M,['News anchor'],
Television journalists and hosts,DePauw University,,,,,,,,,Bret Baier,https://en.wikipedia.org/wiki/Bret_Baier,48,U.S.,New Jersey,Rumson,American,,['DePauw University'],M,['News anchor'],
Television journalists and hosts,Georgetown University,Williams College,,,,,,,,Mika Brzezinski,https://en.wikipedia.org/wiki/Mika_Brzezinski,51,U.S.,New York,New York City,American,,"['Georgetown University', 'Williams College']",F,"['News presenter', ', author']",
Television journalists and hosts,,,,,,Wheaton College,,,,Lesley Stahl,https://en.wikipedia.org/wiki/Lesley_Stahl,76,U.S.,Massachusetts,Lynn,American,['Wheaton College'],,F,['News reporter'],
Television journalists and hosts,University of Southern California,,,,,,,,,Julie Chen,https://en.wikipedia.org/wiki/Julie_Chen,48,U.S.,New York,New York City,American,,['University of Southern California'],F,"['Presenter', 'anchor', 'producer']",
Television journalists and hosts,,,,,,,,,,Graham Norton,https://en.wikipedia.org/wiki/Graham_Norton,55,U.K.,Cork,Bandon,British,,,M,"['Presenter', 'comedian', 'actor', 'writer',  'commentator']",
Television journalists and hosts,,,,,,Dartmouth College,,,,Aisha Tyler,https://en.wikipedia.org/wiki/Aisha_Tyler,48,U.S.,California,San Francisco,American,['Dartmouth College'],,F,"['Talk show host', 'actress', 'comedian', 'author', 'producer', 'writer', 'director']",
Television journalists and hosts,,,,,,Duke University,,,,Charlie Rose,https://en.wikipedia.org/wiki/Charlie_Rose,76,U.S.,North Carolina,Henderson,American,['Duke University'],,M,"['Talk show host', 'journalist']",
Television journalists and hosts,Clayton High School,,,,,Boston University,,,,Andy Cohen,https://en.wikipedia.org/wiki/Andy_Cohen_(TV_personality),50,U.S.,Missouri,St. Louis,American,['Boston University'],['Clayton High School'],M,"['Talk show host', 'radio host', 'author', 'producer']",
Television journalists and hosts,,,,,,Yale University,,,,Ezra Edelman,https://en.wikipedia.org/wiki/Ezra_Edelman,44,U.S.,Massachusetts,Boston,American,['Yale University'],,M,"['Television director', 'television producer']",
Television journalists and hosts,,,,,,Brown University,,,,Alex Wagner,https://en.wikipedia.org/wiki/Alex_Wagner,40,U.S.,D.C.,Washington,American,['Brown University'],,F,"['Television host', 'author']",
Television journalists and hosts,,,,,,Northeastern University,,,,Wendy Williams,https://en.wikipedia.org/wiki/Wendy_Williams,54,U.S.,New Jersey,Monmouth County,American,['Northeastern University'],,F,"['Television host',  'author',  'actress', 'producer', 'fashion designer', 'former radio personality']",
Television journalists and hosts,,,,,,Midwestern State University,University of North Texas,,,Dr. Phil,https://en.wikipedia.org/wiki/Phil_McGraw,68,U.S.,Oklahoma,Vinita,American,"['Midwestern State University', 'University of North Texas']",,M,['Television host'],
Television journalists and hosts,Stanford University,"Lincoln College,Oxford",,,,,,,,Rachel Maddow,https://en.wikipedia.org/wiki/Rachel_Maddow,45,U.S.,California,Castro Valley,American,,"['Stanford University', 'Lincoln College, Oxford']",F,"['Television host', 'political commentator', 'author']",
Television journalists and hosts,,,,,,Harvard University,,,,Conan O'Brien,https://en.wikipedia.org/wiki/Conan_O%27Brien,55,U.S.,Massachusetts,Brookline,American,['Harvard University'],,M,['Television Host'],
Television journalists and hosts,Lawrence High School,,,,,College of William amp Mary,,,,Jon Stewart,https://en.wikipedia.org/wiki/Jon_Stewart,55,U.S.,New York,New York City,American,['College of William amp Mary'],['Lawrence High School'],M,['Television Host'],
Television journalists and hosts,Manchester High School West,,,,,Northwestern University,,,,Seth Meyers,https://en.wikipedia.org/wiki/Seth_Meyers,44,U.S.,Illinois,Evanston,American,['Northwestern University'],['Manchester High School West'],M,['Television Host'],
Television journalists and hosts,Pascack Hills High School,,,,,Cornell University,,,,Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher,62,U.S.,New York,New York City,American,['Cornell University'],['Pascack Hills High School'],M,['Television Host'],
Television journalists and hosts,,,,,,"Christs College,Cambridge",,,,John Oliver,https://en.wikipedia.org/wiki/John_Oliver_(comedian),41,U.K.,Birmingham,Erdington,British,"['Christs College, Cambridge']",,M,['Television Host'],
Television journalists and hosts,,,,,,,,,,Craig Ferguson,https://en.wikipedia.org/wiki/Craig_Ferguson,56,U.K.,Scotland,Glasgow,American,,,M,['Television Host'],
Television journalists and hosts,,,,,,Wellesley College,,,,Diane Sawyer,https://en.wikipedia.org/wiki/Diane_Sawyer,72,U.S.,Kentucky,Glasgow,American,['Wellesley College'],,F,['Television journalist'],
Television journalists and hosts,Yankton High School,,,,,University of South Dakota,,,,Tom Brokaw,https://en.wikipedia.org/wiki/Tom_Brokaw,78,U.S.,South Dakota,Webster,American,['University of South Dakota'],['Yankton High School'],M,"['Television journalist', 'Author']",
Television journalists and hosts,Douglas MacArthur High School,,,,,Georgetown University,,,,Norah O'Donnell,https://en.wikipedia.org/wiki/Norah_O%27Donnell,44,U.S.,D.C.,Washington,American,['Georgetown University'],['Douglas MacArthur High School'],F,['Television journalist'],
Television journalists and hosts,,,,,,Colby College,,,,Billy Bush,https://en.wikipedia.org/wiki/Billy_Bush,47,U.S.,New York,New York City,American,['Colby College'],,M,"['Television presenter', 'radio personality']",
Television journalists and hosts,,,,,,Colgate University,,,,Jeff Fager,https://en.wikipedia.org/wiki/Jeff_Fager,63,U.S.,Massachusetts,,American,['Colgate University'],,M,['Television producer'],
Television journalists and hosts,,,,,,Dartmouth College,University of Southern California,,,Shonda Rhimes,https://en.wikipedia.org/wiki/Shonda_Rhimes,48,U.S.,Illinois,Chicago,American,"['Dartmouth College', 'University of Southern California']",,F,"['Television producer', 'television writer', 'screenwriter']",
Television journalists and hosts,,,,,,,,,,Charlamagne Tha God,https://en.wikipedia.org/wiki/Charlamagne_Tha_God,40,U.S.,South Carolina,Charleston,American,,,M,['Radio Presenter'],
Television journalists and hosts,University of Georgia,,,,,,,,,Ernie Johnson Jr.,https://en.wikipedia.org/wiki/Ernie_Johnson_Jr.,62,U.S.,Wisconsin,Milwaukee,American,,"['University of Georgia', 'Bachelor of Arts in Journalism']",M,"['OnAir Personality', 'Turner Sports']",
Sports,,,,,,,,,,Tiger Woods,https://en.wikipedia.org/wiki/Tiger_Woods,42,U.S.,California,Cypress,American,,,M,['Golfer'],
Sports,,,,,,,,,,Jordan Spieth,https://en.wikipedia.org/wiki/Jordan_Spieth,25,U.S.,Texas,Dallas,American,,,M,['Golfer'],
Sports,,,,,,,,,,John McEnroe,https://en.wikipedia.org/wiki/John_McEnroe,59,Germany,Hesse,Wiesbaden,American,,,M,['Tennis Player'],
Sports,Indiana University Bloomington,,,,,,,,,Joe Buck,https://en.wikipedia.org/wiki/Joe_Buck,49,U.S.,Florida,St. Petersburg,American,,['Indiana University Bloomington'],M,['Sports commentator'],
Sports,,,,,,,,,,Abby Wambach,https://en.wikipedia.org/wiki/Abby_Wambach,38,U.S.,New York,Rochester,American,,,F,['Soccer Player'],
Sports,,,,,,,,,,Ibtihaj Muhammad,https://en.wikipedia.org/wiki/Ibtihaj_Muhammad,32,U.S.,New Jersey,Maplewood,American,,,M,['Sabre Fencer'],
Sports,,,,,,,,,,Ronda Rousey,https://en.wikipedia.org/wiki/Ronda_Rousey,31,U.S.,California,,American,,,M,['Professional Wrestler'],
Sports,,,,,,Springfield College,,,,John Cena,https://en.wikipedia.org/wiki/John_Cena,41,U.S.,Massachusetts,West Newbury,American,['Springfield College'],,M,"['Professional wrestler', 'actor', 'voice actor', 'rapper', 'television host']",
Sports,,,,,,,,,,Wayne Gretzky,https://en.wikipedia.org/wiki/Wayne_Gretzky,57,Canada,Ontario,,Canadian,,,M,['Ice Hockey Player'],
Sports,,,,,,,,,,Michael Strahan,https://en.wikipedia.org/wiki/Michael_Strahan,46,U.S.,Houston,Texas,American,,,M,['football player'],
Sports,,,,,,,,,,Brandon Marshall,https://en.wikipedia.org/wiki/Brandon_Marshall,34,U.S.,Pennsylvania,Pittsburgh,American,,,M,['football player'],
Sports,,,,,,,,,,Adam Rippon,https://en.wikipedia.org/wiki/Adam_Rippon,28,U.S.,Pennsylvania,Scranton,American,,,M,['Figure skater'],
Sports,,,,,,,,,,RuPaul Charles,https://en.wikipedia.org/wiki/RuPaul,57,U.S.,California,San Diego,American,,,F,"['Drag performer', 'actor', 'model',  'singer', 'songwriter', 'television personality',  'author']",
Sports,,,,,,,,,,Jimmie Johnson,https://en.wikipedia.org/wiki/Jimmie_Johnson,43,U.S.,California,El Cajon,American,,,M,['Car Racing Driver'],
Sports,,,,,,,,,,Dennis Rodman,https://en.wikipedia.org/wiki/Dennis_Rodman,57,U.S.,New Jersey,Trenton,American,,,M,['Basketball Player'],
Sports,,,,,,,,,,Allen Iverson,https://en.wikipedia.org/wiki/Allen_Iverson,43,U.S.,Virginia,Hampton,American,,,M,['Basketball Player'],
Sports,,,,,,,,,,Stephen Curry,https://en.wikipedia.org/wiki/Stephen_Curry,30,U.S.,Ohio,Akron,American,,,M,['Basketball Player'],
Sports,,,,,,,,,,Kevin Love,https://en.wikipedia.org/wiki/Kevin_Love,30,U.S.,California,Santa Monica,American,,,M,['basketball player'],
Sports,,,,,,,,,,Charles Barkley,https://en.wikipedia.org/wiki/Charles_Barkley,55,U.S.,Alabama,Leeds,American,,,M,['basketball player'],
Sports,,,,,,,,,,Russell Westbrook,https://en.wikipedia.org/wiki/Russell_Westbrook,29,U.S.,California,Long Beach,American,,,M,['basketball player'],
Sports,,,,,,,,,,David Ortiz,https://en.wikipedia.org/wiki/David_Ortiz,42,Dominican Republic,Santo Domingo,,American,,,M,['Baseball Player'],
Sports,,,,,,,,,,Tom Brady,https://en.wikipedia.org/wiki/Tom_Brady,41,U.S.,California,San Mateo County,American,,,M,['American football player'],
YouTube personality,Hunter College,,,,,,,,,Mero,https://en.wikipedia.org/wiki/The_Kid_Mero,35,U.S.,,,American,,['Hunter College'],M,['YouTube personality'],
YouTube personality,College of Mount Saint Vincent,,,,,,,,,Desus,https://en.wikipedia.org/wiki/Desus,35,U.S.,New York,New York City,American,,['College of Mount Saint Vincent'],M,['YouTube personality'],
Television journalists and hosts,,,,,,American University,New York Law School,,,Judith Sheindlin,https://en.wikipedia.org/wiki/Judith_Sheindlin,76,U.S.,New York,New York City,American,"['American University', 'New York Law School',]",,F,"['Lawyer', 'judge', 'television personality', 'author', 'arbitrator']",
Entertainment and Show Business,,,,,,Peking Opera School,,,,Jackie Chan,https://en.wikipedia.org/wiki/Jackie_Chan,64,Hong Kong,Victoria Peak,,Hong Kong,['Peking Opera School'],,M,"['Martial artist', 'actor', 'director', 'producer', 'screenwriter', 'action choreographer', 'singer', 'stunt director', 'stunt performer']",
Science and Academics,,,,,,,,,,Sarah Parcak,https://en.wikipedia.org/wiki/Sarah_Parcak,39,U.S.,Maine,Bangor,American,,,F,"['Associate Professor', 'Archaeologist', 'Egyptologist', 'Remote Sensing Archaeologist']",
Science and Academics,,,,,,,,,,Scott Kelly,https://en.wikipedia.org/wiki/Scott_Kelly_(astronaut),54,U.S.,New Jersey,Orange,American,,,M,['Astronaut'],
Science and Academics,,,,,,United States Military Academy,Massachusetts Institute of Technology,,,Buzz Aldrin,https://en.wikipedia.org/wiki/Buzz_Aldrin,88,U.S.,Massachusetts,Glen Ridge,American,"['United States Military Academy', 'Massachusetts Institute of Technology']",,M,['Astronaut'],
Science and Academics,,,,,,Harvard College,University of Texas at Austin,Columbia University,,Neil deGrasse Tyson,https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson,60,U.S.,New York,New York City,American,"['Harvard College', 'University of Texas at Austin','Columbia University']",,M,['Astrophysicist'],
Science and Academics,,,,,,,,,,Jackson Galaxy,https://en.wikipedia.org/wiki/Jackson_Galaxy,52,U.S.,New York,New York City,American,,,M,"['Cat behaviorist', 'Television host']",
Science and Academics,,,,,,Duke University,Harvard University,,,George Church,https://en.wikipedia.org/wiki/George_M._Church,64,U.S.,MacDill Air Force Base,Florida,American,"['Duke University', 'Harvard University ']",,M,['Geneticist'],
Science and Academics,Friends Select School,,,,,Simons Rock College,Rutgers University,New York University,Stanford University,John McWhorter,https://en.wikipedia.org/wiki/John_McWhorter,53,U.S.,Pennsylvania,Philadelphia,American,"['Simons Rock College', 'Rutgers University',  'New York University', 'Stanford University']",['Friends Select School'],M,['Linguist'],
Science and Academics,Roedean School,,,,,University of Cambridge,,,,Eugenia Cheng,https://en.wikipedia.org/wiki/Eugenia_Cheng,,U.K.,Hampshire,,British,['University of Cambridge'],['Roedean School'],F,['Mathematician'],
Science and Academics,,,,,,Cornell University,,,,Bill Nye,https://en.wikipedia.org/wiki/Bill_Nye,62,U.S.,D.C.,Washington,American,['Cornell University'],,M,['Science Communicator'],
Science and Academics,University of Chicago,,,,,,,,,Nate Silver,https://en.wikipedia.org/wiki/Nate_Silver,40,U.S.,Michigan,East Lansing,American,,['University of Chicago'],M,"['Statistician', 'journalist']",
Science and Academics,,,,,,Harvard University,University of Oxford,,,Brian Greene,https://en.wikipedia.org/wiki/Brian_Greene,55,U.S.,New York,New York City,American,"['Harvard University',  'University of Oxford']",,M,['Theoretical physicist'],
Sports,,,,,,,,,,Lindsey Vonn,https://en.wikipedia.org/wiki/Lindsey_Vonn,34,U.S.,Minnesota,Saint Paul,American,,,F,['Ski Racer'],
Catholic Bishop,,,,,,,,,,Thomas Wenski,https://en.wikipedia.org/wiki/Thomas_Wenski,68,U.S.,Florida,West Palm Beach,American,,,M,['Catholic Bishop'],
"Government ,Politics and Military",,,,,,,,,,Edward Byers,https://en.wikipedia.org/wiki/Edward_Byers,39,U.S.,Ohio,Toledo,American,,,M,['Navy SEAL'],
"Government ,Politics and Military",,,,,,,,,,Florent Groberg,https://en.wikipedia.org/wiki/Florent_Groberg,35,France,Poissy,,American,,,M,['Military officer'],
"Government ,Politics and Military",,,,,,Kenyon College,,,,Tommy Vietor,https://en.wikipedia.org/wiki/Tommy_Vietor,38,U.S.,Massachusetts,,American,['Kenyon College'],,M,"['National Security Council  spokesperson', 'podcast host']",
"Government ,Politics and Military",Harvard University,,,,,,,,,Loretta Lynch,https://en.wikipedia.org/wiki/Loretta_Lynch,59,U.S.,North Carolina,Greensboro,American,,['Harvard University'],F,['United States Attorney General'],
"Government ,Politics and Military",,,,,,,,,,Jack H. Jacobs,https://en.wikipedia.org/wiki/Jack_H._Jacobs,73,U.S.,New York,New York City,American,,,M,['Colonel'],
Journalists and Writers,Colby College,Harvard University,,,,,,,,Doris Kearns Goodwin,https://en.wikipedia.org/wiki/Doris_Kearns_Goodwin,75,U.S.,New York,New York City,American,,"['Colby College', 'Harvard University']",F,"['Historian', 'author', 'political commentator']",
Entertainment and Show Business,,,,,,,,,,Robert Smigel,https://en.wikipedia.org/wiki/Robert_Smigel,58,U.S.,New York,New York City,American,,,M,['Humorist'],
Journalists and Writers,,,,,,Western Carolina University,School of the Art Institute of Chicago,,,David Sedaris,https://en.wikipedia.org/wiki/David_Sedaris,61,U.S.,New York,Johnson City,American,"['Western Carolina University', 'School of the Art Institute of Chicago']",,M,['Humorist'],
YouTube personality,,,,,,,,,,PewDiePie,https://en.wikipedia.org/wiki/PewDiePie,29,Sweden,Gothenburg,,Swedish,,,M,['Youtuber'],
YouTube personality,,,,,,,,,,Colleen Ballinger,https://en.wikipedia.org/wiki/Colleen_Ballinger,33,U.S.,California,Santa Barbara,American,,,F,['Youtuber'],
YouTube personality,,,,,,,,,,Liza Koshy,https://en.wikipedia.org/wiki/Liza_Koshy,22,U.S.,Texas,Houston,American,,,F,['Youtuber'],
Journalists and Writers,,,,,,,,,,Dean Baquet,https://en.wikipedia.org/wiki/Dean_Baquet,62,U.S.,Louisiana,New Orleans,American,,,M,"['Executive editor', 'The New York Times']",
Journalists and Writers,,,,,,Bryn Mawr College,,,,Margaret Hoover,https://en.wikipedia.org/wiki/Margaret_Hoover,40,U.S.,Colorado,,American,['Bryn Mawr College'],,F,['Political Commentator'],
Journalists and Writers,Saint Sebastians School,,,,,Harvard University,,,,Lawrence O'Donnell,https://en.wikipedia.org/wiki/Lawrence_O%27Donnell,66,U.S.,Massachusetts,Boston,American,['Harvard University'],['Saint Sebastians School'],M,"['Political analyst', 'television host', 'actor']",
Journalists and Writers,,,,,,,,,,Jonathan Franzen,https://en.wikipedia.org/wiki/Jonathan_Franzen,59,U.S.,Illinois,Western Springs,American,,,M,"['Novelist', 'essayist']",
Journalists and Writers,,,,,,University of New Hampshire,University of Iowa,,,John Irving,https://en.wikipedia.org/wiki/John_Irving,76,U.S.,Exeter,New Hampshire,American,"['University of New Hampshire', 'University of Iowa']",,M,"['Novelist', 'Screenwriter']",
Journalists and Writers,,,,,,New York University,,,,Elizabeth Gilbert,https://en.wikipedia.org/wiki/Elizabeth_Gilbert,49,U.S.,Connecticut,Waterbury,American,['New York University'],,F,"['Novelist', 'memoirist']",
Journalists and Writers,,,,,,Isidore Newman School,Princeton University,London School of Economics,,Michael Lewis,https://en.wikipedia.org/wiki/Michael_Lewis,58,U.S.,Louisiana,New Orleans,American,"['Isidore Newman School', 'Princeton University', 'London School of Economics']",,M,"['Nonfiction writer', 'journalist']",
Journalists and Writers,,,,,,"Trinity College,Cambridge",University of Toronto,,,Malcolm Gladwell,https://en.wikipedia.org/wiki/Malcolm_Gladwell,55,U.K.,Fareham,,Canadian,"['Trinity College', 'University of Toronto']",,M,"['Nonfiction writer', 'journalist']",
Journalists and Writers,North London Collegiate School,,,,,,,,,Anna Wintour,https://en.wikipedia.org/wiki/Anna_Wintour,68,U.K.,London,Hampstead,British,,['North London Collegiate School'],F,"['Magazine editor', 'fashion journalist']",
Journalists and Writers,Syracuse University,Stanford University,,,,,,,,Ted Koppel,https://en.wikipedia.org/wiki/Ted_Koppel,78,UK,Lancashire,Nelson,British,,"['Syracuse University', 'Stanford University']",M,"['Journalist', 'News anchor', 'Author']",
Journalists and Writers,,,,,,"Girton College,Cambridge",,Visva Bharati University,,Arianna Huffington,https://en.wikipedia.org/wiki/Arianna_Huffington,68,Greece,Athens,,American,"['Girton College, Cambridge', 'Visva Bharati University']",,F,"['Journalist', 'entrepreneur']",
Journalists and Writers,,,,,,James Madison University,,,,Jim Acosta,https://en.wikipedia.org/wiki/Jim_Acosta,47,Cuba,,,American,['James Madison University'],,M,['Journalist'],
Journalists and Writers,,,,,,Boston University,,,,Steve Kornacki,https://en.wikipedia.org/wiki/Steve_Kornacki,39,U.S.,Massachusetts,Groton,American,['Boston University'],,M,['Journalist'],
Journalists and Writers,,,,,,Yale University,,,,Anderson Cooper,https://en.wikipedia.org/wiki/Anderson_Cooper,51,U.S.,New York,New York City,American,['Yale University'],,M,"['Journalist', 'author', 'anchor']",
Journalists and Writers,,,,,,Harvard University,,,,Nell Scovell,https://en.wikipedia.org/wiki/Nell_Scovell,57,U.S.,Massachusetts,Newton,American,['Harvard University'],,M,"['Journalist', 'writer', 'producer']",
Entertainment and Show Business,,,,,,,,,,Sarah McDaniel,https://en.wikipedia.org/wiki/Sarah_McDaniel,23,U.S.,California,Roseville,American,,,F,['Model'],
Journalists and Writers,,,,,,The University of Chicago,,,,Sarah Koenig,https://en.wikipedia.org/wiki/Sarah_Koenig,49,U.S.,New York,New York City,American,['The University of Chicago'],,F,"['Journalist', 'Public radio personality', 'former producer of the television and radio program This American Life']",
Journalists and Writers,,,,,,University of Virginia,,,,Katie Couric,https://en.wikipedia.org/wiki/Katie_Couric,61,U.S.,Virginia,Arlington,American,['University of Virginia'],,F,['Journalist'],
Journalists and Writers,,,,,,University of Oregon School of Journalism,,,,Ann Curry,https://en.wikipedia.org/wiki/Ann_Curry,61,U.S.,Guam,,American,['University of Oregon School of Journalism'],,F,['Journalist'],
Journalists and Writers,,,,,,,,,,Jeff Glor,https://en.wikipedia.org/wiki/Jeff_Glor,43,U.S.,New York,Buffalo,American,,,M,"['Journalist', 'correspondent', 'news anchor']",
Journalists and Writers,,,,,,University of Virginia,Columbia University,,,Ron Suskind,https://en.wikipedia.org/wiki/Ron_Suskind,58,U.S.,New York,Kingston,American,"['University of Virginia', 'Columbia University']",,M,"['Journalist', 'author']",
Journalists and Writers,,,,,,Northwestern University,Harvard University,,,John Heilemann,https://en.wikipedia.org/wiki/John_Heilemann,52,U.S.,California,Los Angeles,American,"['Northwestern University', 'Harvard University']",,M,"['Journalist', 'Anchor']",
Journalists and Writers,,,,,,Bard College,Yale University,,,Ronan Farrow,https://en.wikipedia.org/wiki/Ronan_Farrow,30,U.S.,New York,New York City,American,"['Bard College', 'Yale University']",,M,"['Journalist', 'lawyer']",
Journalists and Writers,Sidwell Friends School,,,,,University of Virginia,,,,John Dickerson,https://en.wikipedia.org/wiki/John_Dickerson_(journalist),50,U.S.,D.C.,Washington,American,['University of Virginia'],['Sidwell Friends School'],M,"['Journalist', 'television host']",
Journalists and Writers,University of Michigan,,,,,,,,,Mark Leibovich,https://en.wikipedia.org/wiki/Mark_Leibovich,53,U.S.,Massachusetts,Boston,American,,['University of Michigan'],M,['Journalist'],
Journalists and Writers,University of Virginia,,,,,,,,,Margaret Brennan,https://en.wikipedia.org/wiki/Margaret_Brennan,38,U.S.,Connecticut,Stamford,American,,['University of Virginia'],F,['Journalist'],
Journalists and Writers,Texas Christian University,,,,,,,,,Bob Schieffer,https://en.wikipedia.org/wiki/Bob_Schieffer,81,U.S.,Texas,Austin,American,,['Texas Christian University'],M,"['Journalist', 'Anchor']",
Journalists and Writers,Morgan State University,,,,,,,,,April Ryan,https://en.wikipedia.org/wiki/April_Ryan,51,U.S.,Maryland,Baltimore,American,,['Morgan State University'],F,['Journalist'],
Journalists and Writers,Brentwood School,,,,,University of California,,,,Katy Tur,https://en.wikipedia.org/wiki/Katy_Tur,35,U.S.,California,Los Angeles,American,"['University of California, Santa Barbara']",['Brentwood School'],F,"['Journalist', ' news anchor']",
Journalists and Writers,Baker High School,,,,,Brooklyn College,Louisiana State University,,,Don Lemon,https://en.wikipedia.org/wiki/Don_Lemon,52,U.S.,Louisiana,Baton Rouge,American,"['Brooklyn College', 'Louisiana State University']",['Baker High School'],M,['Journalist'],
Journalists and Writers,Yale University,George Washington University,,,,,,,,Bob Woodward,https://en.wikipedia.org/wiki/Bob_Woodward,75,U.S.,Illinois,Geneva,American,,"['Yale University', 'George Washington University']",M,['Journalist'],
Journalists and Writers,,,,,,University of Rhode Island,,,,Christiane Amanpour,https://en.wikipedia.org/wiki/Christiane_Amanpour,60,U.K.,London,,British,['University of Rhode Island'],,F,"['Journalist',  'television host']",
Journalists and Writers,,,,,,Manhattan College,Vanderbilt University,,,James Patterson,https://en.wikipedia.org/wiki/James_Patterson,71,U.S.,New York,Newburgh,American,"['Manhattan College', 'Vanderbilt University']",,M,['Author'],
Journalists and Writers,,,,,,Brandeis University,"St Anthonys College,Oxford",,,Thomas L. Friedman,https://en.wikipedia.org/wiki/Thomas_Friedman,65,U.S.,Minnesota,St. Louis Park,American,"['Brandeis University', 'St Anthonys College, Oxford']",,M,"['Author', 'Columnist']",
Journalists and Writers,,,,,,Stanford University,,,,Gretchen Carlson,https://en.wikipedia.org/wiki/Gretchen_Carlson,52,U.S.,Minnesota,Anoka,American,['Stanford University'],,F,"['Author', 'television host']",
Journalists and Writers,,,,,,Harvard University,"Pembroke College,Oxford",,,Walter Isaacson,https://en.wikipedia.org/wiki/Walter_Isaacson,66,U.S.,Louisiana,New Orleans,American,"['Harvard University', 'Pembroke College, Oxford']",,M,['Author'],
Journalists and Writers,,,,,,Yale University,Columbia University,,,John Avlon,https://en.wikipedia.org/wiki/John_Avlon,44,U.S.,New York,New York City,American,"['Yale University', 'Columbia University']",,M,"['Author', 'columnist', 'Editor in Chief and Managing Director of The Daily Beast']",
Journalists and Writers,,,,,,Bennington College,Columbia University,,,Michael Pollan,https://en.wikipedia.org/wiki/Michael_Pollan,63,U.S.,New York,Long Island,American,"['Bennington College', 'Columbia University']",,M,"['Author', 'journalist', 'professor']",
Journalists and Writers,Columbia University,Vassar College,,,,,,,,Michael Wolff,https://en.wikipedia.org/wiki/Michael_Wolff_(journalist),65,U.S.,New Jersey,Patterson,American,"['Vassar College', 'Columbia University']",,M,"['Author', 'journalist']",
Journalists and Writers,,,,,,Pitzer College,American University,,,Max Brooks,https://en.wikipedia.org/wiki/Max_Brooks,46,U.S.,New York,New York City,American,"['Pitzer College', 'American University']",,M,['Author'],
Journalists and Writers,Quigley Preparatory Seminary North,,,,,University of Illinois at UrbanaChampaign,,,,Dan Savage,https://en.wikipedia.org/wiki/Dan_Savage,54,U.S.,Illinois,Chicago,American,['University of Illinois at UrbanaChampaign'],['Quigley Preparatory Seminary North'],M,"['Author', 'media pundit', 'journalist', 'newspaper editor', 'sex advice columnist']",
Journalists and Writers,Syracuse University,George Washington University,,,,,,,,Ina Garten,https://en.wikipedia.org/wiki/Ina_Garten,70,U.S.,New York,New York City,American,,"['Syracuse University', 'George Washington University']",F,['Author'],
Journalists and Writers,Knoxville College,CarsonNewman College,Princeton University,,,,,,,Michael Eric Dyson,https://en.wikipedia.org/wiki/Michael_Eric_Dyson,60,U.S.,Michigan,Detroit,American,,"['Knoxville College', 'CarsonNewman College', 'Princeton University']",M,"['Author', 'Professor']",
Journalists and Writers,,,,,,Williams College,,,,Jon Lovett,https://en.wikipedia.org/wiki/Jon_Lovett,36,U.S.,New York,Woodbury,American,['Williams College'],,M,"['Speechwriter',  'writer',  'producer']",
