name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
Laura Ricciardi,https://en.wikipedia.org/wiki/Laura_Ricciardi,,U.S.,,,American,,,,
Moira Demos,https://en.wikipedia.org/wiki/Moira_Demos,,U.S.,,,American,,,,
Paul Giamatti,https://en.wikipedia.org/wiki/Paul_Giamatti,51,U.S.,Connecticut,New Haven,American,['Yale University'],,"['Actor, producer']",
Olivia Munn,https://en.wikipedia.org/wiki/Olivia_Munn,38,U.S.,Oklahoma,Oklahoma City,American,['University of Oklahoma'],,['Actress  model'],
T. J. Miller,https://en.wikipedia.org/wiki/T._J._Miller,37,U.S.,Colorado,Denver,American,['George Washington University'],,"['Actor, standup comedian, producer, writer']",
Scott Kelly,https://en.wikipedia.org/wiki/Scott_Kelly_(astronaut),54,U.S.,New Jersey, Orange,American,,,,
Abby Wambach,https://en.wikipedia.org/wiki/Abby_Wambach,38,U.S.,New York,Rochester,American,,,,
Patricia Heaton,https://en.wikipedia.org/wiki/Patricia_Heaton,60,U.S.,Ohio,Bay Village,American,,,['Actress'],Republican
Quincy Jones,https://en.wikipedia.org/wiki/Quincy_Jones,85,U.S.,Illinois,Chicago,American,['Berklee College of Music'],"['Garfield High School, Seattle']",,
DeRay Mckesson,https://en.wikipedia.org/wiki/DeRay_Mckesson,33,U.S.,Maryland,Baltimore,American,['Bowdoin College'],,"['Activist', 'podcaster']",
Charlie Day,https://en.wikipedia.org/wiki/Charlie_Day,42,U.S.,New York,New York City,American,,,"['Actor, screenwriter, producer, comedian, musician']",
Colin Hanks,https://en.wikipedia.org/wiki/Colin_Hanks,40,U.S.,California,Sacramento,American,,,"['Actor, director, producer']",
James Spader,https://en.wikipedia.org/wiki/James_Spader,58,U.S.,Massachusetts,Boston,American,,,['Actor'],
Brandon Marshall,https://en.wikipedia.org/wiki/Brandon_Marshall,34,U.S.,Pennsylvania,Pittsburgh,American,,,,
Sarah Koenig,https://en.wikipedia.org/wiki/Sarah_Koenig,49,U.S.,New York,New York City,American,['The University of Chicago'],,['Journalist  Public radio personality  former producer of the television and radio program   This American Life'],
Christian Slater,https://en.wikipedia.org/wiki/Christian_Slater,49,U.S.,New York,New York City,American,,,"['Actor, voice actor, producer']",
Josh Radnor,https://en.wikipedia.org/wiki/Josh_Radnor,44,U.S.,Ohio,Columbus,American,"['Kenyon College', 'New York University']",,['Actor filmmaker musician'],
Steven Tyler,https://en.wikipedia.org/wiki/Steven_Tyler,70,U.S.,New York,New York City,American,,,['Singer  songwriter  musician  actor  talent judge'],
Gaby Hoffmann,https://en.wikipedia.org/wiki/Gaby_Hoffmann,36,U.S.,New York,New York City,American,['Bard College'],"['Buckley School', 'Calabasas High School']",['Actress'],
Donald Rumsfeld,https://en.wikipedia.org/wiki/Donald_Rumsfeld,86,U.S.,Illinois, Chicago,American,,"['Princeton University', 'Case Western Reserve University', 'Georgetown University']",,Republican
Russell Westbrook,https://en.wikipedia.org/wiki/Russell_Westbrook,29,U.S.,California,Long Beach,American,,,,
Laurence Fishburne,https://en.wikipedia.org/wiki/Laurence_Fishburne,57,U.S.,Georgia,Augusta,American,,,['Actor  producer  playwright  screenwriter  film director'],
Chris Pine,https://en.wikipedia.org/wiki/Chris_Pine,38,U.S.,California,Los Angeles,American,['UC Berkeley'],,['Actor'],
Danielle Brooks,https://en.wikipedia.org/wiki/Danielle_Brooks,29,U.S.,Georgia,Augusta,American,,['Juilliard School'],"['Actress,', 'singer']",
Josh Brolin,https://en.wikipedia.org/wiki/Josh_Brolin,50,U.S.,California,Santa Monica,American,,,['Actor'],
John Dickerson,https://en.wikipedia.org/wiki/John_Dickerson_(journalist),50,U.S.,D.C.,Washington,American,['University of Virginia'],['Sidwell Friends School'],['Journalist  television host'],
Erin Brockovich,https://en.wikipedia.org/wiki/Erin_Brockovich,58,US,Kansas,Lawrence,American,,,['Environmental activist'],
John Travolta,https://en.wikipedia.org/wiki/John_Travolta,64,U.S.,New Jersey,Englewood,American,,,"['Actor, producer, singer, dancer']",
Courtney B. Vance,https://en.wikipedia.org/wiki/Courtney_B._Vance,58,U.S.,Michigan,Detroit,American,,,['Actor'],
Amy Cuddy,https://en.wikipedia.org/wiki/Amy_Cuddy,46,U.S.,Pennsylvania, Robesonia,American,"['University of Colorado', 'Princeton University']",,,
David Schwimmer,https://en.wikipedia.org/wiki/David_Schwimmer,51,U.S.,New York,New York City,American,['Northwestern University’],['Beverly Hills High School'],"['Actor, producer, director']",
Joel Osteen,https://en.wikipedia.org/wiki/Joel_Osteen,55,U.S.,Texas,Houston,American,['Oral Roberts University'],,,
Dr. Phil,https://en.wikipedia.org/wiki/Phil_McGraw,68,U.S.,Oklahoma,Vinita,American,"['Midwestern State University', 'University of North Texas’]",,['Television host'],
Mark,https://en.wikipedia.org/wiki/Mark_Duplass,41,U.S.,Louisiana,New Orleans,American,,,['Film director  producer  screenwriter  actor  musician  author'],
Jay Duplass,https://en.wikipedia.org/wiki/Jay_Duplass,45,U.S.,Louisiana,New Orleans,American,,,['Film director  film producer  writer  actor  author'],
Michael Eric Dyson,https://en.wikipedia.org/wiki/Michael_Eric_Dyson,60,U.S.,Michigan,Detroit,American,,"['Knoxville College', 'CarsonNewman College’, 'Princeton University', 'Princeton University']","['Author, Professor']",
Michael Strahan,https://en.wikipedia.org/wiki/Michael_Strahan,46,U.S.,Houston,Texas,American,,,,
Samantha Bee,https://en.wikipedia.org/wiki/Samantha_Bee,49,Canada,Ontario,Toronto,Canadian,['University of Ottawa'],,,
Bobby Cannavale,https://en.wikipedia.org/wiki/Bobby_Cannavale,48,U.S.,New Jersey,Union City,American,,,['Actor'],
Donny Deutsch,https://en.wikipedia.org/wiki/Donny_Deutsch,60,U.S.,New York,New York City,American,['Wharton School of the University of Pennsylvania'],,"['Chairman of', 'Deutsch Inc.']",Democratic
Tina Fey,https://en.wikipedia.org/wiki/Tina_Fey,48,U.S.,Pennsylvania,Upper Darby,American,['University of Virginia'],,['Actress  comedian  writer  producer  playwright'],
Margot Robbie,https://en.wikipedia.org/wiki/Margot_Robbie,28,Australia,Queensland,Dalby,Australian,,['Somerset College'],"['Actress, film producer']",
Will Ferrell,https://en.wikipedia.org/wiki/Will_Ferrell,51,U.S.,California,Irvine,American,['University of Southern California'],,"['Actor, comedian, producer, writer']",
Megyn Kelly,https://en.wikipedia.org/wiki/Megyn_Kelly,47,U.S.,Illinois,Champaign,American,"['Syracuse University', 'Albany Law School']",,"['Journalist  News anchor   Political commentator', 'Lawyer']",Independent
Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator),69,U.S.,New York,New York City,American,,"['Marist College','Boston University', 'Harvard University']",['Television host  political commentator  author'],Republican
Eddie George,https://en.wikipedia.org/wiki/Eddie_George,45,U.S.,Pennsylvania,Philadelphia,American,,,,
Olivia Wilde,https://en.wikipedia.org/wiki/Olivia_Wilde,34,U.S.,New York,New York City,American,['Gaiety School of Acting'],,['Actress  model'],
Christiane Amanpour,https://en.wikipedia.org/wiki/Christiane_Amanpour,60,U.K.,London, ,British,['University of Rhode Island'],,['Journalist  television host'],
Ben Stiller,https://en.wikipedia.org/wiki/Ben_Stiller,52,U.S.,New York,New York City,American,,,,
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,New York,New York City,American,,['University of Chicago'],,Independent
Kelsey Grammer,https://en.wikipedia.org/wiki/Kelsey_Grammer,63,U.S.,"Saint Thomas,Virgin islands",Charlotte Amalie ,American,,['Juilliard School'],"['Actor, voice actor, comedian, singer, producer, director, writer, activist']",Republican
Fred Armisen,https://en.wikipedia.org/wiki/Fred_Armisen,51,U.S.,Mississippi, Hattiesburg,American,,,,
Sarah McDaniel,https://en.wikipedia.org/wiki/Sarah_Koenig,49,U.S.,New York,New York City,American,['The University of Chicago'],,['Journalist  Public radio personality  former producer of the television and radio program   This American Life'],
Craig Ferguson,https://en.wikipedia.org/wiki/Craig_Ferguson,56,U.K.,Scotland, Glasgow,American,,,,
Hailey Clauson,https://en.wikipedia.org/wiki/Hailey_Clauson,23,U.S.,California,Thousand Oaks,American,,,,
Ashley Graham,https://en.wikipedia.org/wiki/Ashley_Graham_(model),30,U.S., , ,American,,,"['Supermodel', 'Body activist']",
Cory Booker,https://en.wikipedia.org/wiki/Cory_Booker,49,U.S.,D.C.,Washington,American,,"['Stanford University', 'The Queens College, Oxford', 'Yale University']",,Democratic
Eva Longoria,https://en.wikipedia.org/wiki/Eva_Longoria,43,U.S.,Texas,Corpus Christi,American,"['Texas A&M University', 'California State University’]",,['Actress  producer   restaurateur   activist'],
Abbi Jacobson,https://en.wikipedia.org/wiki/Abbi_Jacobson,34,U.S.,Pennsylvania,Wayne,American,['Maryland Institute College of Art'],,['Comedian  actress  writer  illustrator'],
Ilana Glazer,https://en.wikipedia.org/wiki/Ilana_Glazer,31,U.S.,New York, St.James,American,['New York University'],,,
Kate Hudson,https://en.wikipedia.org/wiki/Kate_Hudson,39,U.S.,California,Los Angeles,American,,,"['Actress, author, businesswoman']",
John Kasich,https://en.wikipedia.org/wiki/John_Kasich,66,U.S.,Pennsylvania,McKees Rocks,American,,['Ohio State University'],,Republican
Téa Leoni,https://en.wikipedia.org/wiki/T%C3%A9a_Leoni,52,U.S.,New York,New York City,American,,,['Actress'],
Amanda Peet,https://en.wikipedia.org/wiki/Amanda_Peet,46,U.S.,New York,New York City,American,['Columbia University'],,['Actress'],
Chelsea Handler,https://en.wikipedia.org/wiki/Chelsea_Handler,43,U.S.,New Jersey, Livingston,American,,,,
Zosia Mamet,https://en.wikipedia.org/wiki/Zosia_Mamet,30,U.S.,Vermont,Randolph,American,,,['Actress  musician'],
Casey Affleck,https://en.wikipedia.org/wiki/Casey_Affleck,43,U.S.,Massachusetts,Falmouth,American,['Columbia University'],,['Actor  Director'],
Richard Dreyfuss,https://en.wikipedia.org/wiki/Richard_Dreyfuss,71,U.S.,New York,New York City,American,,,['Actor'],
Debra Messing,https://en.wikipedia.org/wiki/Debra_Messing,50,U.S.,New York,New York City,American,"['Brandeis University', 'New York University']",,['Actress'],
Zachary Quinto,https://en.wikipedia.org/wiki/Zachary_Quinto,41,U.S.,Pennsylvania,Pittsburgh,American,['Carnegie Mellon University'],,['Actor  producer'],
Adrien Brody,https://en.wikipedia.org/wiki/Adrien_Brody,45,U.S.,New York,New York City,American,['Queens College'],['Fiorello H. LaGuardia High School'],"['Actor', 'producer']",
Danai Gurira,https://en.wikipedia.org/wiki/Danai_Gurira,40,U.S.,Iowa,Grinnell,American,"['Macalester College','New York University']",,"['Actress, playwright']",
Brian Greene,https://en.wikipedia.org/wiki/Brian_Greene,55,U.S.,New York,New York City,American,"['Harvard University', 'University of Oxford']",,,
Tim Daly,https://en.wikipedia.org/wiki/Tim_Daly,62,U.S.,New York,New York City,American,['Bennington College'],,"['Actor, producer']",
Graham Nash,https://en.wikipedia.org/wiki/Graham_Nash,76,U.K.,Blackpool, ,British,,,,
Spike Jonze,https://en.wikipedia.org/wiki/Spike_Jonze,49,U.S.,Maryland,Rockville,American,,,"['Director, producer, screenwriter, actor, photographer']",
Jeffrey Dean Morgan,https://en.wikipedia.org/wiki/Jeffrey_Dean_Morgan,52,U.S.,Washington,Seattle,American,,,['Actor'],
Chrissy Teigen,https://en.wikipedia.org/wiki/Chrissy_Teigen,32,U.S.,Utah,Delta,American,,,['Model'],
Mike Birbiglia,https://en.wikipedia.org/wiki/Mike_Birbiglia,40,U.S., Massachusetts, Shrewsbury,American,,,,
Adam Savage,https://en.wikipedia.org/wiki/Adam_Savage,51,U.S.,New York,New York City,American,['Tisch School of the Arts'],,"['Designerfabricator, actor, educator']",
Octavia Spencer,https://en.wikipedia.org/wiki/Octavia_Spencer,46,U.S.,Alabama,Montgomery,American,['Auburn University'],,"['Actress, author']",
John Stamos,https://en.wikipedia.org/wiki/John_Stamos,55,U.S.,California,Cypress,American,,,['Actor  producer  musician'],
Bob Saget,https://en.wikipedia.org/wiki/Bob_Saget,62,U.S.,Philadelphia, Pennsylvania,American,['Temple University'],,,
Dave Coulier,https://en.wikipedia.org/wiki/Dave_Coulier,59,U.S.,Michigan,St. Clair Shores,American,['University of Michigan'],['Notre Dame High School Michigan'],"['Actor, voice actor, standup comedian, impressionist, television host']",
Christopher Meloni,https://en.wikipedia.org/wiki/Christopher_Meloni,57,U.S.,D.C.,Washington,American,,"['University of Colorado Boulder, 'Neighborhood Playhouse']",['Actor'],
Edward Byers,https://en.wikipedia.org/wiki/Edward_Byers,39,U.S., Ohio, Toledo,American,,,,
Will Arnett,https://en.wikipedia.org/wiki/Will_Arnett,48,Canada,Ontario,Toronto,American,,,['Actor  comedian  producer'],
Charles Barkley,https://en.wikipedia.org/wiki/Charles_Barkley,55,U.S.,Alabama,Leeds,American,,,,
Max Greenfield,https://en.wikipedia.org/wiki/Max_Greenfield,38,U.S.,New York,Dobbs Ferry,American,,,['Actor'],
Helen Mirren,https://en.wikipedia.org/wiki/Helen_Mirren,73,U.K.,London,Hammersmith,British,['New College of Speech and Drama'],,['Actor'],
J. J. Abrams,https://en.wikipedia.org/wiki/J._J._Abrams,52,U.S.,New York,New York City,American,['Sarah Lawrence College'],['Palisades Charter High School'],"['Film director, producer, screenwriter, composer']",
Sally Field,https://en.wikipedia.org/wiki/Sally_Field,71,U.S.,California,Pasadena,American,,,['Actress  director'],
Jerrod Carmichael,https://en.wikipedia.org/wiki/Jerrod_Carmichael,31,U.S.,North Carolina,WinstonSalem,American,,,['Comedian  writer  actor'],
Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick,33,U.S.,Maine,Portland,American,,['Deering High School'],"['Actress, singer, author']",
Loretta Lynch,https://en.wikipedia.org/wiki/Loretta_Lynch,59,U.S., North Carolina, Greensboro,American,,['Harvard University'],,
Jeff Daniels,https://en.wikipedia.org/wiki/Jeff_Daniels,63,U.S.,Georgia,Clarke County,American,,,['Actor  musician  playwright'],
Audra McDonald,https://en.wikipedia.org/wiki/Audra_McDonald,48,Germany,West Berlin, ,American,['Juilliard School'],,"['Actress, singer']",
Mary Elizabeth Winstead,https://en.wikipedia.org/wiki/Mary_Elizabeth_Winstead,33,U.S.,North Carolina,Rocky Mount,American,,,['Actress  singer'],
John Oliver,https://en.wikipedia.org/wiki/John_Oliver,41,U.K.,Birmingham, Erdington,British,"['Christs College, Cambridge']",,,
Jordan Spieth,https://en.wikipedia.org/wiki/Jordan_Spieth,25,U.S.,Texas, Dallas,American,,,,
Steve Martin,https://en.wikipedia.org/wiki/Steve_Martin,73,U.S.,Texas, Waco,American,"['University of California, Los Angeles']",,,
Edie Brickell,https://en.wikipedia.org/wiki/Edie_Brickell,52,U.S.,Texas, Dallas,American,,,,
Shirley MacLaine,https://en.wikipedia.org/wiki/Shirley_MacLaine,84,U.S.,Virginia,Richmond,American,,,"['Actress, singer, dancer, author, activist']",
Theo James,https://en.wikipedia.org/wiki/Theo_James,33,UK,England,Oxford,British,,"['Aylesbury Grammar School', 'University of Nottingham', 'Bristol Old Vic Theatre School']",['Actor  musician  model'],
Jussie Smollett,https://en.wikipedia.org/wiki/Jussie_Smollett,36,U.S.,California,Santa Rosa,American,,,"['Actor, singersongwriter']",
William H. Macy,https://en.wikipedia.org/wiki/William_H._Macy,68,U.S. ,Florida , Miami ,American,['Goddard College'],['Allegany High School'],['Actor'],
Melissa Rauch,https://en.wikipedia.org/wiki/Melissa_Rauch,38,U.S.,New Jersey,Marlboro Township,American,,,"['Actress, comedian']",
Isaac Mizrahi,https://en.wikipedia.org/wiki/Isaac_Mizrahi,57,U.S.,New York,New York City,American,,"['Yeshivah of Flatbush', 'High School of Performing Arts', 'Parsons School for Design']",['Fashion designer'],
