,name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
342,Michael Weatherly,https://en.wikipedia.org/wiki/Michael_Weatherly,50,U.S.,New York City, ,,,,"['Actor, producer, director']",
343,Megyn Kelly,https://en.wikipedia.org/wiki/Megyn_Kelly,47,U.S.,Illinois,Champaign,,"[['Syracuse University   B.A.', 'Albany Law School   J.D.']]",,"['Journalist  News anchor   Political commentator', 'Lawyer']",Independent
344,Anthony Anderson,https://en.wikipedia.org/wiki/Anthony_Anderson,48,U.S.,California,Compton,,,['Hollywood High School'],['Actor  comedian  writer  game show host  panelist'],
345,Eugene Levy,https://en.wikipedia.org/wiki/Eugene_Levy,71,Canada,Ontario,Hamilton,Canadian,,,"['Actor, comedian, producer, director, writer']",
346,Catherine O'Hara,https://en.wikipedia.org/wiki/Catherine_O%27Hara,64,Canada,Ontario,Toronto,,,,"['Actress, writer, comedian']",
347,Josh Gad,https://en.wikipedia.org/wiki/Josh_Gad,37,U.S.,Florida,Hollywood,,['Carnegie Mellon College of Fine Arts'],,"['Actor, comedian, singer']",
348,Gillian Jacobs,https://en.wikipedia.org/wiki/Gillian_Jacobs,36,U.S.,Pennsylvania,Pittsburgh,,,"['Juilliard School', 'BFA']",['Actresscomedienne'],
349,Rose Byrne,https://en.wikipedia.org/wiki/Rose_Byrne,39,Australia,New South Wales,Balmain,,,"['University of Sydney', 'Atlantic Theater Company']",['Actress'],
350,Bobby Flay,https://en.wikipedia.org/wiki/Bobby_Flay,53,U.S.,New York City, ,,,['French Culinary Institute'],,
351,Seth Rogen,https://en.wikipedia.org/wiki/Seth_Rogen,36,Canada,British Columbia,Vancouver,,,,"['Actor', 'comedian', 'writer', 'producer', 'director']",
352,Krysten Ritter,https://en.wikipedia.org/wiki/Krysten_Ritter,36,U.S.,Pennsylvania,Bloomsburg,,,,['Actress  musician  model'],
353,Emilia Clarke,https://en.wikipedia.org/wiki/Emilia_Clarke,32,England,London, ,British,,,['Actress'],
354,Shiri Appleby,https://en.wikipedia.org/wiki/Shiri_Appleby,39,U.S.,California,Los Angeles,,,,"['Actress, director']",
355,Sean Hayes,https://en.wikipedia.org/wiki/Sean_Hayes_(actor),48,U.S.  1,Illinois,Chicago,,,,"['Actor, comedian, producer']",
356,Brooklyn Decker,https://en.wikipedia.org/wiki/Brooklyn_Decker,31,U.S.,Ohio,Kettering,,,,,
357,Lewis Black,https://en.wikipedia.org/wiki/Lewis_Black,70,D.C.,Washington, ,American,,"['University of Maryland, College Park', 'University of North Carolina, Chapel Hill', 'BA', 'Yale University', 'MFA']",,
358,James McAvoy,https://en.wikipedia.org/wiki/James_McAvoy,39,Scotland  2,Glasgow, ,Scottish,['Royal Scottish Academy of Music and Drama'],,['Actor'],
359,Nick Swardson,https://en.wikipedia.org/wiki/Nick_Swardson,42,U.S.,Minnesota,Minneapolis,,,,"['Standup comedian, actor, screenwriter, producer']",
360,Brian Greene,https://en.wikipedia.org/wiki/Brian_Greene,55,U.S.,New York,New York City,American,"['Harvard University', 'BA', 'University of Oxford', 'PhD']",,,
361,Lizzy Caplan,https://en.wikipedia.org/wiki/Lizzy_Caplan,36,U.S.,California,Los Angeles,,,,['Actress  model'],
362,Neil Young,https://en.wikipedia.org/wiki/Neil_Young,72,Canada,, ,,,,,
363,Mike Epps,https://en.wikipedia.org/wiki/Mike_Epps,47,U.S.,, ,American,,,,
364,Rashida Jones,https://en.wikipedia.org/wiki/Rashida_Jones,42,U.S.,California,Los Angeles,,['Harvard University'],,['Actress  writer  producer'],
365,Daveed Diggs,https://en.wikipedia.org/wiki/Daveed_Diggs,36,U.S.,California,Oakland,,['Brown University'],,['Actor  rapper  singer'],
366,James Corden,https://en.wikipedia.org/wiki/James_Corden,40,England,London,Hillingdon,,,['Holmer Green Upper School'],['Actor  comedian  television host'],
367,Scott Speedman,https://en.wikipedia.org/wiki/Scott_Speedman,43,UK  1,London,Hammersmith,"Canadian, British","[['University of Toronto', 'York University']]",,['Actor'],
368,Jude Law,https://en.wikipedia.org/wiki/Jude_Law,45,England,London,Lewisham,,['National Youth Music Theatre'],['Alleyns School'],['Actor'],
369,Norman Reedus,https://en.wikipedia.org/wiki/Norman_Reedus,49,U.S.,Florida,Hollywood,American,,,"['Actor, model, photographer, director']",
370,Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney,54,U.S.,New York City, ,,,"['Northwestern University', 'Brown University', 'BA', 'Juilliard School', 'GrDip']",['Actress  singer'],
371,John Leguizamo,https://en.wikipedia.org/wiki/John_Leguizamo,54,Colombia,Bogot, ,,,,"['Actor, standup comedian, film producer, playwright, screenwriter']",
372,Patrick Wilson,https://en.wikipedia.org/wiki/Patrick_Wilson_(American_actor),45,U.S.,Virginia,Norfolk,,['Carnegie Mellon University'],,['Actor  singer  producer'],
373,Gayle King,https://en.wikipedia.org/wiki/Gayle_King,63,U.S.,Maryland,Chevy Chase,,,,['Broadcast journalist  Magazine editor'],
374,Gary Johnson,https://en.wikipedia.org/wiki/Gary_Johnson,65,U.S.,, ,,,"['University of New Mexico, Albuquerque', 'BS']",,Libertarian
375,William Weld,https://en.wikipedia.org/wiki/William_Weld,73,U.S.,, ,,,"['Harvard University', 'BA', 'JD', 'University College, Oxford']",,Libertarian
376,David Duchovny,https://en.wikipedia.org/wiki/David_Duchovny,58,U.S.,New York, ,,"['Princeton University', 'Yale University']",,"['Actor, director, producer, writer, singersongwriter']",
377,Aaron Tveit,https://en.wikipedia.org/wiki/Aaron_Tveit,35,U.S.,New York,Middletown,,,['Middletown High School'],['Actor  singer'],
378,Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator),69,U.S.,New York,New York City,,,"['Marist College', 'BA', 'Boston University', 'MA', 'Harvard University', 'MPA']",['Television host  political commentator  author'],Republican
379,Anna Chlumsky,https://en.wikipedia.org/wiki/Anna_Chlumsky,37,U.S.,Illinois,Chicago,,"['University of Chicago', 'Atlantic Acting School']",,['Actress'],
380,Daniel Radcliffe,https://en.wikipedia.org/wiki/Daniel_Radcliffe,29,England,London,Hammersmith,,,,['Actor  producer'],
381,George Lopez,https://en.wikipedia.org/wiki/George_Lopez,57,U.S.,, ,,,,,
382,Liam Hemsworth,https://en.wikipedia.org/wiki/Liam_Hemsworth,28,Australia,Victoria,Melbourne,,,,['Actor'],
383,Ana Gasteyer,https://en.wikipedia.org/wiki/Ana_Gasteyer,51,US,D.C.,Washington,,"['Northwestern University', 'B.A., 1989', '2']",,"['Actress, singer, comedian']",
384,Demi Lovato,https://en.wikipedia.org/wiki/Demi_Lovato,26,U.S.,New Mexico,Albuquerque,,,,['Singer  songwriter  actress  author'],
385,Nick Jonas,https://en.wikipedia.org/wiki/Nick_Jonas,26,U.S.,Texas,Dallas,,,,['Singer  songwriter  actor'],
386,Amy Ryan,https://en.wikipedia.org/wiki/Amy_Ryan,49,U.S.,New York,New York City,,,,['Actress'],
387,Aaron Paul,https://en.wikipedia.org/wiki/Aaron_Paul,39,U.S.,Idaho,Emmett,,,,['Actor'],
388,Michael Ian Black,https://en.wikipedia.org/wiki/Michael_Ian_Black,47,U.S.,, ,American,,,,
389,Alexander Skarsgård,https://en.wikipedia.org/wiki/Alexander_Skarsg%C3%A5rd,42,Sweden,Stockholm, ,,,,['Actor'],
390,Natasha Leggero,https://en.wikipedia.org/wiki/Natasha_Leggero,44,U.S,, ,,"['Stella Adler Conservatory', 'Hunter College']",,,
391,Aubrey Plaza,https://en.wikipedia.org/wiki/Aubrey_Plaza,,U.S.,Delaware,Wilmington,,['New York University'],,"['Actress, comedian, producer']",
392,Hugh Dancy,https://en.wikipedia.org/wiki/Hugh_Dancy,43,England,Staffordshire,StokeonTrent,,"['St Peters College, Oxford']",['Winchester College'],"['Actor, model']",
393,Uzo Aduba,https://en.wikipedia.org/wiki/Uzo_Aduba,37,U.S.,Massachusetts,Boston,,['Boston University'],,['Actress'],
394,Neil deGrasse Tyson,https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson,60,U.S.,New York City,Manhattan,,"[['Harvard College', 'BA', 'University of Texas at Austin', 'MA', 'Columbia University', 'MPhil ,  PhD']]",,,
395,Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,, ,,,"['University of Chicago', 'BA']",,Independent
396,Paul Dano,https://en.wikipedia.org/wiki/Paul_Dano,34,U.S.,New York,New York City,,,,['Actor  director  screenwriter  producer  singer  musician'],
397,Kevin Hart,https://en.wikipedia.org/wiki/Kevin_Hart,39,U.S.,, ,,,,,
398,Taylor Schilling,https://en.wikipedia.org/wiki/Taylor_Schilling,34,U.S.,Massachusetts,Boston,,,['Fordham University'],['Actress'],
399,RuPaul Charles,https://en.wikipedia.org/wiki/RuPaul,57,U.S.,California,San Diego,,,,['Drag performer   actor  model  singer  songwriter  television personality  author'],
400,Kevin Love,https://en.wikipedia.org/wiki/Kevin_Love,30,California,Santa Monica, ,American,,,,
401,Jenny Slate,https://en.wikipedia.org/wiki/Jenny_Slate,36,U.S.,Massachusetts,Milton,,['Columbia University'],['Milton Academy'],['Standup comedian  actress  author'],
402,Tom Brokaw,https://en.wikipedia.org/wiki/Tom_Brokaw,78,U.S.,South Dakota,Webster,,['University of South Dakota'],['Yankton High School'],"['Television journalist', 'Author']",
403,Sara,https://en.wikipedia.org/wiki/Sara_Foster,37,U.S.,California,Los Angeles,,,,['Actress'],
404,Erin Foster,https://en.wikipedia.org/wiki/Erin_Foster,36,U.S.,California,Los Angeles,,,,"['Writer, performer']",
405,Samuel L. Jackson,https://en.wikipedia.org/wiki/Samuel_L._Jackson,69,U.S.,D.C.,Washington,,"['Morehouse College', 'B.A.']",,"['Actor, film producer']",
406,Julie Klausner,https://en.wikipedia.org/wiki/Julie_Klausner,40,U.S.,New York City, ,,['New York University'],,['Writer  comedian  author'],
407,Ellie Kemper,https://en.wikipedia.org/wiki/Ellie_Kemper,38,U.S.,Missouri,Kansas City,,,"['Princeton University', 'BA', 'Worcester College, Oxford']","['Actress, comedian']",
408,Patrick Fugit,https://en.wikipedia.org/wiki/Patrick_Fugit,36,U.S.,Utah,Salt Lake City,,,,['Actor'],
409,Zachary Quinto,https://en.wikipedia.org/wiki/Zachary_Quinto,41,U.S.,Pennsylvania,Pittsburgh,,['Carnegie Mellon University'],,['Actor  producer'],
410,Natasha Lyonne,https://en.wikipedia.org/wiki/Natasha_Lyonne,39,U.S.,New York City, ,,,,['Actress'],
411,2 Chainz,https://en.wikipedia.org/wiki/2_Chainz,,,,,,,,,
412,Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,62,U.S.,California,Hollywood,,['Los Angeles Valley College'],,"['Actor, producer, director, screenwriter']",
413,Busy Philipps,https://en.wikipedia.org/wiki/Busy_Philipps,39,U.S.,Illinois,Oak Park,,['Loyola Marymount University'],,['Actress'],
414,Nicholas Hoult,https://en.wikipedia.org/wiki/Nicholas_Hoult,28,England,Berkshire,Wokingham,British,,"['Sylvia Young Theatre School', 'Ranelagh School']",['Actor'],
415,John Turturro,https://en.wikipedia.org/wiki/John_Turturro,61,U.S.,New York,Brooklyn,,,"['State University of New York, New Paltz', 'BA', 'Yale University', 'MFA']",['Actor  writer  filmmaker'],
416,Bret Baier,https://en.wikipedia.org/wiki/Bret_Baier,48,U.S.,New Jersey,Rumson,,,['DePauw University'],['News anchor'],
417,Benjamin Bratt,https://en.wikipedia.org/wiki/Benjamin_Bratt,54,U.S.,California,San Francisco,,,"['University of California, Santa Barbara', 'B.F.A. 1986', 'American Conservatory Theatre', 'attended']",['Actor'],
418,Rob Corddry,https://en.wikipedia.org/wiki/Rob_Corddry,47,U.S.,Massachusetts,Weymouth,,,,['Actor  comedian'],
419,Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher,62,U.S.,, ,,['Cornell University'],['Pascack Hills High School'],,
420,Michael K. Williams,https://en.wikipedia.org/wiki/Michael_K._Williams,51,U.S.,New York,Brooklyn,,,,"['Actor, dancer, reporter']",
421,Charlie Rose,https://en.wikipedia.org/wiki/Charlie_Rose,76,U.S.,North Carolina,Henderson,,"['Duke University', 'B.A. ,  J.D.']",,"['Talk show host, journalist']",
422,Gayle King,https://en.wikipedia.org/wiki/Gayle_King,63,U.S.,Maryland,Chevy Chase,,,,['Broadcast journalist  Magazine editor'],
423,Norah O'Donnell,https://en.wikipedia.org/wiki/Norah_O%27Donnell,44,U.S.,D.C.,Washington,,"['Georgetown University', '2', '3']",['Douglas MacArthur High School'],['Television journalist'],
424,DeRay McKesson,https://en.wikipedia.org/wiki/DeRay_McKesson,33,U.S.,Maryland,Baltimore,American,['Bowdoin College'],,"['Activist', 'podcaster']",
425,Zoe Saldana,https://en.wikipedia.org/wiki/Zoe_Saldana,40,U.S.,New Jersey,Passaic,,,,"['Actress, dancer']",
426,Keegan-Michael Key,https://en.wikipedia.org/wiki/Keegan-Michael_Key,47,U.S.,Michigan,Southfield,,"[['University of Detroit Mercy', 'Pennsylvania State University']]",,"['Actor, comedian, writer, producer']",
427,Kathryn Hahn,https://en.wikipedia.org/wiki/Kathryn_Hahn,45,U.S.,Illinois,Westchester,,,"['Northwestern University', 'BA', 'Yale University', 'MFA']","['Actress, fashion model and comedian']",
428,Tony Goldwyn,https://en.wikipedia.org/wiki/Tony_Goldwyn,58,U.S.,California,Los Angeles,,"[['Brandeis University', 'London Academy of Music and Dramatic Art']]",,"['Actor, singer, producer, director, political activist']",
429,Mark Cuban,https://en.wikipedia.org/wiki/Mark_Cuban,60,U.S.,Pennsylvania,Pittsburgh,American,"['University of Pittsburgh', 'Kelley School of Business', 'Indiana University Bloomington']",,"['Owner of', 'Dallas Mavericks', 'Coowner of', '2929 Entertainment', 'Coowner of', 'Brondell', 'Chairman of', 'AXS TV', 'Television personality', 'Entrepreneur']",Independent
430,Lewis Black,https://en.wikipedia.org/wiki/Lewis_Black,70,D.C.,Washington, ,American,,"['University of Maryland, College Park', 'University of North Carolina, Chapel Hill', 'BA', 'Yale University', 'MFA']",,
431,Elizabeth Warren,https://en.wikipedia.org/wiki/Elizabeth_Warren,69,U.S.,Oklahoma,Oklahoma City,,,"['George Washington University', 'University of Houston', 'BS', 'Rutgers UniversityNewark', 'JD']",,Democratic
432,Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner,40,U.S.,, ,American,['Northwestern University'],['Stuyvesant High School'],,
433,Jennifer Saunders,https://en.wikipedia.org/wiki/Jennifer_Saunders,60,England,, ,British,"['Central School Of Speech And Drama', '1']",['St Pauls Girls School'],,
434,Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney,58,U.S.,Massachusetts,Boston,,,"['Kenyon College', 'BA']",['Actress'],
435,Anthony Weiner,https://en.wikipedia.org/wiki/Anthony_Weiner,54,U.S.,New York,,,"['SUNY Plattsburgh', 'B.A.']",,,Democratic
436,Jeff Daniels,https://en.wikipedia.org/wiki/Jeff_Daniels,63,U.S.,Georgia,Clarke County,,,,['Actor  musician  playwright'],
437,Bassem Youssef,https://en.wikipedia.org/wiki/Bassem_Youssef,44,Egypt, , ,,['Cairo University'],,,
438,John Oliver,https://en.wikipedia.org/wiki/John_Oliver,41,England,, ,,"['Christs College, Cambridge']",,,
439,Jai Courtney,https://en.wikipedia.org/wiki/Jai_Courtney,32,Australia,New South Wales,Sydney,,"['Cherrybrook Technology High School', 'Western Australian Academy of Performing Arts']",,['Actor'],
440,Charlamagne Tha God,https://en.wikipedia.org/wiki/Charlamagne_Tha_God,40,U.S.,, ,,,,,
441,Abbi Jacobson,https://en.wikipedia.org/wiki/Abbi_Jacobson,34,U.S.,Pennsylvania,Wayne,,['Maryland Institute College of Art'],,['Comedian  actress  writer  illustrator'],
442,Ilana Glazer,https://en.wikipedia.org/wiki/Ilana_Glazer,31,U.S.,, ,,['New York University'],,,
443,Doris Kearns Goodwin,https://en.wikipedia.org/wiki/Doris_Kearns_Goodwin,75,U.S.,New York,New York City,American,,"['Colby College', 'B.A.', 'Harvard University', 'Ph.D.']","['Historian, author, political commentator']",
444,Eric André,https://en.wikipedia.org/wiki/Eric_Andr%C3%A9,35,U.S.,, ,,['Berklee College of Music'],,,
445,Viola Davis,https://en.wikipedia.org/wiki/Viola_Davis,53,U.S.,South Carolina,St. Matthews,,,"['Rhode Island College', 'BA', 'Juilliard School', 'GrDip']","['Actress, producer']",
446,Simon Helberg,https://en.wikipedia.org/wiki/Simon_Helberg,37,U.S.,California,Los Angeles,,"['New York University', 'Tisch School of Arts']",,"['Actor, comedian, musician', '1', '2']",
447,Will Smith,https://en.wikipedia.org/wiki/Will_Smith,50,U.S.,Pennsylvania,Philadelphia,,,,['Actor  film producer  rapper  songwriter  comedian  media personality  record producer'],
448,Logan Lerman,https://en.wikipedia.org/wiki/Logan_Lerman,26,US  2,California,Beverly Hills,,['Beverly Hills High School'],,['Actor'],
449,John Cena,https://en.wikipedia.org/wiki/John_Cena,41,U.S.,Massachusetts,West Newbury,,['Springfield College'],,"['Professional wrestler, actor, voice actor, rapper, television host']",
450,Scott Eastwood,https://en.wikipedia.org/wiki/Scott_Eastwood,32,U.S.,California,Monterey County,,['Loyola Marymount University'],,['Actor  model  producer  director'],
451,Jamie Dornan,https://en.wikipedia.org/wiki/Jamie_Dornan,36,Northern Ireland,County Down,Holywood,,,,"['Actor, model, musician']",
452,Javier Muñoz,https://en.wikipedia.org/wiki/Javier_Mu%C3%B1oz_(actor),,,,,Puerto Rican American,"['New York University', 'BFA', ', 1999']",['Edward R. Murrow High School'],['Actor  singer'],
453,Malcolm Gladwell,https://en.wikipedia.org/wiki/Malcolm_Gladwell,55,England,Fareham, ,,"['Trinity College', 'University of Toronto']",,"['Nonfiction writer, journalist']",
454,Diane Kruger,https://en.wikipedia.org/wiki/Diane_Kruger,42,West Germany,Lower Saxony,Algermissen,German,,,"['Actress, model']",
455,Ibtihaj Muhammad,https://en.wikipedia.org/wiki/Ibtihaj_Muhammad,32,US,, ,,,,,
456,Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,,,['Towson University'],['William Esper Studio'],,
457,Omari Hardwick,https://en.wikipedia.org/wiki/Omari_Hardwick,,U.S.,Georgia,Savannah,,['University of Georgia'],,['Actor'],
458,Michaela Watkins,https://en.wikipedia.org/wiki/Michaela_Watkins,46,United States,New York,Syracuse,,['Boston University'],,"['Actress, comedian']",
459,Rami Malek,https://en.wikipedia.org/wiki/Rami_Malek,37,U.S.,California,Los Angeles,,['University of Evansville'],['Notre Dame High School'],['Actor'],
460,Tika Sumpter,https://en.wikipedia.org/wiki/Tika_Sumpter,38,U.S.,New York,Queens,,['Marymount Manhattan College'],,['Actress  model  singer'],
461,Parker Sawyers,https://en.wikipedia.org/wiki/Parker_Sawyers,,1984 age3334, , ,,,,['Actor'],
462,Anderson Cooper,https://en.wikipedia.org/wiki/Anderson_Cooper,51,U.S.,New York City, ,,['Yale University'],,['Journalist  author  anchor'],
463,Édgar Ramírez,https://en.wikipedia.org/wiki/%C3%89dgar_Ram%C3%ADrez,41,Venezuela  1,Tchira,San Cristbal,,,,['Actor'],
464,Senator Tim Kaine,https://en.wikipedia.org/wiki/Tim_Kaine,60,U.S.,, ,,,"['University of Missouri', 'B.A.', 'Harvard University', 'J.D.']",,Democratic
465,Tony Hale,https://en.wikipedia.org/wiki/Tony_Hale,48,U.S.,New York,West Point,,,,"['Actor, comedian']",
466,Rachel Weisz,https://en.wikipedia.org/wiki/Rachel_Weisz,48,England,London,Westminster,,"['Trinity Hall, Cambridge']",,['Actress  fashion model'],
467,Kevin Smith,https://en.wikipedia.org/wiki/Kevin_Smith,48,U.S.,New Jersey,Red Bank,,,,"['Filmmaker', 'actor', 'comedian', 'public speaker', 'comic book writer', 'author', 'podcaster']",
468,Spike Feresten,https://en.wikipedia.org/wiki/Spike_Feresten,54,U.S.,Massachusetts,Fall River,,,,,
469,Riz Ahmed,https://en.wikipedia.org/wiki/Riz_Ahmed,35,England,London,Wembley,British,"['Christ Church, Oxford', 'Central School of Speech and Drama']",,['Actor  rapper'],
470,Pedro Pascal,https://en.wikipedia.org/wiki/Pedro_Pascal,43,Chile,Santiago, ,,"['Orange County School of the Arts', 'Tisch School of the Arts']",,['Actor'],
471,John Krasinski,https://en.wikipedia.org/wiki/John_Krasinski,39,U.S.,Massachusetts,Boston,,['Brown University'],,['Actor  screenwriter  producer  director'],
472,Adam Brody,https://en.wikipedia.org/wiki/Adam_Brody,38,U.S.,California,San Diego,,,,['Actor  writer  musician  producer'],
473,Christian Slater,https://en.wikipedia.org/wiki/Christian_Slater,49,U.S.,New York,New York City,,,,"['Actor, voice actor, producer']",
474,Chris Geere,https://en.wikipedia.org/wiki/Chris_Geere,37,England,Cambridgeshire,Cambridge,,,,['Actor'],
475,John Lewis,https://en.wikipedia.org/wiki/Damian_Lewis,47,England,London,St Johns Wood,British,['Guildhall School of Music and Drama'],,"['Actor, film producer']",
476,Larry Wilmore,https://en.wikipedia.org/wiki/Larry_Wilmore,56,U.S.,, ,,"['California State Polytechnic University, Pomona']",,,
477,Chris Noth,https://en.wikipedia.org/wiki/Chris_Noth,63,U.S.,Wisconsin,Madison,,,"['Marlboro College', 'BA', 'Yale University', 'MFA']",['Actor'],
478,Anna Gunn,https://en.wikipedia.org/wiki/Anna_Gunn,50,U.S.,Ohio,Cleveland,,,,['Actress'],
479,John Dickerson,https://en.wikipedia.org/wiki/John_Dickerson_(journalist),50,U.S.,D.C.,Washington,,['University of Virginia'],['Sidwell Friends School'],['Journalist  television host'],
480,Harry Connick Jr.,https://en.wikipedia.org/wiki/Harry_Connick_Jr.,51,U.S.,Louisiana,New Orleans,,,,['Singer  composer  actor  television host'],
481,Ava DuVernay,https://en.wikipedia.org/wiki/Ava_DuVernay,46,U.S.,California,Long Beach,American,"['University of California,Los Angeles']",,['Filmmaker'],
482,Whoopi Goldberg,https://en.wikipedia.org/wiki/Whoopi_Goldberg,62,U.S.,, ,,,,,
483,Regina Hall,https://en.wikipedia.org/wiki/Regina_Hall,47,U.S.,D.C.,Washington,,"[['Fordham University', 'New York University']]",,['Actress'],
484,Chesley Sullenberger,https://en.wikipedia.org/wiki/Chesley_Sullenberger,67,U.S.,, ,,,,,
485,Jessica Alba,https://en.wikipedia.org/wiki/Jessica_Alba,37,U.S.,California,Pomona,,,,"['Actress, businesswoman']",
486,Bradley Whitford,https://en.wikipedia.org/wiki/Bradley_Whitford,59,U.S.,Wisconsin,Madison,,,"['Wesleyan University', 'BFA', 'Juilliard School', 'GrDip']",['Actor'],
487,George Takei,https://en.wikipedia.org/wiki/George_Takei,81,U.S.,California,Los Angeles,,,,"['Actor, author, and voice artist, director, activist']",Democratic
488,Tituss Burgess,https://en.wikipedia.org/wiki/Tituss_Burgess,39,U.S.,Georgia,Athens,,"['University of Georgia', 'B.A.']",,"['Actor, singer']",
489,Jeff Ross,https://en.wikipedia.org/wiki/Jeff_Ross,53,U.S.,, ,,,,,
490,Adam Richman,https://en.wikipedia.org/wiki/Adam_Richman,44,U.S.,New York,Brooklyn,,,"['Emory University', 'BA', 'Yale University', 'MFA']","['Actor', 'television personality']",
491,Dr. Phil,https://en.wikipedia.org/wiki/Phil_McGraw,68,U.S.,Oklahoma,Vinita,,"[['Midwestern State University', 'BA', 'University of North Texas', 'MA ,  PhD']]",,['Television host'],
492,Alan Cumming,https://en.wikipedia.org/wiki/Alan_Cumming,53,Scotland,Perthshire,Aberfeldy,,['Royal Scottish Academy of Music and Drama'],,"['Actor, singer, director, producer, writer, activist']",
493,Joseph Gordon-Levitt,https://en.wikipedia.org/wiki/Joseph_Gordon-Levitt,37,U.S.,California,Los Angeles,,,,['Actor  filmmaker  singer  entrepreneur'],
494,Millie Bobby Brown,https://en.wikipedia.org/wiki/Millie_Bobby_Brown,14,Spain  1,Andalusia,Marbella,British,,,['Actress  model'],
495,Trevor Noah,https://en.wikipedia.org/wiki/Trevor_Noah,34,South Africa, , ,,,,,
496,Allen Iverson,https://en.wikipedia.org/wiki/Allen_Iverson,43,Virginia,Hampton, ,American,,,,
497,Chris Gethard,https://en.wikipedia.org/wiki/Chris_Gethard,38,New Jersey   1,West Orange, ,,,,"['Actor, comedian, writer']",
498,Tracee Ellis Ross,https://en.wikipedia.org/wiki/Tracee_Ellis_Ross,45,U.S.,California,Los Angeles,,['Brown University'],,"['Actress, model, comedian, television host, activist']",
499,Andrew Rannells,https://en.wikipedia.org/wiki/Andrew_Rannells,40,U.S.,Nebraska,Omaha,,['Marymount Manhattan College'],['Creighton Preparatory School'],"['Actor, voice actor, singer']",
500,John Slattery,https://en.wikipedia.org/wiki/John_Slattery,56,U.S.,Massachusetts,Boston,,"['Catholic University of America', 'BFA , 1984']",,"['Actor, director']",
501,Oliver Stone,https://en.wikipedia.org/wiki/Oliver_Stone,72,U.S.,New York,New York City,American,"['Yale University', 'New York University', 'BFA']",,"['Film director, screenwriter, film producer, author']",
502,Chris Pratt,https://en.wikipedia.org/wiki/Chris_Pratt,39,U.S.,Minnesota,Virginia,,,,['Actor'],
503,Scott Bakula,https://en.wikipedia.org/wiki/Scott_Bakula,64,U.S.,Missouri,St. Louis,,,,"['Actor, singer, director']",
504,Michelle Obama,https://en.wikipedia.org/wiki/Michelle_Obama,54,U.S.,, ,,,"['Princeton University', 'AB', 'Harvard University', 'JD']",,Democratic
505,America Ferrera,https://en.wikipedia.org/wiki/America_Ferrera,34,U.S.,California,Los Angeles,,['University of Southern California'],,"['Actress, voice actress']",
506,Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke,47,U.S.,Texas,Austin,,,,['Actor  director  screenwriter  novelist'],
507,Tim Meadows,https://en.wikipedia.org/wiki/Tim_Meadows,57,U.S.,Michigan,Highland Park,,,,"['Actor, comedian']",
508,Anthony Anderson,https://en.wikipedia.org/wiki/Anthony_Anderson,48,U.S.,California,Compton,,,['Hollywood High School'],['Actor  comedian  writer  game show host  panelist'],
509,Mark Consuelos,https://en.wikipedia.org/wiki/Mark_Consuelos,47,Spain,Zaragoza, ,American,['University of South Florida'],['Bloomingdale High School'],,
510,Bruce Springsteen,https://en.wikipedia.org/wiki/Bruce_Springsteen,69,U.S.,New Jersey,Long Branch,,,,['Singer  songwriter'],
511,Rob Lowe,https://en.wikipedia.org/wiki/Rob_Lowe,54,U.S.,Virginia,Charlottesville,,,,['Actor'],
512,Kal Penn,https://en.wikipedia.org/wiki/Kal_Penn,41,U.S.,, ,,"['University of California, Los Angeles']",,"['Actor', 'comedian', 'film producer', 'civil servant', 'humanitarian']",Democratic
513,Sean Penn,https://en.wikipedia.org/wiki/Sean_Penn,58,U.S.,California,Santa Monica,,,,"['Actor, filmmaker']",Democratic
514,Sutton Foster,https://en.wikipedia.org/wiki/Sutton_Foster,43,U.S.,Georgia,Statesboro,,,,"['Actress, singer, dancer']",
515,Lupita Nyong'o,https://en.wikipedia.org/wiki/Lupita_Nyong%27o,35,Mexico,Mexico City, ,,,"['Hampshire College', 'BA', 'Yale University', 'MFA']",['Actress'],
516,Donnie Wahlberg,https://en.wikipedia.org/wiki/Donnie_Wahlberg,49,U.S.,Massachusetts,Boston,,,,['Singer  songwriter  actor  record producer  film producer'],
517,Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,81,U.S.,Tennessee,Memphis,,,,['Actor'],
518,Judith Light,https://en.wikipedia.org/wiki/Judith_Light,69,U.S.,New Jersey,Trenton,,['Carnegie Mellon University'],['St. Marys HallDoane Academy'],"['Actress, producer']",
519,Samantha Bee,https://en.wikipedia.org/wiki/Samantha_Bee,,Canada,Ontario,1969  age49   Toronto,,['University of Ottawa'],,,
