guest_name,wiki_link
Russell Westbrook,https://en.wikipedia.org/wiki/Russell_Westbrook
Laurence Fishburne,https://en.wikipedia.org/wiki/Laurence_Fishburne
Michael Novacek,None
Chris Pine,https://en.wikipedia.org/wiki/Chris_Pine
Danielle Brooks,https://en.wikipedia.org/wiki/Danielle_Brooks
Jonah Reider,None
Josh Brolin,https://en.wikipedia.org/wiki/Josh_Brolin
John Dickerson,https://en.wikipedia.org/wiki/John_Dickerson_(journalist)
Erin Brockovich,https://en.wikipedia.org/wiki/Erin_Brockovich
John Travolta,https://en.wikipedia.org/wiki/John_Travolta
Courtney B. Vance,https://en.wikipedia.org/wiki/Courtney_B._Vance
Amy Cuddy,https://en.wikipedia.org/wiki/Amy_Cuddy
David Schwimmer,https://en.wikipedia.org/wiki/David_Schwimmer
Joel Osteen,https://en.wikipedia.org/wiki/Joel_Osteen
Dr. Phil,https://en.wikipedia.org/wiki/Phil_McGraw
Mark,https://en.wikipedia.org/wiki/Mark_Duplass
Jay Duplass,https://en.wikipedia.org/wiki/Jay_Duplass
Michael Eric Dyson,https://en.wikipedia.org/wiki/Michael_Eric_Dyson
Michael Strahan,https://en.wikipedia.org/wiki/Michael_Strahan
Samantha Bee,https://en.wikipedia.org/wiki/Samantha_Bee
Bobby Cannavale,https://en.wikipedia.org/wiki/Bobby_Cannavale
Donny Deutsch,https://en.wikipedia.org/wiki/Donny_Deutsch
Tina Fey,https://en.wikipedia.org/wiki/Tina_Fey
Margot Robbie,https://en.wikipedia.org/wiki/Margot_Robbie
Will Ferrell,https://en.wikipedia.org/wiki/Will_Ferrell
Megyn Kelly,https://en.wikipedia.org/wiki/Megyn_Kelly
Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator)
Eddie George,https://en.wikipedia.org/wiki/Eddie_George
Olivia Wilde,https://en.wikipedia.org/wiki/Olivia_Wilde
Christiane Amanpour,https://en.wikipedia.org/wiki/Christiane_Amanpour
Ben Stiller,https://en.wikipedia.org/wiki/Ben_Stiller
Senator Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders
Kelsey Grammer,https://en.wikipedia.org/wiki/Kelsey_Grammer
Fred Armisen,https://en.wikipedia.org/wiki/Fred_Armisen
Sarah McDaniel,https://en.wikipedia.org/wiki/Sarah_Koenig
Craig Ferguson,https://en.wikipedia.org/wiki/Craig_Ferguson
Hailey Clauson,https://en.wikipedia.org/wiki/Hailey_Clauson
Ashley Graham,https://en.wikipedia.org/wiki/Ashley_Graham_(model)
Cory Booker,https://en.wikipedia.org/wiki/Cory_Booker
Eva Longoria,https://en.wikipedia.org/wiki/Eva_Longoria
Abbi Jacobson,https://en.wikipedia.org/wiki/Abbi_Jacobson
Ilana Glazer,https://en.wikipedia.org/wiki/Ilana_Glazer
Kate Hudson,https://en.wikipedia.org/wiki/Kate_Hudson
John Kasich,https://en.wikipedia.org/wiki/John_Kasich
Téa Leoni,https://en.wikipedia.org/wiki/T%C3%A9a_Leoni
Amanda Peet,https://en.wikipedia.org/wiki/Amanda_Peet
Chelsea Handler,https://en.wikipedia.org/wiki/Chelsea_Handler
Zosia Mamet,https://en.wikipedia.org/wiki/Zosia_Mamet
Casey Affleck,https://en.wikipedia.org/wiki/Casey_Affleck
Richard Dreyfuss,https://en.wikipedia.org/wiki/Richard_Dreyfuss
Debra Messing,https://en.wikipedia.org/wiki/Debra_Messing
Zachary Quinto,https://en.wikipedia.org/wiki/Zachary_Quinto
Adrien Brody,https://en.wikipedia.org/wiki/Adrien_Brody
Danai Gurira,https://en.wikipedia.org/wiki/Danai_Gurira
Brian Greene,https://en.wikipedia.org/wiki/Brian_Greene
Tim Daly,https://en.wikipedia.org/wiki/Tim_Daly
Graham Nash,https://en.wikipedia.org/wiki/Graham_Nash
Spike Jonze,https://en.wikipedia.org/wiki/Spike_Jonze
Jeffrey Dean Morgan,https://en.wikipedia.org/wiki/Jeffrey_Dean_Morgan
Chrissy Teigen,https://en.wikipedia.org/wiki/Chrissy_Teigen
Mike Birbiglia,https://en.wikipedia.org/wiki/Mike_Birbiglia
Adam Savage,https://en.wikipedia.org/wiki/Adam_Savage
Octavia Spencer,https://en.wikipedia.org/wiki/Octavia_Spencer
John Stamos,https://en.wikipedia.org/wiki/John_Stamos
Bob Saget,https://en.wikipedia.org/wiki/Bob_Saget
Dave Coulier,https://en.wikipedia.org/wiki/Dave_Coulier
Christopher Meloni,https://en.wikipedia.org/wiki/Christopher_Meloni
Edward Byers,https://en.wikipedia.org/wiki/Edward_Byers
Will Arnett,https://en.wikipedia.org/wiki/Will_Arnett
Charles Barkley,https://en.wikipedia.org/wiki/Charles_Barkley
Max Greenfield,https://en.wikipedia.org/wiki/Max_Greenfield
Helen Mirren,https://en.wikipedia.org/wiki/Helen_Mirren
J. J. Abrams,https://en.wikipedia.org/wiki/J._J._Abrams
Sally Field,https://en.wikipedia.org/wiki/Sally_Field
Jerrod Carmichael,https://en.wikipedia.org/wiki/Jerrod_Carmichael
Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick
Loretta Lynch,https://en.wikipedia.org/wiki/Loretta_Lynch
Jeff Daniels,https://en.wikipedia.org/wiki/Jeff_Daniels
Audra McDonald,https://en.wikipedia.org/wiki/Audra_McDonald
Mary Elizabeth Winstead,https://en.wikipedia.org/wiki/Mary_Elizabeth_Winstead
John Oliver,https://en.wikipedia.org/wiki/John_Oliver
Jordan Spieth,https://en.wikipedia.org/wiki/Jordan_Spieth
Steve Martin,https://en.wikipedia.org/wiki/Steve_Martin
Edie Brickell,https://en.wikipedia.org/wiki/Edie_Brickell
Shirley MacLaine,https://en.wikipedia.org/wiki/Shirley_MacLaine
Theo James,https://en.wikipedia.org/wiki/Theo_James
Jussie Smollett,https://en.wikipedia.org/wiki/Jussie_Smollett
William H. Macy,https://en.wikipedia.org/wiki/William_H._Macy
Melissa Rauch,https://en.wikipedia.org/wiki/Melissa_Rauch
Isaac Mizrahi,https://en.wikipedia.org/wiki/Isaac_Mizrahi
Tom Hiddleston,https://en.wikipedia.org/wiki/Tom_Hiddleston
Laura Benanti,https://en.wikipedia.org/wiki/Laura_Benanti
Adam Driver,https://en.wikipedia.org/wiki/Adam_Driver
Rachel Bloom,https://en.wikipedia.org/wiki/Rachel_Bloom
Eric Stonestreet,https://en.wikipedia.org/wiki/Eric_Stonestreet
Jason Jones,https://en.wikipedia.org/wiki/Jason_Jones_(actor)
Elizabeth Warren,https://en.wikipedia.org/wiki/Elizabeth_Warren
Sarah Paulson,https://en.wikipedia.org/wiki/Sarah_Paulson
Tatiana Maslany,https://en.wikipedia.org/wiki/Tatiana_Maslany
Steve Buscemi,https://en.wikipedia.org/wiki/Steve_Buscemi
Benjamin Walker,https://en.wikipedia.org/wiki/Benjamin_Walker_(actor)
Matthew Perry,https://en.wikipedia.org/wiki/Matthew_Perry
Nick Offerman,https://en.wikipedia.org/wiki/Nick_Offerman
Melissa McCarthy,https://en.wikipedia.org/wiki/Melissa_McCarthy
Ben Falcone,https://en.wikipedia.org/wiki/Ben_Falcone
Arianna Huffington,https://en.wikipedia.org/wiki/Arianna_Huffington
Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick
Sam Rockwell,https://en.wikipedia.org/wiki/Sam_Rockwell
David Duchovny,https://en.wikipedia.org/wiki/David_Duchovny
Mindy Kaling,https://en.wikipedia.org/wiki/Mindy_Kaling
Tituss Burgess,https://en.wikipedia.org/wiki/Tituss_Burgess
Ken Burns,https://en.wikipedia.org/wiki/Ken_Burns
Jesse Tyler Ferguson,https://en.wikipedia.org/wiki/Jesse_Tyler_Ferguson
Katharine McPhee,https://en.wikipedia.org/wiki/Katharine_McPhee
Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey
Thomas Middleditch,https://en.wikipedia.org/wiki/Thomas_Middleditch
Dennis Quaid,https://en.wikipedia.org/wiki/Dennis_Quaid
Matt Walsh,https://en.wikipedia.org/wiki/Matt_Walsh_(comedian)
Tom Hanks,https://en.wikipedia.org/wiki/Tom_Hanks
Leslie Odom,"https://en.wikipedia.org/wiki/Leslie_Odom,_Jr."
Julia Louis-Dreyfus,https://en.wikipedia.org/wiki/Julia_Louis-Dreyfus
Nikolaj Coster-Waldau,https://en.wikipedia.org/wiki/Nikolaj_Coster-Waldau
Michelle Williams,https://en.wikipedia.org/wiki/Michael_K._Williams
Eddie Huang,https://en.wikipedia.org/wiki/Eddie_Huang
J. K. Simmons,https://en.wikipedia.org/wiki/J._K._Simmons
Jane Krakowski,https://en.wikipedia.org/wiki/Jane_Krakowski
Chris Wallace,https://en.wikipedia.org/wiki/Chris_Wallace_(journalist)
Susan Sarandon,https://en.wikipedia.org/wiki/Susan_Sarandon
David Tennant,https://en.wikipedia.org/wiki/David_Tennant
Julianna Margulies,https://en.wikipedia.org/wiki/Julianna_Margulies
Christine Baranski,https://en.wikipedia.org/wiki/Christine_Baranski
Matt Czuchry,https://en.wikipedia.org/wiki/Matt_Czuchry
 Hank Azaria,https://en.wikipedia.org/wiki/Hank_Azaria
Isaac Mizrahi,https://en.wikipedia.org/wiki/Isaac_Mizrahi
Phil Knight,https://en.wikipedia.org/wiki/Phil_Knight
Anderson Cooper,https://en.wikipedia.org/wiki/Anderson_Cooper
Mark Feuerstein,https://en.wikipedia.org/wiki/Mark_Feuerstein
Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator)
Morris Chestnut,https://en.wikipedia.org/wiki/Morris_Chestnut
Dakota Johnson,https://en.wikipedia.org/wiki/Dakota_Johnson
Sebastian Stan,https://en.wikipedia.org/wiki/Sebastian_Stan
Anthony Mackie,https://en.wikipedia.org/wiki/Anthony_Mackie
Rob Reiner,https://en.wikipedia.org/wiki/Rob_Reiner
Buzz Aldrin,https://en.wikipedia.org/wiki/Buzz_Aldrin
Judith Sheindlin,https://en.wikipedia.org/wiki/Judith_Sheindlin
Zac Posen,https://en.wikipedia.org/wiki/Zac_Posen
W. Kamau Bell,https://en.wikipedia.org/wiki/W._Kamau_Bell
Lily Tomlin,https://en.wikipedia.org/wiki/Lily_Tomlin
Kumail Nanjiani,https://en.wikipedia.org/wiki/Kumail_Nanjiani
Kaley Cuoco,https://en.wikipedia.org/wiki/Kaley_Cuoco
Dan Savage,https://en.wikipedia.org/wiki/Dan_Savage
Chloë Grace Moretz,https://en.wikipedia.org/wiki/Chlo%C3%AB_Grace_Moretz
Katie Couric,https://en.wikipedia.org/wiki/Katie_Couric
Charlamagne Tha God,https://en.wikipedia.org/wiki/Charlamagne_Tha_God
Kate Beckinsale,https://en.wikipedia.org/wiki/Kate_Beckinsale
B. J. Novak,https://en.wikipedia.org/wiki/B._J._Novak
Ryan Gosling,https://en.wikipedia.org/wiki/Ryan_Gosling
Russell Crowe,https://en.wikipedia.org/wiki/Russell_Crowe
Jessie Mueller,https://en.wikipedia.org/wiki/Jessie_Mueller
Matt Bomer,https://en.wikipedia.org/wiki/Matt_Bomer
Zach Woods,https://en.wikipedia.org/wiki/Zach_Woods
Jason Sudeikis,https://en.wikipedia.org/wiki/Jason_Sudeikis
Michael Weatherly,https://en.wikipedia.org/wiki/Michael_Weatherly
Megyn Kelly,https://en.wikipedia.org/wiki/Megyn_Kelly
Anthony Anderson,https://en.wikipedia.org/wiki/Anthony_Anderson
Eugene Levy,https://en.wikipedia.org/wiki/Eugene_Levy
Catherine O'Hara,https://en.wikipedia.org/wiki/Catherine_O%27Hara
Josh Gad,https://en.wikipedia.org/wiki/Josh_Gad
Gillian Jacobs,https://en.wikipedia.org/wiki/Gillian_Jacobs
Rose Byrne,https://en.wikipedia.org/wiki/Rose_Byrne
Bobby Flay,https://en.wikipedia.org/wiki/Bobby_Flay
Seth Rogen,https://en.wikipedia.org/wiki/Seth_Rogen
Krysten Ritter,https://en.wikipedia.org/wiki/Krysten_Ritter
Emilia Clarke,https://en.wikipedia.org/wiki/Emilia_Clarke
Shiri Appleby,https://en.wikipedia.org/wiki/Shiri_Appleby
Sean Hayes,https://en.wikipedia.org/wiki/Sean_Hayes_(actor)
Brooklyn Decker,https://en.wikipedia.org/wiki/Brooklyn_Decker
Lewis Black,https://en.wikipedia.org/wiki/Lewis_Black
James McAvoy,https://en.wikipedia.org/wiki/James_McAvoy
Nick Swardson,https://en.wikipedia.org/wiki/Nick_Swardson
Brian Greene,https://en.wikipedia.org/wiki/Brian_Greene
Lizzy Caplan,https://en.wikipedia.org/wiki/Lizzy_Caplan
Neil Young,https://en.wikipedia.org/wiki/Neil_Young
Mike Epps,https://en.wikipedia.org/wiki/Mike_Epps
Rashida Jones,https://en.wikipedia.org/wiki/Rashida_Jones
Daveed Diggs,https://en.wikipedia.org/wiki/Daveed_Diggs
Marina Franklin,None
James Corden,https://en.wikipedia.org/wiki/James_Corden
Scott Speedman,https://en.wikipedia.org/wiki/Scott_Speedman
Jude Law,https://en.wikipedia.org/wiki/Jude_Law
Norman Reedus,https://en.wikipedia.org/wiki/Norman_Reedus
Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney
John Leguizamo,https://en.wikipedia.org/wiki/John_Leguizamo
Patrick Wilson,https://en.wikipedia.org/wiki/Patrick_Wilson_(American_actor)
Gayle King,https://en.wikipedia.org/wiki/Gayle_King
Gary Johnson,https://en.wikipedia.org/wiki/Gary_Johnson
William Weld,https://en.wikipedia.org/wiki/William_Weld
David Duchovny,https://en.wikipedia.org/wiki/David_Duchovny
Aaron Tveit,https://en.wikipedia.org/wiki/Aaron_Tveit
Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator)
Anna Chlumsky,https://en.wikipedia.org/wiki/Anna_Chlumsky
Daniel Radcliffe,https://en.wikipedia.org/wiki/Daniel_Radcliffe
George Lopez,https://en.wikipedia.org/wiki/George_Lopez
Liam Hemsworth,https://en.wikipedia.org/wiki/Liam_Hemsworth
Ana Gasteyer,https://en.wikipedia.org/wiki/Ana_Gasteyer
Demi Lovato,https://en.wikipedia.org/wiki/Demi_Lovato
Nick Jonas,https://en.wikipedia.org/wiki/Nick_Jonas
Amy Ryan,https://en.wikipedia.org/wiki/Amy_Ryan
Aaron Paul,https://en.wikipedia.org/wiki/Aaron_Paul
Michael Ian Black,https://en.wikipedia.org/wiki/Michael_Ian_Black
Alexander Skarsgård,https://en.wikipedia.org/wiki/Alexander_Skarsg%C3%A5rd
Natasha Leggero,https://en.wikipedia.org/wiki/Natasha_Leggero
Aubrey Plaza,https://en.wikipedia.org/wiki/Aubrey_Plaza
Hugh Dancy,https://en.wikipedia.org/wiki/Hugh_Dancy
Uzo Aduba,https://en.wikipedia.org/wiki/Uzo_Aduba
Neil deGrasse Tyson,https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders
Paul Dano,https://en.wikipedia.org/wiki/Paul_Dano
Kevin Hart,https://en.wikipedia.org/wiki/Kevin_Hart
Taylor Schilling,https://en.wikipedia.org/wiki/Taylor_Schilling
RuPaul Charles,https://en.wikipedia.org/wiki/RuPaul
Kevin Love,https://en.wikipedia.org/wiki/Kevin_Love
