name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,Gender,occupation,political_party
Trevor Noah,https://en.wikipedia.org/wiki/Trevor_Noah,34,South Africa, Johannesburg, ,South African,,,M,['Comedian'],
Ban Ki-moon,https://en.wikipedia.org/wiki/Ban_Ki-moon,74,South Korea,Eumseong County, ,South Korean,,"['Seoul National University', 'Harvard University']",M,['Secretary-General of the United Nations'],Independent
Lupita Nyong,https://en.wikipedia.org/wiki/Lupita_Nyong%27o,35,Mexico,Mexico City, ,Mexican,,"['Hampshire College', 'Yale University']",F,['Actress'],
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,New York,New York City,American,,['University of Chicago'],M,['Senator'],Independent
Christopher Wheeldon,https://en.wikipedia.org/wiki/Christopher_Wheeldon,45,U.K.,Somerset, Yeovil,English,,['Royal Ballet School'],M,['Choreographer'],
Stephen Curry,https://en.wikipedia.org/wiki/Stephen_Curry,30,U.S.,Ohio,Akron,American,,,M,['Basketball Player'],
Ted Cruz,https://en.wikipedia.org/wiki/Ted_Cruz,47,Canada,Alberta,Calgary,American,,"['Princeton University', 'Harvard University']",M,['Senator'],Republican
Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump,72,U.S.,New York,New York City,American,['The Wharton School'],,M,['President of the United States'],Republican
Dr. Ernest Moniz,https://en.wikipedia.org/wiki/Ernest_Moniz,73,U.S., Massachusetts, Fall River,American,,"['Boston College', 'Stanford University']",M,['United States Secretary of Energy'],Democratic
Hugh Jackman,https://en.wikipedia.org/wiki/Hugh_Jackman,50,Australia,New South Wales,Sydney,Australian,"['Western Australian Academy of Performing Arts', 'University of Technology,Sydney']",,M,"['Actor',  'singer' , 'producer']",
Hugh Evans,https://en.wikipedia.org/wiki/Hugh_Evans_(humanitarian),35,Australia,Victoria,Melbourne,Australian,['Monash University'],,M,['humanitarian'],
Elizabeth Warren,https://en.wikipedia.org/wiki/Elizabeth_Warren,69,U.S.,Oklahoma,Oklahoma City,American,,"['George Washington University', 'University of Houston', 'Rutgers University Newark']",F,['Senator'],Democratic
Jim Gaffigan,https://en.wikipedia.org/wiki/Jim_Gaffigan,52,U.S.,Illinois,Elgin,American,['Georgetown University'],['La Lumiere School'],M,['Comedian'],
Maria Shriver,https://en.wikipedia.org/wiki/Maria_Shriver,62,U.S.,Illinois,Chicago,American,['Georgetown University'],,F,['Journalist'],Democratic
Andrew Sullivan,https://en.wikipedia.org/wiki/Andrew_Sullivan,55,U.K.,Surrey,South Godstone,American,"['Magdalen College, Oxford', 'Harvard University']",['Reigate Grammar School'] ,M,"['Writer', 'editor', 'blogger']",
Thomas Wenski,https://en.wikipedia.org/wiki/Thomas_Wenski,68,US,Florida,West Palm Beach,American,,,M,['Catholic Bishop'],
Malala Yousafzai,https://en.wikipedia.org/wiki/Malala_Yousafzai,21,Pakistan,Swat,Mingora,Pakistani,,"['Khushal Public School' , 'Edgbaston High School' ,  'Lady Margaret Hall, Oxford ']",F,"['Activist for female education', 'former blogger for BBC Urdu', 'student']",
Kerry Washington,https://en.wikipedia.org/wiki/Kerry_Washington,41,U.S.,New York ,New York City,American,['George Washington University'],['Spence School'],M,['Actress'],
Michelle Obama,https://en.wikipedia.org/wiki/Michelle_Obama,54,U.S.,Chicago,Illinois,American,,"['Princeton University', 'Harvard University']",F,['First Lady of the United States'],Democratic
John Legend,https://en.wikipedia.org/wiki/John_Legend,39,U.S.,Ohio,Springfield,American,['University of Pennsylvania'],,M,"['Singer', 'songwriter', 'musician', 'actor']",
Ellen Page,https://en.wikipedia.org/wiki/Ellen_Page,31,Canada,Nova Scotia,Halifax,Canadian,,,F,"['Actress', 'producer']",
Jesse Eisenberg,https://en.wikipedia.org/wiki/Jesse_Eisenberg,35,U.S.,New York,New York City,American,['The New School'],,M,"['Actor', 'author', 'humorist', 'playwright']",
John Oliver,https://en.wikipedia.org/wiki/John_Oliver_(comedian),41,U.K.,Birmingham, Erdington,British,"['Christs College, Cambridge']",,M,['Television Host'],
Evan Spiegel,https://en.wikipedia.org/wiki/Evan_Spiegel,28,U.S.,California,Los Angeles,American,['Stanford University'],['Crossroads School for Arts and Sciences'],M,['Entrepreneur'],
Bill Withers,https://en.wikipedia.org/wiki/Bill_Withers,80,U.S.,West Virginia,Slab Fork ,American,,,M,"['Singer', 'songwriter', 'musician']",
Ed Sheeran,https://en.wikipedia.org/wiki/Ed_Sheeran,27,U.K.,Halifax, West Yorkshire,English,,,M,"['Singer', 'songwriter', 'musician']",
John Kerry,https://en.wikipedia.org/wiki/John_Kerry,74,U.S.,Colorado,Aurora,American,,"['Yale University', 'Boston College']",M,['United States Secretary of State'],Democratic
Claire Danes,https://en.wikipedia.org/wiki/Claire_Danes,39,U.S.,New York ,New York City,American,,['Lyce Franais de Los Angeles'],F,['Actress'],
PewDiePie,https://en.wikipedia.org/wiki/PewDiePie,29,Sweden,Gothenburg, ,Swedish,,,M,['Youtuber'],
Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,81,U.S.,Tennessee,Memphis,American,,,M,['Actor'],
Ruth Wilson,https://en.wikipedia.org/wiki/Ruth_Wilson,36,U.K.,Kent,Ashford,English,"['University of Nottingham', 'London Academy of Music and Dramatic Art']",,F,['Actress'],
John McCain,https://en.wikipedia.org/wiki/John_McCain,81,U.S.,Panama Canal Zone , Coco Solo,American,,['United States Naval Academy'],M,['Senator'],Republican
Misty Copeland,https://en.wikipedia.org/wiki/Misty_Copeland,36,U.S.,Missouri,Kansas City,American,,['San Pedro High School'],F,['Ballet dancer'],
Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton,72,U.S.,Arkansas,Hope ,American,,"['Georgetown University', 'University College, Oxford', 'Yale Law School']",M,['President of the United States'],Democratic
Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner,40,U.S.,New York,New York City,American,['Northwestern University'],['Stuyvesant High School'],M,['Comedian'],
Gina Rodriguez,https://en.wikipedia.org/wiki/Gina_Rodriguez_(actress),34,U.S.,Illinois,Chicago,American,['Tisch School of the Arts'],,F,"['Actress', 'activist']",
Ben Bernanke,https://en.wikipedia.org/wiki/Ben_Bernanke,64,U.S., Georgia,Augusta,American,,"['Harvard University', 'Massachusetts Institute of Technology']",M,['Chair of the Federal Reserve'],Republican
Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett,49,Australia,Victoria,Ivanhoe,Australian,['National Institute of Dramatic Art'],,F,"['Actress', 'theatre director']",
Brian Chesky,https://en.wikipedia.org/wiki/Brian_Chesky,37,U.S.,New York,Niskayuna,American,['Rhode Island School of Design'],,M,"['CEO', 'Cofounder of Airbnb']",
James Corden,https://en.wikipedia.org/wiki/James_Corden,40,U.K.,London,Hillingdon,English,,['Holmer Green Upper School'],M,"['Actor', 'comedian', 'television host']",
Shane Smith,https://en.wikipedia.org/wiki/Shane_Smith_(journalist),49,Canada,Ontario,Ottawa,Canadian,"['Lisgar Collegiate Institute', 'Carleton University']",,M,"['Entrepreneur', 'media executive', 'journalist']",
Carey Mulligan,https://en.wikipedia.org/wiki/Carey_Mulligan,33,England,London,Westminster,English,,"['International School of Dsseldorf', 'Woldingham School']",F,"['Actress', 'singer']",
Elvis Costello,https://en.wikipedia.org/wiki/Elvis_Costello,64,England,London, ,English,,,M,"['Singer', 'songwriter', 'musician']",
Sarah Silverman,https://en.wikipedia.org/wiki/Sarah_Silverman,47,U.S.,New Hampshire, Bedford,American,,,F,['stand-up comedian'],
Elijah Wood,https://en.wikipedia.org/wiki/Elijah_Wood,37,U.S.,Iowa,Cedar Rapids,American,,,M,"['Actor', 'voice actor', 'DJ', 'film producer']",
Jack Black,https://en.wikipedia.org/wiki/Jack_Black,49,U.S.,California,Santa Monica,American,"['UCLA School of Theater, Film and Television']",,M,"['Actor', 'voice actor', 'comedian', 'musician', 'songwriter']",
Nick Woodman,https://en.wikipedia.org/wiki/Nick_Woodman,43,U.S, California, Woodside,American,"['University of California, San Diego']",,M,['Founder and CEO GoPro'],
Oprah Winfrey,https://en.wikipedia.org/wiki/Oprah_Winfrey,64,U.S.,Mississippi,Kosciusko,American,['Tennessee State University'],,F,"['Host of The Oprah Winfrey Show', 'Chairwoman and CEO of  Harpo Productions',  'Chairwoman, CEO and CCO of the Oprah Winfrey Network', 'Actress', 'Author']",Democratic
Jeffrey Cranor,https://en.wikipedia.org/wiki/Bryan_Cranston,62,U.S.,California,Hollywood,American,['Los Angeles Valley College'],,M,"['Actor', producer', director', 'screenwriter']",
Jimmy Kimmel,https://en.wikipedia.org/wiki/Jimmy_Kimmel,50,U.S.,New York,New York City,American,,,M,['American television host'],
Guillermo del Toro,https://en.wikipedia.org/wiki/Guillermo_del_Toro,54,Mexico,Jalisco,Guadalajara,Mexican,,,M,"['Film director', 'screenwriter', 'producer', 'novelist']",
Jessica Chastain,https://en.wikipedia.org/wiki/Jessica_Chastain,41,U.S.,California,Sacramento,American,,"['Sacramento City College', 'Juilliard School']",F,"['Actress', 'film producer']",
Tom Hiddleston,https://en.wikipedia.org/wiki/Tom_Hiddleston,37,U.K.,London,Westminster,English,"['University of Cambridge', 'Royal Academy of Dramatic Art']","['Dragon School', 'Eton College']",M,"['Actor', 'producer', 'musician']",
Mia Wasikowska,https://en.wikipedia.org/wiki/Mia_Wasikowska,29,Australia,Australian Capital Territory,Canberra,Australian,,,F,['Actress'],
Sienna Miller,https://en.wikipedia.org/wiki/Sienna_Miller,36,U.S.,New York,New York City,American,,,F,['Actress'],
Melissa Benoist,https://en.wikipedia.org/wiki/Melissa_Benoist,30,U.S.,Texas,Houston,American,['Marymount Manhattan College'],"['The Academy of Theatre Arts', 'Arapahoe High School']",F,"['Actress', 'singer', 'dancer']",
Hillary Clinton,https://en.wikipedia.org/wiki/Hillary_Clinton,71,U.S.,Chicago,Illinois,American,,"['Wellesley College', 'Yale University']",F,['First Lady of the United States'],Democratic
Anthony Bourdain,https://en.wikipedia.org/wiki/Anthony_Bourdain,61,U.S.,New York,New York City,American,,"['Vassar College', 'The Culinary Institute of America']",M,['Chef'],
Carrie Brownstein,https://en.wikipedia.org/wiki/Carrie_Brownstein,44,U.S.,Washington, Seattle,American,,,F,"['Singer', 'songwriter', 'musician']",
Julianna Margulies,https://en.wikipedia.org/wiki/Julianna_Margulies,52,U.S.,New York,Spring Valley,American,['Sarah Lawrence College'],['Green Meadow Waldorf School'],F,"['Actress', 'producer']",
Jonathan Franzen,https://en.wikipedia.org/wiki/Jonathan_Franzen,59,U.S,Illinois, Western Springs,American,,,M,"['Novelist', 'essayist']",
Seth MacFarlane,https://en.wikipedia.org/wiki/Seth_MacFarlane,45,U.S.,Connecticut,Kent,American,['Rhode Island School of Design'],['Kent School'],M,"['Actor', 'animator', 'filmmaker', 'singer']",
Neil deGrasse Tyson,https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson,60,U.S.,New York ,New York City,American,"['Harvard College', 'University of Texas at Austin','Columbia University']",,M,['Astrophysicist'],
Charlie Rose,https://en.wikipedia.org/wiki/Charlie_Rose,76,U.S.,North Carolina,Henderson,Amer,['Duke University'],,M,"['Talk show host', 'journalist']",
Stacy Schiff,https://en.wikipedia.org/wiki/Stacy_Schiff,57,U.S,Massachusetts,Adams,American,['Williams College'],"['Phillips Academy', 'Andover']",F,"['Writer', 'editor']",
Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney,58,U.S.,Massachusetts,Boston,American,,['Kenyon College'],F,['Actress'],
Colin Quinn,https://en.wikipedia.org/wiki/Colin_Quinn,59,U.S.,New York,New York City,American,,,M,['stand-up comedian'],
Antonio Banderas,https://en.wikipedia.org/wiki/Antonio_Banderas,58,Spain,Mlaga, ,Spanish,,,M,"['Actor' 'producer', 'singer']",
Reed Hastings,https://en.wikipedia.org/wiki/Reed_Hastings,58,U.S.,Massachusetts,Boston,American,"['Bowdoin College', 'Stanford University']",,M,['Business executive'],
John Irving,https://en.wikipedia.org/wiki/John_Irving,76,U.S,Exeter, New Hampshire,American,"['University of New Hampshire', 'University of Iowa']",,M,"['Novelist', 'Screenwriter']",
Daniel Craig,https://en.wikipedia.org/wiki/Daniel_Craig,50,U.K.,Cheshire,Chester,English,['Guildhall School of Music and Drama'],,M,['Actor'],
Elizabeth Gilbert,https://en.wikipedia.org/wiki/Elizabeth_Gilbert,49,U.S., Connecticut, Waterbury,American,['New York University'],,F,"['Novelist', 'memoirist']",
Eugenia Cheng,https://en.wikipedia.org/wiki/Eugenia_Cheng,,U.K., Hampshire, ,British,['University of Cambridge'],['Roedean School'],F,['Mathematician'],
Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,62,U.S.,California,Hollywood,American,['Los Angeles Valley College'],,M,"['Actor', 'producer', 'director', 'screenwriter']",
Whoopi Goldberg,https://en.wikipedia.org/wiki/Whoopi_Goldberg,62,U.S.,New York ,New York City,American,,,F,['Actress'],
John Kasich,https://en.wikipedia.org/wiki/John_Kasich,66,U.S.,Pennsylvania, McKees Rocks,American,,['Ohio State University'],M,['Governor'],Republican
Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke,47,U.S.,Texas,Austin,American,,,M,"['Actor', 'director', 'screenwriter', 'novelist']",
Claire McCaskill,https://en.wikipedia.org/wiki/Claire_McCaskill,65,U.S.,Missouri, Rolla,American,,['University of Missouri'],F,['Senator'],Democratic
Amy Klobuchar,https://en.wikipedia.org/wiki/Amy_Klobuchar,58,U.S.,Minnesota, Plymouth,American,,"['Yale University',  'University of Chicago']",F,['Senator'],Democratic
Aziz Ansari,https://en.wikipedia.org/wiki/Aziz_Ansari,35,U.S.,South Carolina, Columbia,American,['New York University'],,M,['stand-up comedian'],
Shonda Rhimes,https://en.wikipedia.org/wiki/Shonda_Rhimes,48,U.S.,Illinois,Chicago,American,"['Dartmouth College', 'University of Southern California']",,F,"['Television producer', 'television writer', 'screenwriter']",
Bruce Campbell,https://en.wikipedia.org/wiki/Bruce_Campbell,60,U.S.,Michigan,Royal Oak,American,,['Western Michigan University'],M,"['Actor', 'producer', 'writer', 'director']",
Lucy Lawless,https://en.wikipedia.org/wiki/Lucy_Lawless,50,New Zealand,Auckland,Mount Albert,New Zealand,,,F,"['Actress', 'musician']",
Viola Davis,https://en.wikipedia.org/wiki/Viola_Davis,53,U.S.,South Carolina,St. Matthews,American,,"['Rhode Island College', 'Juilliard School']",F,"['Actress', 'producer']",
Brian Greene,https://en.wikipedia.org/wiki/Brian_Greene,55,U.S.,New York,New York City,American,"['Harvard University',  'University of Oxford']",,M,['Theoretical physicist'],
Jennifer Connelly,https://en.wikipedia.org/wiki/Jennifer_Connelly,47,U.S.,New York,Cairo,American,"['Yale University', 'Stanford University']",,F,['Actress'],
Judd Apatow,https://en.wikipedia.org/wiki/Judd_Apatow,50,U.S.,New York,New York City,American,['University of Southern California'],['Syosset High School'],M,"['Producer', 'writer', 'director', 'actor', 'standup comedian']",
Mark Ruffalo,https://en.wikipedia.org/wiki/Mark_Ruffalo,50,U.S.,Wisconsin,Kenosha,American,,,M,"['Actor', 'producer', 'political activist']",Democratic
John Cleese,https://en.wikipedia.org/wiki/John_Cleese,79,UK,Somerset,WestonsuperMare,English,"['Downing College, Cambridge']",,M,"['Actor', 'voice actor', 'comedian', 'screenwriter', 'producer']",
Jack H. Jacobs,https://en.wikipedia.org/wiki/Jack_H._Jacobs,73,U.S.,New York,New York City,American,,,M,['Colonel'],
Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher,62,U.S.,New York,New York City,American,['Cornell University'],['Pascack Hills High School'],M,['Television Host'],
Florent Groberg,https://en.wikipedia.org/wiki/Florent_Groberg,35,France, Poissy, ,American,,,M,['Military officer'],
Shepard Fairey,https://en.wikipedia.org/wiki/Shepard_Fairey,48,U.S,South Carolina,Charleston,American,,['Rhode Island School of Design'],M,['Street artist'],
Julianne Moore,https://en.wikipedia.org/wiki/Julianne_Moore,57,U.S.,North Carolina,Fort Bragg,American,['Boston University'],,F,"['Actor', 'childrens author']",
Burt Reynolds,https://en.wikipedia.org/wiki/Burt_Reynolds,82,U.S.,Michigan,Lansing,American,,,M,"['Actor', 'director', 'producer']",
Sharon Stone,https://en.wikipedia.org/wiki/Sharon_Stone,60,U.S.,Pennsylvania,Meadville,American,,,F,"['Actress', 'model', 'film producer']",
Justin Theroux,https://en.wikipedia.org/wiki/Justin_Theroux,47,U.S.,D.C.,Washington,American,['Bennington College'],,M,"['Actor', 'producer', 'writer']",
Jane Fonda,https://en.wikipedia.org/wiki/Jane_Fonda,80,U.S.,New York,New York City,American,['Vassar College'],,F,"['Actress', 'writer', 'activist']",
Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,70,UK,London, Kensington,British,,"['Westminster School', 'Magdalen College, Oxford', 'Royal College of Music']",M,"['Composer', 'songwriter', 'theatre director', 'television personality', 'businessman']",Conservative
Michael Caine,https://en.wikipedia.org/wiki/Michael_Caine,85,UK,London,Rotherhithe,British,,,M,"['Actor', 'producer', 'author']",Conservative
Larry Wilmore,https://en.wikipedia.org/wiki/Larry_Wilmore,56,U.S.,Los Angeles County,California,American,['California State Polytechnic University'],,M,['Comedian'],
Sylvester Stallone,https://en.wikipedia.org/wiki/Sylvester_Stallone,72,U.S.,New York,New York City,American,,"['Miami Dade College', 'University of Miami']",M,"['Actor', 'screenwriter', 'film director', 'producer', 'playwright']",Republican
Ted Koppel,https://en.wikipedia.org/wiki/Ted_Koppel,78,UK,Lancashire,Nelson,British,,"['Syracuse University', 'Stanford University']",M,"['Journalist', 'News anchor', 'Author']",
Spike Lee,https://en.wikipedia.org/wiki/Spike_Lee,61,U.S.,Georgia,Atlanta,American,"['Morehouse College', 'New York University', 'Tisch School of the Arts']",,M,"['Film director', 'producer', 'screenwriter', 'actor', 'professor']",
Andy Cohen,https://en.wikipedia.org/wiki/Andy_Cohen_(TV_personality),50,U.S.,Missouri,St. Louis,American,['Boston University'],['Clayton High School'],M,"['Talk show host', 'radio host', 'author', 'producer']",
Carly Simon,https://en.wikipedia.org/wiki/Carly_Simon,73,U.S.,New York,New York City,American,['Sarah Lawrence College'],,F,"['Singer', 'songwriter', 'musician', 'actress', 'writer']",
Gloria Estefan,https://en.wikipedia.org/wiki/Gloria_Estefan,61,Cuba, Havana, ,American,,,F,['singer'],
Eric Greitens,https://en.wikipedia.org/wiki/Eric_Greitens,44,U.S.,Missouri,St. Louis,American,,"['Duke University', 'Lady Margaret Hall, Oxford']",M,['Governor'],Republican
Daniel Boulud,https://en.wikipedia.org/wiki/Daniel_Boulud,63,France,SaintPierredeChandieu, ,French,,,M,['Chef'],
Steve Carell,https://en.wikipedia.org/wiki/Steve_Carell,56,U.S.,Massachusetts,Concord,American,['Denison University'],,M,"['Actor', 'comedian', 'producer', 'writer']",
Jennifer Hudson,https://en.wikipedia.org/wiki/Jennifer_Hudson,37,U.S.,Illinois,Chicago,American,['Langston University'],"['Dunbar Vocational High School', 'KennedyKing College']",F,"['Singer', 'actress']",
Marion Cotillard,https://en.wikipedia.org/wiki/Marion_Cotillard,43,France,Paris, ,French,,,F,"['Actress', 'singer', 'musician', 'environmentalist']",
George Saunders,https://en.wikipedia.org/wiki/George_Saunders,59,U.S.,Amarillo,Texas,American,,"['Colorado School of Mines', 'Syracuse University']",M,"['Writer', 'journalist', 'college professor']",
Michelle Dockery,https://en.wikipedia.org/wiki/Michelle_Dockery,36,U.K.,London,Rush Green,British,,,F,"['Actress', 'singer']",
Hugh Bonneville,https://en.wikipedia.org/wiki/Hugh_Bonneville,54,U.K.,London,Paddington,British,"['Corpus Christi College, Cambridge', 'Webber Douglas Academy of Dramatic Art']",,M,['Actor'],
Allen Leech,https://en.wikipedia.org/wiki/Allen_Leech,37,Ireland,County Dublin,Killiney,Irish,,,M,['Actor'],
Adam McKay,https://en.wikipedia.org/wiki/Adam_McKay,50,U.S.,Philadelphia, Pennsylvania,American,,['Great Valley High School'],M,"['Film director', 'producer', 'screenwriter', comedian']",
Bruce Willis,https://en.wikipedia.org/wiki/Bruce_Willis,63,West Germany,RhinelandPalatinate,IdarOberstein,American,['Montclair State University'],,M,"['Actor', 'producer with Cheyenne Enterprises', 'singer']",
Michael Lewis,https://en.wikipedia.org/wiki/Michael_Lewis,58,U.S.,Louisiana,New Orleans,American,"['Isidore Newman School', 'Princeton University', 'London School of Economics']",,M,"['Nonfiction writer', 'journalist']",
Andrew Delbanco,https://en.wikipedia.org/wiki/Andrew_Delbanco,,,,,,,,M,['Professor'],
Lin-Manuel Miranda,https://en.wikipedia.org/wiki/Lin-Manuel_Miranda,38,U.S.,New York,New York City,American,['Wesleyan University'],,M,"['Composer', 'playwright', 'lyricist', 'actor']",
Ike Barinholtz,https://en.wikipedia.org/wiki/Ike_Barinholtz,41,U.S.,Illinois,Chicago,American,,,M,"['Comedian', 'actor', 'screenwriter']",
Jennifer Lawrence,https://en.wikipedia.org/wiki/Jennifer_Lawrence,28,U.S.,Kentucky,Indian Hills,American,,,F,['Actress'],
Doris Kearns Goodwin,https://en.wikipedia.org/wiki/Doris_Kearns_Goodwin,75,U.S.,New York,New York City,American,,"['Colby College', 'Harvard University']",F,"['Historian', 'author', 'political commentator']",
Quentin Tarantino,https://en.wikipedia.org/wiki/Quentin_Tarantino,55,U.S.,Tennessee,Knoxville,American,,,M,"['Director', 'writer', 'actor']",
Jonathan Groff,https://en.wikipedia.org/wiki/Jonathan_Groff,33,U.S.,Pennsylvania,Lancaster,American,,['Conestoga Valley High School'],M,"['Actor', 'singer']",
Robert De Niro,https://en.wikipedia.org/wiki/Robert_De_Niro,75,U.S.,New York,New York City,American,,,M,"['Actor', 'producer', 'director']",
Daniel Gilbert,https://en.wikipedia.org/wiki/Daniel_Gilbert_(psychologist),60,US, , ,American,"['University of Colorado', 'Princeton University']",,M,"['Professor', 'nonfiction writer']",
Henry Rollins,https://en.wikipedia.org/wiki/Henry_Rollins,57,U.S.,D.C.,Washington,American,,,M,"['Actor', 'singer']",
Michael Moore,https://en.wikipedia.org/wiki/Michael_Moore,64,U.S.,Michigan,Flint,American,['Davison High School'],,M,"['Filmmaker', 'author', 'political activist', 'actor']",
Samantha Power,https://en.wikipedia.org/wiki/Samantha_Power,48,Ireland,Leinster, Dublin,American,,"['Yale University', 'Harvard University']",F,['United States Ambassador to the United Nations'],Democratic
Mandy Patinkin,https://en.wikipedia.org/wiki/Mandy_Patinkin,65,U.S.,Illinois,Chicago,American,,"['University of Kansas, Lawrence', 'Juilliard School']",F,"['Actor', 'singer']",
Samuel L. Jackson,https://en.wikipedia.org/wiki/Samuel_L._Jackson,69,U.S.,D.C.,Washington,American,"['Morehouse College', 'B.A.']",,M,"['Actor', 'film producer']",
Olivia Hallisey,https://en.wikipedia.org/wiki/Olivia_Hallisey,18,U.S.,Connecticut,Greenwich,American,,['Stanford University'],F,['Student' 'Scientist'],
John Krasinski,https://en.wikipedia.org/wiki/John_Krasinski,39,U.S.,Massachusetts,Boston,American,['Brown University'],,M,"['Actor', 'screenwriter', 'producer', 'director']",
Killer Mike,https://en.wikipedia.org/wiki/Killer_Mike,43,U.S.,Georgia, Atlanta,American,,,M,['Rapper'],
George Church,https://en.wikipedia.org/wiki/George_M._Church,64,U.S.,MacDill Air Force Base, Florida  ,American,"['Duke University', 'Harvard University ']",,M,['Geneticist'],
Jerry Seinfeld,https://en.wikipedia.org/wiki/Jerry_Seinfeld,64,U.S.,New York,New York City,American,"['SUNY Oswego', 'Queens College']",['Massapequa High School'],M,['Stand-up comedian'],
Rand Paul,https://en.wikipedia.org/wiki/Rand_Paul,55,U.S.,Pennsylvania, Pennsylvania,American,,"['Baylor University', 'Duke University']",M,['Senator'],Republican
Damian Lewis,https://en.wikipedia.org/wiki/Damian_Lewis,47,U.K.,London,St Johns Wood,British,['Guildhall School of Music and Drama'],,M,"['Actor', 'film producer']",
America Ferrera,https://en.wikipedia.org/wiki/America_Ferrera,34,U.S.,California,Los Angeles,American,['University of Southern California'],,F,"['Actress', 'voice actress']",
Matthew Broderick,https://en.wikipedia.org/wiki/Matthew_Broderick,56,U.S.,New York,New York City,American,,,M,['Actor' 'singer'],
Sarah Parcak,https://en.wikipedia.org/wiki/Sarah_Parcak,39,U.S.,Maine,Bangor,American,,,F,"['Associate Professor', 'Archaeologist', 'Egyptologist', 'Remote Sensing Archaeologist']",
Jane Lynch,https://en.wikipedia.org/wiki/Jane_Lynch,58,U.S.,Illinois,Evergreen Park,American,,"['Illinois State University', 'Cornell University']",F,"['Actress', 'author', 'singer', 'comedian']",
Julian Castro,https://en.wikipedia.org/wiki/Julian_Castro,44,U.S.,Texas,San Antonio,American,,"['Stanford University', 'Harvard University']",M,['United States Secretary of Housing and Urban Development'],Democratic
Saoirse Ronan,https://en.wikipedia.org/wiki/Saoirse_Ronan,24,U.S.,New York,New York City,American,,,F,['Actress'],
Jeremy Stoppelman,https://en.wikipedia.org/wiki/Jeremy_Stoppelman,40,US,Virginia,Arlington,American,"['University of Illinois at UrbanaChampaign', 'Harvard Business School']",,M,['CEO'],
Laura Ricciardi,https://en.wikipedia.org/wiki/Laura_Ricciardi,,U.S.,,,American,,,F,['Filmmaker'],
Moira Demos,https://en.wikipedia.org/wiki/Moira_Demos,,U.S.,,,American,,,F,['Filmmaker'],
Paul Giamatti,https://en.wikipedia.org/wiki/Paul_Giamatti,51,U.S.,Connecticut,New Haven,American,['Yale University'],,M,"['Actor', 'producer']",
Olivia Munn,https://en.wikipedia.org/wiki/Olivia_Munn,38,U.S.,Oklahoma,Oklahoma City,American,['University of Oklahoma'],,F,"['Actress', 'model']",
T. J. Miller,https://en.wikipedia.org/wiki/T._J._Miller,37,U.S.,Colorado,Denver,American,['George Washington University'],,M,"['Actor', 'standup comedian', 'producer', 'writer']",
Scott Kelly,https://en.wikipedia.org/wiki/Scott_Kelly_(astronaut),54,U.S.,New Jersey, Orange,American,,,M,['Astronaut'],
Abby Wambach,https://en.wikipedia.org/wiki/Abby_Wambach,38,U.S.,New York,Rochester,American,,,F,['Soccer Player'],
Patricia Heaton,https://en.wikipedia.org/wiki/Patricia_Heaton,60,U.S.,Ohio,Bay Village,American,,,F,['Actress'],Republican
Quincy Jones,https://en.wikipedia.org/wiki/Quincy_Jones,85,U.S.,Illinois,Chicago,American,['Berklee College of Music'],"['Garfield High School, Seattle']",M,['Record Producer'],
Charlie Day,https://en.wikipedia.org/wiki/Charlie_Day,42,U.S.,New York,New York City,American,,,M,"['Actor', 'screenwriter', 'producer', 'comedian', 'musician']",
Colin Hanks,https://en.wikipedia.org/wiki/Colin_Hanks,40,U.S.,California,Sacramento,American,,,M,"['Actor', 'director', 'producer']",
James Spader,https://en.wikipedia.org/wiki/James_Spader,58,U.S.,Massachusetts,Boston,American,,,M,['Actor'],
Brandon Marshall,https://en.wikipedia.org/wiki/Brandon_Marshall,34,U.S.,Pennsylvania,Pittsburgh,American,,,M,['football player'],
Sarah Koenig,https://en.wikipedia.org/wiki/Sarah_Koenig,49,U.S.,New York,New York City,American,['The University of Chicago'],,F,"['Journalist', 'Public radio personality', 'former producer of the television and radio program This American Life']",
Christian Slater,https://en.wikipedia.org/wiki/Christian_Slater,49,U.S.,New York,New York City,American,,,M,"['Actor', 'voice actor', 'producer']",
Josh Radnor,https://en.wikipedia.org/wiki/Josh_Radnor,44,U.S.,Ohio,Columbus,American,"['Kenyon College', 'New York University']",,M,"['Actor', 'filmmaker', 'musician']",
Steven Tyler,https://en.wikipedia.org/wiki/Steven_Tyler,70,U.S.,New York,New York City,American,,,M,"['Singer', 'songwriter', 'musician', 'actor', 'talent judge']",
Gaby Hoffmann,https://en.wikipedia.org/wiki/Gaby_Hoffmann,36,U.S.,New York,New York City,American,['Bard College'],"['Buckley School', 'Calabasas High School']",F,['Actress'],
