name,wiki_link,age,country_born,state_born,city_born,nationality,gender,occupation,political_party
Maria Bamford,https://en.wikipedia.org/wiki/Maria_Bamford,48,U.S.,California,,American,F,Entertainment and Show Business,
Marc Maron,https://en.wikipedia.org/wiki/Marc_Maron,55,U.S.,New Jersey,Jersey City,American,M,Entertainment and Show Business,
Dana Carvey,https://en.wikipedia.org/wiki/Dana_Carvey,63,U.S.,Montana,,American,M,Entertainment and Show Business,
Patton Oswalt,https://en.wikipedia.org/wiki/Patton_Oswalt,49,U.S.,Virginia,Portsmouth,New York,M,Entertainment and Show Business,
Hasan Minhaj,https://en.wikipedia.org/wiki/Hasan_Minhaj,33,U.S.,California,Davis,American,M,Entertainment and Show Business,
Michelle Wolf,https://en.wikipedia.org/wiki/Michelle_Wolf,33,U.S.,Pennsylvania,Hershey,American,F,Entertainment and Show Business,
David Cross,https://en.wikipedia.org/wiki/David_Cross,54,U.S.,Georgia,Atlanta,American,M,Entertainment and Show Business,
Tom Segura,https://en.wikipedia.org/wiki/Tom_Segura,39,U.S.,Ohio,,American,M,Entertainment and Show Business,
Sebastian Maniscalco,https://en.wikipedia.org/wiki/Sebastian_Maniscalco,45,U.S.,Illinois,,American,M,Entertainment and Show Business,
Andrew Dice Clay,https://en.wikipedia.org/wiki/Andrew_Dice_Clay,61,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Dave Chappelle,https://en.wikipedia.org/wiki/Dave_Chappelle,45,U.S.,D.C.,Washington,American,M,Entertainment and Show Business,
Bill Burr,https://en.wikipedia.org/wiki/Bill_Burr,50,U.S.,Massachusetts,Canton,American,M,Entertainment and Show Business,
Paula Poundstone,https://en.wikipedia.org/wiki/Paula_Poundstone,58,U.S.,Alabama,Huntsville,American,F,Entertainment and Show Business,
Louis C.K.,https://en.wikipedia.org/wiki/Louis_C.K.,51,U.S.,D.C.,Washington,American,M,Entertainment and Show Business,
Todd Barry,https://en.wikipedia.org/wiki/Todd_Barry,54,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Billy Gardell,https://en.wikipedia.org/wiki/Billy_Gardell,49,U.S.,Pennsylvania,Pittsburgh,American,M,Entertainment and Show Business,
Tig Notaro,https://en.wikipedia.org/wiki/Tig_Notaro,47,U.S.,Mississippi,Jackson,American,F,Entertainment and Show Business,
Drew Carey,https://en.wikipedia.org/wiki/Drew_Carey,60,U.S.,Ohio,,American,M,Entertainment and Show Business,
Moshe Kasher,https://en.wikipedia.org/wiki/Moshe_Kasher,39,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Robert Klein,https://en.wikipedia.org/wiki/Robert_Klein,76,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Romesh Ranganathan,https://en.wikipedia.org/wiki/Romesh_Ranganathan,40,U.K.,West Sussex,Crawley,British,M,Entertainment and Show Business,
Lewis Black,https://en.wikipedia.org/wiki/Lewis_Black,70,U.S.,D.C.,Washington,American,M,Entertainment and Show Business,
Bob Saget,https://en.wikipedia.org/wiki/Bob_Saget,62,U.S.,Pennsylvania,Philadelphia,American,M,Entertainment and Show Business,
Jen Kirkman,https://en.wikipedia.org/wiki/Jen_Kirkman,44,U.S.,Massachusetts,Needham,American,F,Entertainment and Show Business,
Gilbert Gottfried,https://en.wikipedia.org/wiki/Gilbert_Gottfried,63,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Jeff Ross,https://en.wikipedia.org/wiki/Jeff_Ross,53,U.S.,New Jersey,Springfield,American,M,Entertainment and Show Business,
Mike Epps,https://en.wikipedia.org/wiki/Mike_Epps,47,U.S.,Indiana,Indianapolis,American,M,Entertainment and Show Business,
W. Kamau Bell,https://en.wikipedia.org/wiki/W._Kamau_Bell,45,U.S.,California,Palo Alto,American,M,Entertainment and Show Business,
John Mulaney,https://en.wikipedia.org/wiki/John_Mulaney,36,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
Jerry Seinfeld,https://en.wikipedia.org/wiki/Jerry_Seinfeld,64,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Aziz Ansari,https://en.wikipedia.org/wiki/Aziz_Ansari,35,U.S.,South Carolina,Columbia,American,M,Entertainment and Show Business,
Colin Quinn,https://en.wikipedia.org/wiki/Colin_Quinn,59,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Sarah Silverman,https://en.wikipedia.org/wiki/Sarah_Silverman,47,U.S.,New Hampshire,Bedford,American,F,Entertainment and Show Business,
Nicki Minaj,https://en.wikipedia.org/wiki/Nicki_Minaj,35,Trinidad and Tobago,Port of Spain,Saint James,American,F,Entertainment and Show Business,
2 Chainz,https://en.wikipedia.org/wiki/2_Chainz,41,U.S.,Georgia,College Park,American,M,Entertainment and Show Business,
Nas,https://en.wikipedia.org/wiki/Nas,45,U.S.,New York,New York City,American,M,Entertainment and Show Business,
50 Cent,https://en.wikipedia.org/wiki/50_Cent,43,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Chance the Rapper,https://en.wikipedia.org/wiki/Chance_the_Rapper,25,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
Pusha T,https://en.wikipedia.org/wiki/Pusha_T,41,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Killer Mike,https://en.wikipedia.org/wiki/Killer_Mike,43,U.S.,Georgia,Atlanta,American,M,Entertainment and Show Business,
Taylor Mac,https://en.wikipedia.org/wiki/Taylor_Mac,45,U.S.,California,,American,,Entertainment and Show Business,
Derek DelGaudio,https://en.wikipedia.org/wiki/Derek_DelGaudio,,U.S.,California,Huntington Beach,American,M,Entertainment and Show Business,
Michael Moore,https://en.wikipedia.org/wiki/Michael_Moore,64,U.S.,Michigan,Flint,American,M,Entertainment and Show Business,
Kevin Smith,https://en.wikipedia.org/wiki/Kevin_Smith,48,U.S.,New Jersey,Red Bank,American,M,Entertainment and Show Business,
Moira Demos,https://en.wikipedia.org/wiki/Moira_Demos,,U.S.,,,American,F,Entertainment and Show Business,
Laura Ricciardi,https://en.wikipedia.org/wiki/Laura_Ricciardi,,U.S.,,,American,F,Entertainment and Show Business,
