name,wiki_link,age,country_born,state_born,city_born,nationality,gender,occupation,political_party
Peter Dinklage,https://en.wikipedia.org/wiki/Peter_Dinklage,49,U.S.,New Jersey,Morristown,American,M,Entertainment and Show Business,
Sam Elliott,https://en.wikipedia.org/wiki/Sam_Elliott,74,U.S.,California,Sacramento,American,M,Entertainment and Show Business,
Damon Wayans Jr.,https://en.wikipedia.org/wiki/Damon_Wayans_Jr.,35,U.S.,Vermont,Huntington,American,M,Entertainment and Show Business,
Iain Armitage,https://en.wikipedia.org/wiki/Iain_Armitage,10,U.S.,Virginia,,American,M,Entertainment and Show Business,
Adam Pally,https://en.wikipedia.org/wiki/Adam_Pally,36,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Jace Norman,https://en.wikipedia.org/wiki/Jace_Norman,18,U.S.,New Mexico,Corrales,American,M,Entertainment and Show Business,
Dwayne Johnson,https://en.wikipedia.org/wiki/Dwayne_Johnson,46,U.S.,California,Hayward,American,M,Entertainment and Show Business,
David Koechner,https://en.wikipedia.org/wiki/David_Koechner,56,U.S.,Missouri,Tipton,American,M,Entertainment and Show Business,
Michael B. Jordan,https://en.wikipedia.org/wiki/Michael_B._Jordan,31,U.S.,California,Santa Ana,American,M,Entertainment and Show Business,
Adam DeVine,https://en.wikipedia.org/wiki/Adam_DeVine,34,U.S.,Iowa,Waterloo,American,M,Entertainment and Show Business,
Justin Hartley,https://en.wikipedia.org/wiki/Justin_Hartley,41,U.S.,Illinois,Knoxville,American,M,Entertainment and Show Business,
Nathan Lane,https://en.wikipedia.org/wiki/Nathan_Lane,62,U.S.,New Jersey,Jersey City,American,M,Entertainment and Show Business,
Michael Shannon,https://en.wikipedia.org/wiki/Michael_Shannon,44,U.S.,Kentucky,Lexington,American,M,Entertainment and Show Business,
Willem Dafoe,https://en.wikipedia.org/wiki/Willem_Dafoe,63,U.S.,Wisconsin,Appleton,American,M,Entertainment and Show Business,
Thomas Lennon,https://en.wikipedia.org/wiki/Thomas_Lennon,48,U.S.,Illinois,Oak Park,American,M,Entertainment and Show Business,
Matt Damon,https://en.wikipedia.org/wiki/Matt_Damon,48,U.S.,Massachusetts,Cambridge,American,M,Entertainment and Show Business,
Tyler Perry,https://en.wikipedia.org/wiki/Tyler_Perry,49,U.S.,Louisiana,New Orleans,American,M,Entertainment and Show Business,
Jay Pharoah,https://en.wikipedia.org/wiki/Jay_Pharoah,31,U.S.,Virginia,Chesapeake,American,M,Entertainment and Show Business,
Bill Murray,https://en.wikipedia.org/wiki/Bill_Murray,68,U.S.,Illinois,Evanston,American,M,Entertainment and Show Business,
Jason Alexander,https://en.wikipedia.org/wiki/Jason_Alexander,59,U.S.,New Jersey,Newark,American,M,Entertainment and Show Business,
Jeff Bridges,https://en.wikipedia.org/wiki/Jeff_Bridges,68,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Michael Rapaport,https://en.wikipedia.org/wiki/Michael_Rapaport,48,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Jim Jefferies,https://en.wikipedia.org/wiki/Jim_Jefferies_(comedian),41,Australia,New South Wales,Sydney,Australian,M,Entertainment and Show Business,
James Van Der Beek,https://en.wikipedia.org/wiki/James_Van_Der_Beek,41,U.S.,Connecticut,Cheshire,American,M,Entertainment and Show Business,
Matthew McConaughey,https://en.wikipedia.org/wiki/Matthew_McConaughey,48,U.S.,Texas,Uvalde,American,M,Entertainment and Show Business,
Ashton Kutcher,https://en.wikipedia.org/wiki/Ashton_Kutcher,40,U.S.,Iowa,Cedar Rapids,American,M,Entertainment and Show Business,
Woody Harrelson,https://en.wikipedia.org/wiki/Woody_Harrelson,57,U.S.,Texas,Midland,American,M,Entertainment and Show Business,
Ice Cube,https://en.wikipedia.org/wiki/Ice_Cube,49,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Sam Richardson,https://en.wikipedia.org/wiki/Sam_Richardson_(actor),34,U.S.,Michigan,Detroit,American,M,Entertainment and Show Business,
Hannibal Buress,https://en.wikipedia.org/wiki/Hannibal_Buress,35,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
Rob Huebel,https://en.wikipedia.org/wiki/Rob_Huebel,49,U.S.,Virginia,Alexandria,American,M,Entertainment and Show Business,
Terry Crews,https://en.wikipedia.org/wiki/Terry_Crews,50,U.S.,Michigan,Flint,American,M,Entertainment and Show Business,
Ben Platt,https://en.wikipedia.org/wiki/Ben_Platt_(actor),25,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Danny McBride,https://en.wikipedia.org/wiki/Danny_McBride,41,U.S.,Georgia,Statesboro,American,M,Entertainment and Show Business,
Timothy Simons,https://en.wikipedia.org/wiki/Timothy_Simons,40,U.S.,Maine,Readfield,American,M,Entertainment and Show Business,
Tracy Morgan,https://en.wikipedia.org/wiki/Tracy_Morgan,49,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Paul Scheer,https://en.wikipedia.org/wiki/Paul_Scheer,42,U.S.,New York,Huntington,American,M,Entertainment and Show Business,
Elisabeth Moss,https://en.wikipedia.org/wiki/Elisabeth_Moss,36,U.S.,California,Los Angeles,American,F,Entertainment and Show Business,
Kadeem Hardison,https://en.wikipedia.org/wiki/Kadeem_Hardison,53,U.S.,New York,Brooklyn,American,M,Entertainment and Show Business,
H. Jon Benjamin,https://en.wikipedia.org/wiki/H._Jon_Benjamin,52,U.S.,Massachusetts,Worcester,American,M,Entertainment and Show Business,
Michael McKean,https://en.wikipedia.org/wiki/Michael_McKean,71,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Josh Lucas,https://en.wikipedia.org/wiki/Josh_Lucas,47,U.S.,Arkansas,Fayetteville,American,M,Entertainment and Show Business,
Paul Rust,https://en.wikipedia.org/wiki/Paul_Rust,37,U.S.,Iowa,Le Mars,American,M,Entertainment and Show Business,
Chris Colfer,https://en.wikipedia.org/wiki/Chris_Colfer,28,U.S.,California,Clovis,American,M,Entertainment and Show Business,
Zoey Deutch,https://en.wikipedia.org/wiki/Zoey_Deutch,23,U.S.,California,Los Angeles,American,F,Entertainment and Show Business,
Taran Killam,https://en.wikipedia.org/wiki/Taran_Killam,36,U.S.,California,Culver City,American,M,Entertainment and Show Business,
Louie Anderson,https://en.wikipedia.org/wiki/Louie_Anderson,65,U.S.,Minnesota,Saint Paul,American,M,Entertainment and Show Business,
Cuba Gooding Jr.,https://en.wikipedia.org/wiki/Cuba_Gooding_Jr.,50,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Josh Holloway,https://en.wikipedia.org/wiki/Josh_Holloway,49,U.S.,California,San Jose,American,M,Entertainment and Show Business,
Chris Messina,https://en.wikipedia.org/wiki/Chris_Messina,44,U.S.,New York,Northport,American,M,Entertainment and Show Business,
James Franco,https://en.wikipedia.org/wiki/James_Franco,40,U.S.,California,Palo Alto,American,M,Entertainment and Show Business,
Mark Wahlberg,https://en.wikipedia.org/wiki/Mark_Wahlberg,47,U.S.,Massachusetts,Boston,American,M,Entertainment and Show Business,
Jason Bateman,https://en.wikipedia.org/wiki/Jason_Bateman,49,U.S.,New York,Rye,American,M,Entertainment and Show Business,
Danny DeVito,https://en.wikipedia.org/wiki/Danny_DeVito,73,U.S.,New Jersey,Neptune Township,American,M,Entertainment and Show Business,
James Marsden,https://en.wikipedia.org/wiki/James_Marsden,45,U.S.,Oklahoma,Stillwater,American,M,Entertainment and Show Business,
Jeff Goldblum,https://en.wikipedia.org/wiki/Jeff_Goldblum,66,U.S.,Pennsylvania,Pittsburgh,American,M,Entertainment and Show Business,
Don Cheadle,https://en.wikipedia.org/wiki/Don_Cheadle,53,U.S.,Missouri,Kansas City,New York,M,Entertainment and Show Business,
Mel Gibson,https://en.wikipedia.org/wiki/Mel_Gibson,62,U.S.,New York,Peekskill,American,M,Entertainment and Show Business,
J. B. Smoove,https://en.wikipedia.org/wiki/J._B._Smoove,53,U.S.,North Carolina,Plymouth,American,M,Entertainment and Show Business,
Dermot Mulroney,https://en.wikipedia.org/wiki/Dermot_Mulroney,54,U.S.,Virginia,Alexandria,American,M,Entertainment and Show Business,
Matt LeBlanc,https://en.wikipedia.org/wiki/Matt_LeBlanc,51,U.S.,Massachusetts,Newton,American,M,Entertainment and Show Business,
Armie Hammer,https://en.wikipedia.org/wiki/Armie_Hammer,32,U.S.,California,Santa Monica,American,M,Entertainment and Show Business,
Rob Lowe,https://en.wikipedia.org/wiki/Rob_Lowe,54,U.S.,Virginia,Charlottesville,American,M,Entertainment and Show Business,
Tim Meadows,https://en.wikipedia.org/wiki/Tim_Meadows,57,U.S.,Michigan,Highland Park,American,M,Entertainment and Show Business,
Scott Bakula,https://en.wikipedia.org/wiki/Scott_Bakula,64,U.S.,Missouri,St. Louis,American,M,Entertainment and Show Business,
Chris Pratt,https://en.wikipedia.org/wiki/Chris_Pratt,39,U.S.,Minnesota,Virginia,American,M,Entertainment and Show Business,
Chris Gethard,https://en.wikipedia.org/wiki/Chris_Gethard,38,U.S.,New Jersey,West Orange,American,M,Entertainment and Show Business,
Joseph Gordon-Levitt,https://en.wikipedia.org/wiki/Joseph_Gordon-Levitt,37,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Adam Brody,https://en.wikipedia.org/wiki/Adam_Brody,38,U.S.,California,San Diego,American,M,Entertainment and Show Business,
Tony Hale,https://en.wikipedia.org/wiki/Tony_Hale,48,U.S.,New York,West Point,American,M,Entertainment and Show Business,
Will Smith,https://en.wikipedia.org/wiki/Will_Smith,50,U.S.,Pennsylvania,Philadelphia,American,M,Entertainment and Show Business,
Michael K. Williams,https://en.wikipedia.org/wiki/Michael_K._Williams,51,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Rob Corddry,https://en.wikipedia.org/wiki/Rob_Corddry,47,U.S.,Massachusetts,Weymouth,American,M,Entertainment and Show Business,
Patrick Fugit,https://en.wikipedia.org/wiki/Patrick_Fugit,36,U.S.,Utah,Salt Lake City,American,M,Entertainment and Show Business,
Paul Dano,https://en.wikipedia.org/wiki/Paul_Dano,34,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Aaron Paul,https://en.wikipedia.org/wiki/Aaron_Paul,39,U.S.,Idaho,Emmett,American,M,Entertainment and Show Business,
Norman Reedus,https://en.wikipedia.org/wiki/Norman_Reedus,49,U.S.,Florida,Hollywood,American,M,Entertainment and Show Business,
Sean Hayes,https://en.wikipedia.org/wiki/Sean_Hayes_(actor),48,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
Michael Weatherly,https://en.wikipedia.org/wiki/Michael_Weatherly,50,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Morris Chestnut,https://en.wikipedia.org/wiki/Morris_Chestnut,49,U.S.,California,Cerritos,American,M,Entertainment and Show Business,
Mark Feuerstein,https://en.wikipedia.org/wiki/Mark_Feuerstein,47,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Hank Azaria,https://en.wikipedia.org/wiki/Hank_Azaria,54,U.S.,New York ,New York City,American,M,Entertainment and Show Business,
Michelle Williams,https://en.wikipedia.org/wiki/Michelle_Williams_(actress),38,U.S.,Montana,Kalispell,American,M,Entertainment and Show Business,
Matt Walsh,https://en.wikipedia.org/wiki/Matt_Walsh_(comedian),54,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
Ben Falcone,https://en.wikipedia.org/wiki/Ben_Falcone,45,U.S.,Illinois,Carbondale,American,M,Entertainment and Show Business,
Steve Buscemi,https://en.wikipedia.org/wiki/Steve_Buscemi,60,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Jussie Smollett,https://en.wikipedia.org/wiki/Jussie_Smollett,36,U.S.,California,Santa Rosa,American,M,Entertainment and Show Business,
Jeff Daniels,https://en.wikipedia.org/wiki/Jeff_Daniels,63,U.S.,Georgia,Clarke County,American,M,Entertainment and Show Business,
Max Greenfield,https://en.wikipedia.org/wiki/Max_Greenfield,38,U.S.,New York,Dobbs Ferry,American,M,Entertainment and Show Business,
John Stamos,https://en.wikipedia.org/wiki/John_Stamos,55,U.S.,California,Cypress,American,M,Entertainment and Show Business,
Jeffrey Dean Morgan,https://en.wikipedia.org/wiki/Jeffrey_Dean_Morgan,52,U.S.,Washington,Seattle,American,M,Entertainment and Show Business,
Richard Dreyfuss,https://en.wikipedia.org/wiki/Richard_Dreyfuss,71,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Fred Armisen,https://en.wikipedia.org/wiki/Fred_Armisen,51,U.S.,Mississippi,Hattiesburg,American,F,Entertainment and Show Business,
Ben Stiller,https://en.wikipedia.org/wiki/Ben_Stiller,52,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Bobby Cannavale,https://en.wikipedia.org/wiki/Bobby_Cannavale,48,U.S.,New Jersey,Union City,American,M,Entertainment and Show Business,
Courtney B. Vance,https://en.wikipedia.org/wiki/Courtney_B._Vance,58,U.S.,Michigan,Detroit,American,F,Entertainment and Show Business,
John Travolta,https://en.wikipedia.org/wiki/John_Travolta,64,U.S.,New Jersey,Englewood,American,M,Entertainment and Show Business,
Josh Brolin,https://en.wikipedia.org/wiki/Josh_Brolin,50,U.S.,California,Santa Monica,American,M,Entertainment and Show Business,
Laurence Fishburne,https://en.wikipedia.org/wiki/Laurence_Fishburne,57,U.S.,Georgia,Augusta,American,M,Entertainment and Show Business,
Christian Slater,https://en.wikipedia.org/wiki/Christian_Slater,49,U.S.,New York,New York City,American,M,Entertainment and Show Business,
James Spader,https://en.wikipedia.org/wiki/James_Spader,58,U.S.,Massachusetts,Boston,American,M,Entertainment and Show Business,
Colin Hanks,https://en.wikipedia.org/wiki/Colin_Hanks,40,U.S.,California,Sacramento,American,M,Entertainment and Show Business,
Charlie Day,https://en.wikipedia.org/wiki/Charlie_Day,42,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Matthew Broderick,https://en.wikipedia.org/wiki/Matthew_Broderick,56,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Henry Rollins,https://en.wikipedia.org/wiki/Henry_Rollins,57,U.S.,D.C.,Washington,American,M,Entertainment and Show Business,
Robert De Niro,https://en.wikipedia.org/wiki/Robert_De_Niro,75,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Burt Reynolds,https://en.wikipedia.org/wiki/Burt_Reynolds,82,U.S.,Michigan,Lansing,American,M,Entertainment and Show Business,
Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke,47,U.S.,Texas,Austin,American,M,Entertainment and Show Business,
Elijah Wood,https://en.wikipedia.org/wiki/Elijah_Wood,37,U.S.,Iowa,Cedar Rapids,American,M,Entertainment and Show Business,
Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,81,U.S.,Tennessee,Memphis,American,M,Entertainment and Show Business,
Nick Kroll,https://en.wikipedia.org/wiki/Nick_Kroll,40,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Nick Offerman,https://en.wikipedia.org/wiki/Nick_Offerman,48,U.S.,Illinois,Minooka,American,M,Entertainment and Show Business,
Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,62,U.S.,California,Hollywood,American,M,Entertainment and Show Business,
Scott Eastwood,https://en.wikipedia.org/wiki/Scott_Eastwood,32,U.S.,California,Monterey County,American,M,Entertainment and Show Business,
Milo Ventimiglia,https://en.wikipedia.org/wiki/Milo_Ventimiglia,41,U.S.,California,Anaheim,American,M,Entertainment and Show Business,
Will Forte,https://en.wikipedia.org/wiki/Will_Forte,48,U.S.,California,Alameda County,American,M,Entertainment and Show Business,
Randall Park,https://en.wikipedia.org/wiki/Randall_Park,44,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Steve Martin,https://en.wikipedia.org/wiki/Steve_Martin,73,U.S.,Texas,Waco,American,M,Entertainment and Show Business,
Jeffrey Tambor,https://en.wikipedia.org/wiki/Jeffrey_Tambor,74,U.S.,California,San Francisco,American,M,Entertainment and Show Business,
Aaron Eckhart,https://en.wikipedia.org/wiki/Aaron_Eckhart,50,U.S.,California,Cupertino,American,M,Entertainment and Show Business,
Mike Colter,https://en.wikipedia.org/wiki/Mike_Colter,42,U.S.,South Carolina,Columbia,American,M,Entertainment and Show Business,
Simon Helberg,https://en.wikipedia.org/wiki/Simon_Helberg,37,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Jim Parsons,https://en.wikipedia.org/wiki/Jim_Parsons,45,U.S.,Texas,Houston,American,M,Entertainment and Show Business,
Craig Robinson,https://en.wikipedia.org/wiki/Craig_Robinson_(actor),47,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
Tony Goldwyn,https://en.wikipedia.org/wiki/Tony_Goldwyn,58,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
John Lithgow,https://en.wikipedia.org/wiki/John_Lithgow,73,U.S.,New York,Rochester,American,M,Entertainment and Show Business,
Corey Stoll,https://en.wikipedia.org/wiki/Corey_Stoll,42,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Mahershala Ali,https://en.wikipedia.org/wiki/Mahershala_Ali,44,U.S.,California,Oakland,American,M,Entertainment and Show Business,
Sterling K. Brown,https://en.wikipedia.org/wiki/Sterling_K._Brown,42,U.S.,Missouri,St. Louis,American,M,Entertainment and Show Business,
Josh Radnor,https://en.wikipedia.org/wiki/Josh_Radnor,44,U.S.,Ohio,Columbus,American,M,Entertainment and Show Business,
Jeffrey Wright,https://en.wikipedia.org/wiki/Jeffrey_Wright,52,U.S.,D.C.,Washington,American,M,Entertainment and Show Business,
Keegan-Michael Key,https://en.wikipedia.org/wiki/Keegan-Michael_Key,47,U.S.,Michigan,Southfield,American,M,Entertainment and Show Business,
David Duchovny,https://en.wikipedia.org/wiki/David_Duchovny,58,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Ben McKenzie,https://en.wikipedia.org/wiki/Ben_McKenzie,40,U.S.,Texas,Austin,American,M,Entertainment and Show Business,
Jay Chandrasekhar,https://en.wikipedia.org/wiki/Jay_Chandrasekhar,50,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
William H. Macy,https://en.wikipedia.org/wiki/William_H._Macy,68,U.S.,Florida,Miami,American,M,Entertainment and Show Business,
Adrien Brody,https://en.wikipedia.org/wiki/Adrien_Brody,45,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Dave Coulier,https://en.wikipedia.org/wiki/Dave_Coulier,59,U.S.,Michigan,St. Clair Shores,American,M,Entertainment and Show Business,
Seth MacFarlane,https://en.wikipedia.org/wiki/Seth_MacFarlane,45,U.S.,Connecticut,Kent,American,M,Entertainment and Show Business,
Andrew Rannells,https://en.wikipedia.org/wiki/Andrew_Rannells,40,U.S.,Nebraska,Omaha,American,M,Entertainment and Show Business,
Donald Glover,https://en.wikipedia.org/wiki/Donald_Glover,35,U.S.,California,Edwards Air Force Base,American,M,Entertainment and Show Business,
Javier Muñoz,https://en.wikipedia.org/wiki/Javier_Mu%C3%B1oz_(actor),42,U.S.,New York,New York City,American,M,Entertainment and Show Business,
David Schwimmer,https://en.wikipedia.org/wiki/David_Schwimmer,51,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Deon Cole,https://en.wikipedia.org/wiki/Deon_Cole,46,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
Andy Karl,https://en.wikipedia.org/wiki/Andy_Karl,44,U.S.,Maryland,Baltimore,American,M,Entertainment and Show Business,
Michael Keaton,https://en.wikipedia.org/wiki/Michael_Keaton,67,U.S.,Pennsylvania,Allegheny County,American,M,Entertainment and Show Business,
Jake Gyllenhaal,https://en.wikipedia.org/wiki/Jake_Gyllenhaal,37,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Thomas Haden Church,https://en.wikipedia.org/wiki/Thomas_Haden_Church,58,U.S.,California,Yolo,American,M,Entertainment and Show Business,
Leslie Odom Jr.,https://en.wikipedia.org/wiki/Leslie_Odom_Jr.,37,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Rob Riggle,https://en.wikipedia.org/wiki/Rob_Riggle,48,U.S.,Kentucky,Louisville,American,M,Entertainment and Show Business,
David Harbour,https://en.wikipedia.org/wiki/David_Harbour,43,U.S.,New York,White Plains,American,M,Entertainment and Show Business,
Jason Segel,https://en.wikipedia.org/wiki/Jason_Segel,38,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Jermaine Fowler,https://en.wikipedia.org/wiki/Jermaine_Fowler,30,U.S.,D.C.,Washington,American,M,Entertainment and Show Business,
Corey Hawkins,https://en.wikipedia.org/wiki/Corey_Hawkins,30,U.S.,D.C.,Washington,American,M,Entertainment and Show Business,
Richard Gere,https://en.wikipedia.org/wiki/Richard_Gere,69,U.S.,Pennsylvania,Philadelphia,American,M,Entertainment and Show Business,
Jeff Garlin,https://en.wikipedia.org/wiki/Jeff_Garlin,56,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
Finn Wittrock,https://en.wikipedia.org/wiki/Finn_Wittrock,34,U.S.,Massachusetts,Lenox,American,M,Entertainment and Show Business,
Thomas Sadoski,https://en.wikipedia.org/wiki/Thomas_Sadoski,42,U.S.,Connecticut,New Haven,American,M,Entertainment and Show Business,
Neil Patrick Harris,https://en.wikipedia.org/wiki/Neil_Patrick_Harris,45,U.S.,New Mexico,Albuquerque,American,M,Entertainment and Show Business,
John Goodman,https://en.wikipedia.org/wiki/John_Goodman,66,U.S.,Missouri,Affton,American,M,Entertainment and Show Business,
Aaron Tveit,https://en.wikipedia.org/wiki/Aaron_Tveit,35,U.S.,New York,Middletown,American,M,Entertainment and Show Business,
Anthony Anderson,https://en.wikipedia.org/wiki/Anthony_Anderson,48,U.S.,California,Compton,American,M,Entertainment and Show Business,
Jesse Tyler Ferguson,https://en.wikipedia.org/wiki/Jesse_Tyler_Ferguson,43,U.S.,Montana,Missoula,American,M,Entertainment and Show Business,
Benjamin Walker,https://en.wikipedia.org/wiki/Benjamin_Walker_(actor),36,U.S.,Georgia,Cartersville,American,M,Entertainment and Show Business,
Jonathan Groff,https://en.wikipedia.org/wiki/Jonathan_Groff,33,U.S.,Pennsylvania,Lancaster,American,M,Entertainment and Show Business,
Bruce Campbell,https://en.wikipedia.org/wiki/Bruce_Campbell,60,U.S.,Michigan,Royal Oak,American,M,Entertainment and Show Business,
Carol Burnett,https://en.wikipedia.org/wiki/Carol_Burnett,85,U.S.,Texas,San Antonio,American,F,Entertainment and Show Business,
Kevin Spacey,https://en.wikipedia.org/wiki/Kevin_Spacey,59,U.S.,New Jersey,South Orange,American,M,Entertainment and Show Business,
Rami Malek,https://en.wikipedia.org/wiki/Rami_Malek,37,U.S.,California,Los Angeles,American,M,Entertainment and Show Business,
Chris O'Donnell,https://en.wikipedia.org/wiki/Chris_O%27Donnell,48,U.S.,Illinois,Winnetka,American,M,Entertainment and Show Business,
Christopher Meloni,https://en.wikipedia.org/wiki/Christopher_Meloni,57,U.S.,D.C.,Washington,American,M,Entertainment and Show Business,
Michael Peña,https://en.wikipedia.org/wiki/Michael_Pe%C3%B1a,42,U.S.,Illinois,Chicago,American,M,Entertainment and Show Business,
Matthew Perry,https://en.wikipedia.org/wiki/Matthew_Perry,49,U.S.,Massachusetts,Williamstown,American,M,Entertainment and Show Business,
Sean Astin,https://en.wikipedia.org/wiki/Sean_Astin,47,U.S.,California,Santa Monica,American,M,Entertainment and Show Business,
Henry Winkler,https://en.wikipedia.org/wiki/Henry_Winkler,72,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Liev Schreiber,https://en.wikipedia.org/wiki/Liev_Schreiber,51,U.S.,California,San Francisco,American,M,Entertainment and Show Business,
Adam Richman,https://en.wikipedia.org/wiki/Adam_Richman,44,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Chris Noth,https://en.wikipedia.org/wiki/Chris_Noth,63,U.S.,Wisconsin,Madison,American,M,Entertainment and Show Business,
Bradley Whitford,https://en.wikipedia.org/wiki/Bradley_Whitford,59,U.S.,Wisconsin,Madison,American,M,Entertainment and Show Business,
Anthony Mackie,https://en.wikipedia.org/wiki/Anthony_Mackie,40,U.S.,Louisiana,New Orleans,American,M,Entertainment and Show Business,
Benjamin Bratt,https://en.wikipedia.org/wiki/Benjamin_Bratt,54,U.S.,California,San Francisco,American,M,Entertainment and Show Business,
John Turturro,https://en.wikipedia.org/wiki/John_Turturro,61,U.S.,New York,New York City,American,M,Entertainment and Show Business,
Mandy Patinkin,https://en.wikipedia.org/wiki/Mandy_Patinkin,65,U.S.,Illinois,Chicago,American,F,Entertainment and Show Business,
Kevin Kline,https://en.wikipedia.org/wiki/Kevin_Kline,71,U.S.,Missouri,St. Louis,American,M,Entertainment and Show Business,
John Benjamin Hickey,https://en.wikipedia.org/wiki/John_Benjamin_Hickey,55,U.S.,Texas,Plano,American,M,Entertainment and Show Business,
Daniel Kaluuya,https://en.wikipedia.org/wiki/Daniel_Kaluuya,29,U.K.,London,,British,M,Entertainment and Show Business,
David Oyelowo,https://en.wikipedia.org/wiki/David_Oyelowo,42,U.K.,Oxfordshire,Oxford,British,M,Entertainment and Show Business,
Hugh Bonneville,https://en.wikipedia.org/wiki/Hugh_Bonneville,54,U.K.,London,Paddington,British,M,Entertainment and Show Business,
Riz Ahmed,https://en.wikipedia.org/wiki/Riz_Ahmed,35,U.K.,London,Wembley,British,M,Entertainment and Show Business,
Hugh Grant,https://en.wikipedia.org/wiki/Hugh_Grant,58,U.K.,London,Hammersmith,British,M,Entertainment and Show Business,
Gerard Butler,https://en.wikipedia.org/wiki/Gerard_Butler,48,U.K.,Renfrewshire,Paisley,British,M,Entertainment and Show Business,
Damian Lewis,https://en.wikipedia.org/wiki/Damian_Lewis,47,U.K.,London,St Johns Wood,British,M,Entertainment and Show Business,
Daniel Craig,https://en.wikipedia.org/wiki/Daniel_Craig,50,U.K.,Cheshire,Chester,British,M,Entertainment and Show Business,
Helen Mirren,https://en.wikipedia.org/wiki/Helen_Mirren,73,U.K.,London,Hammersmith,British,F,Entertainment and Show Business,
Matthew Rhys,https://en.wikipedia.org/wiki/Matthew_Rhys,43,U.K.,Cardiff,,British,M,Entertainment and Show Business,
Kenneth Branagh,https://en.wikipedia.org/wiki/Kenneth_Branagh,57,U.K.,Ireland,Belfast,British,M,Entertainment and Show Business,
Cillian Murphy,https://en.wikipedia.org/wiki/Cillian_Murphy,42,U.K.,County Cork,Douglas,British,M,Entertainment and Show Business,
Andy Serkis,https://en.wikipedia.org/wiki/Andy_Serkis,54,U.K.,Middlesex,Ruislip,British,M,Entertainment and Show Business,
Luke Evans,https://en.wikipedia.org/wiki/Luke_Evans_(actor),39,U.K.,Pontypool,,British,M,Entertainment and Show Business,
Dominic Cooper,https://en.wikipedia.org/wiki/Dominic_Cooper,40,U.K.,London,Greenwich,British,M,Entertainment and Show Business,
Alan Cumming,https://en.wikipedia.org/wiki/Alan_Cumming,53,U.K.,Perthshire,Aberfeldy,American,M,Entertainment and Show Business,
James McAvoy,https://en.wikipedia.org/wiki/James_McAvoy,39,U.K.,Glasgow,Scotland,British,M,Entertainment and Show Business,
Liam Neeson,https://en.wikipedia.org/wiki/Liam_Neeson,66,U.K.,County Antrim,Ballymena,American,M,Entertainment and Show Business,
Ricky Gervais,https://en.wikipedia.org/wiki/Ricky_Gervais,57,U.K.,Berkshire,,British,M,Entertainment and Show Business,
Guy Pearce,https://en.wikipedia.org/wiki/Guy_Pearce,51,U.K.,Cambridgeshire,Ely,Australian,M,Entertainment and Show Business,
Simon Pegg,https://en.wikipedia.org/wiki/Simon_Pegg,48,U.K.,England,Gloucestershire,British,M,Entertainment and Show Business,
Sean Bean,https://en.wikipedia.org/wiki/Sean_Bean,59,U.K.,West Riding of Yorkshire,Handsworth,British,M,Entertainment and Show Business,
Kiefer Sutherland,https://en.wikipedia.org/wiki/Kiefer_Sutherland,51,U.K.,London,,British,M,Entertainment and Show Business,
